リポジトリ名,主要言語,概要,GitHubURL,Star増分,注目ポイント/要約,活用アイデア/関連性/所感,ライセンス,first commit日
omacom/omarchy,Shell,著名開発者DHH(David Heinemeier Hansson)が開発する、Arch Linuxをベースにした「美しく、モダンでこだわりの詰まった」Linuxディストリビューション。ウィンドウマネージャーのテーマ、ホットキー、クリップボード管理、ディクテーション、AIツールの統合など、開発者向けの快適な作業環境をあらかじめ構成済みで提供する。,https://github.com/omacom/omarchy,16489,"・6,000以上のコミットにわたって作り込まれた、既製の「意見のある」デスクトップ環境設定一式
・ターミナル、Neovim、AIツールなど開発者向けアプリケーションをあらかじめ統合済み
・著名開発者DHHが自ら使うために作り上げた設定であることが話題性・注目度に直結",Arch Linuxをゼロから設定する手間を省き、洗練された開発環境をすぐに使い始めたい開発者に向く。個々のdotfilesリポジトリとは異なり、OSレベルでの一貫した体験を提供する点がユニークで、他のディストリビューション設定と比較検討する価値がある。,MIT License,
tt-a1i/archify,JavaScript,自然言語のシステム説明やコードベースから、アーキテクチャ図・ワークフロー図・シーケンス図などを検証可能な形で生成するエージェント向けスキル/ツール。生成結果は自己完結したHTMLファイルとして出力される。,https://github.com/tt-a1i/archify,48808,"・アーキテクチャ、ワークフロー、シーケンス、データフロー、ライフサイクルの5種類の図に対応し、ノード検索や上流/下流トレースなどインタラクティブな探索機能を搭載
・エージェントが型付きJSON中間表現を生成→バリデータとレイアウトルールで検証→OKなら描画、という決定論的なパイプラインで品質を担保
・Before/Afterのスナップショットを比較する「Architecture Delta」により、変更差分を視覚的に検証できる点がユニーク",Mermaidなど従来のテキストベース図式ツールの代替として、より見た目と検証性を重視したい場面に向く。エージェントが自動生成したアーキテクチャ図をドキュメントやPRレビューに添付するワークフローに組み込みやすい。,MIT License,
anthropics/claude-plugins-community,Python,Claude CoworkおよびClaude Code向けのコミュニティプラグインマーケットプレイスを、Anthropicが読み取り専用でミラーリングしているリポジトリ。marketplace.jsonにセキュリティ審査を通過したコミュニティ製プラグインの一覧が格納されている。,https://github.com/anthropics/claude-plugins-community,3635,"・Anthropic社内のレビューパイプラインから毎晩自動同期される仕組み
・掲載プラグインは自動セキュリティスキャンと承認プロセスを経ている
・このリポジトリへの直接PRは自動的にクローズされ、提出は専用フォームから行う設計",Claude CodeやClaude Cowork利用者が、`claude plugin marketplace add`コマンドで手軽にサードパーティ製プラグインを導入する入り口として機能する。公式プラグイン集(claude-plugins-official)と役割分担しつつ、コミュニティのエコシステムを健全に拡張する基盤として注目される。,Apache License 2.0,
AprilNEA/OpenLogi,Rust,Rustで書かれた、Logicool(Logitech)製デバイス向けのネイティブかつローカルファーストな設定アプリケーション。公式のLogitech Options+の代替として、HID++プロトコルで直接デバイスと通信し、クラウド接続やテレメトリ送信なしにボタン割り当て、DPI、SmartShiftホイールなどを設定できる。,https://github.com/AprilNEA/OpenLogi,12557,"・Rust + GPUIで実装されたネイティブアプリで、macOS/Linux/Windowsをクロスプラットフォームでサポート
・クラウド不要・完全ローカルで動作し、設定はプレーンテキストのTOMLファイルで管理
・アプリごとのプロファイル自動切り替えやLitraライトの制御など、公式ソフト以上のカスタマイズ性を提供",公式のLogitech Options+がクラウド依存やプライバシー面で敬遠されがちな中、ローカル完結・オープンソースな代替を求めるLinuxユーザーやプライバシー志向のユーザーに刺さる。libratbagなど既存のHID++実装と並ぶ選択肢として、デスクトップ周辺機器管理ツール群の充実に寄与する。,Apache License 2.0 / MIT License,
cursor/plugins,TypeScript,AIコーディングエディタ「Cursor」の公式プラグイン仕様と、80種類以上のすぐに使えるプラグインをまとめたマーケットプレイスリポジトリ。Gmail、GitHub、Slack、Salesforceなど多数のSaaSツールとの連携プラグインを提供する。,https://github.com/cursor/plugins,4967,"・各プラグインが`.cursor-plugin/plugin.json`マニフェスト、SKILL.md、Cursor rules(.mdcファイル)、MCPサーバー定義から構成される統一フォーマット
・ルートのmarketplace.jsonで全プラグインを一元管理するモジュール構造
・開発者ツールから業務SaaS連携まで幅広いカテゴリをカバーし、Cursorのエコシステム拡大を後押し",Cursorユーザーが自分のワークフローに合わせて外部サービス連携を追加する際の公式リファレンス・出発点として使える。プラグイン仕様が公開されていることで、他のAIエディタ(Claude Code、VS Code拡張など)のプラグイン設計を検討する際の参考にもなりそうだ。,MIT License,
volcengine/OpenViking,Python,AIエージェント向けの「自己進化するコンテキストデータベース」。エージェントのメモリ、ナレッジRAG、スキルを`viking://`というファイルシステム風のURIで統一的に扱い、セッションをまたいで知識やユーザーの好み、経験を保持できるようにする。,https://github.com/volcengine/OpenViking,8745,"・L0(要約)/L1(概要)/L2(詳細)の3段階でコンテンツをロードし、不要なデータ取得を抑える階層的設計
・ディレクトリ構造を意識したベクトル検索によるセマンティック検索を実装
・会話セッションを自動的に永続メモリへ変換するイベント駆動の記憶抽出機構を持ち、Claude、OpenAI Codex、Cursorなど主要エージェントにフック/MCP経由で統合可能",長期間にわたって同じAIエージェントと対話するプロダクトで、ユーザー固有の文脈や過去の経験を継続的に活用したい場合に有用。単純なベクトルDBによるRAGだけでなく、メモリとスキルまで統一的に管理しようとする点で、次世代のエージェント基盤として注目に値する。,AGPL-3.0,
freestylefly/awesome-gpt-image-2,JavaScript,GPT-Image-2/2系モデル向けに、逆生成(リバースエンジニアリング)で収集した530以上のプロンプト事例と20以上の実務テンプレートを整理したライブラリです。プロンプトを散文ではなく再利用可能な「コードのような」構造化データとして扱う「Prompt as Code」という設計思想を掲げています。,https://github.com/freestylefly/awesome-gpt-image-2,21897,"・被写体、照明、素材、構図などをパーツごとに分解した原子的(atomic)なプロンプト設計手法を採用
・Claude Code/Codex/CursorなどのAIエージェント向けにnpmで配布されるSkillパッケージ(gpt-image-2-style-library)としても提供され、エージェント連携がしやすい
・544件・12カテゴリの事例集とGPT-Image-2.5との比較UIを備えた専用サイト(認証・課金対応)も併設されている",画像生成AIを使ったプロダクト開発やプロンプトエンジニアリングの学習教材として、コピペですぐ試せる実例集が重宝されそうです。構造化されたJSONテンプレートはAIエージェントによる自動プロンプト生成や生成ワークフローの自動化にも組み込みやすく、社内向けプロンプトライブラリの雛形としても参考になります。,MIT License,
cathrynlavery/diagram-design,HTML,Claude CodeやCodexなどのAIコーディングエージェント向けに、38(公式上は39)種類の「エディトリアル」な図解テンプレートを提供するスキル集。各図はビルド不要の自己完結型HTML+SVGファイルとして出力される。,https://github.com/cathrynlavery/diagram-design,26213,"・ウェブサイトから配色・フォントを自動抽出し、ブランドに合わせて図をカスタマイズする機能
・draw.io、Mermaid、Excalidrawで作成済みの図をインポートして高品質に再デザインできる
・アーキテクチャ図、シーケンス図、Sankey図、Wardleyマップなど幅広い種類をカバーし、prefers-reduced-motion対応などアクセシビリティにも配慮",技術ドキュメントやスライド資料の図版作成をAIエージェントに任せたい場合に有用で、デザインツールを使わずブランド統一感のある図を量産できる。ドキュメント自動生成やREADME整備の一環として、既存のMermaid運用を置き換える選択肢になりそう。,MIT License,
THU-MAIC/OpenMAIC,TypeScript,任意のトピックや資料をインタラクティブな「教室」体験に変換するオープンソースのマルチエージェント学習プラットフォーム。AIの教師役やクラスメート役がスライド・クイズ・シミュレーション・プロジェクト学習を通じて授業を進行する。,https://github.com/THU-MAIC/OpenMAIC,15888,"・LangGraphによるマルチエージェントオーケストレーションと、アウトライン生成からシーン生成までの2段階パイプライン
・ホワイトボード描画や音声合成によるAI同士の掛け合いなど28種類以上のアクションでリッチな授業演出を実現
・PowerPoint/HTML/ZIP形式でのエクスポートに対応し、Next.js/React/TypeScriptベースで構築",教育機関やeラーニング事業者が独自教材を自動生成するツールとして活用できそう。清華大学発のプロジェクトであり、AIチューターや自動教材生成が注目される中、実際に動くマルチエージェント教室のデモとして参考価値が高い。,MIT License,
ayghri/i-have-adhd,Python,コーディングエージェント(Claude Code や Cursor など)の出力から前置きや余計な説明を削ぎ落とし、結論と次の一手を即座に示すためのスキル/プラグイン。回答が冗長になり肝心の答えが埋もれてしまう問題の解決を目的としている。,https://github.com/ayghri/i-have-adhd,24025,"・「まず結論、次に行動」を強制する10個のルール(前置き禁止、箇条書きは最大5項目、次のアクションを明示 等)を定義
・SKILL.mdを編集するだけで挙動をカスタマイズでき、Claude CodeやCursorなど複数のエージェントにインストール可能
・AIの回答スタイルという普遍的な不満を突いたユーモラスなネーミングとシンプルな実装がバイラルの要因",既存のコーディングエージェントに軽量に追加できるスキルなので、日々の開発ワークフローに組み込んで「読む時間」を短縮する用途に向く。ペアプロや素早い意思決定が求められる現場、ADHD傾向のある開発者にとって特に実用性が高いと考えられる。,MIT License,
vorssaint/vorssaint-utils,Swift,複数の有料アプリに分散していた機能を1つのメニューバーアイコンに集約した、macOS向けオープンソースのユーティリティ集です。音量ミキシング、システムモニタリング、ウィンドウ管理、クリップボード履歴など多数のツールを提供します。,https://github.com/vorssaint/vorssaint-utils,13520,"・使わない機能はインストールしないモジュール方式で、不要なリソースや権限を持たせない設計
・アプリ単位で100%を超える音量調整ができる高度なオーディオルーティングや、ライブサムネイル付きウィンドウスイッチャーなど、複数の有料ツールを代替する機能を1本にまとめている
・「ローカルファースト・アカウント不要・トラッキングなし」を掲げたプライバシー重視設計で、SwiftUI/AppKitによりmacOS 14以降(Apple Silicon)に対応",Rectangle、AlDente、Stats、Maccyなど個別のユーティリティを組み合わせて使っている開発者にとって、それらを1つのアプリに統合できる点が魅力です。名称やアイコンは商標保護される一方でコード自体はGPLで公開されており、個人の生産性ツールとしてだけでなくOSS版macOSユーティリティの実装例としても参考になります。,GPL 3.0 or later,
debpalash/VoiceStudio,Python,VoiceStudioは、ElevenLabsのような商用音声AIサービスの完全ローカル動作版オープンソース代替アプリです。ボイスクローン、音声デザイン、動画の多言語吹き替え、文字起こし・翻訳、オーディオブック制作までを、クラウドやAPIキーなしで自分のマシン上で完結させられます。,https://github.com/debpalash/VoiceStudio,15895,"・16種のTTSエンジンと11種のASRエンジンを切り替え可能で、646言語をカバーする幅広い対応言語
・Tauri+React+FastAPI構成でmacOS/Windows/Linux/Dockerに対応し、CUDA/Apple Silicon(MPS/MLX)/ROCmなどGPUアクセラレーションもサポート
・生成音声にAudioSealの電子透かしを付与するなど悪用対策も考慮しつつ、話者分離・声紋保持型の動画吹き替えといった実用機能を備える",個人配信者や動画制作者がナレーション・吹き替えをオフラインで内製化する用途、社内向けに機密音声データをクラウドに出さず処理したい企業向けのニーズに合致します。ElevenLabsやHeyGenのAPI課金を避けたい開発者にとって、自前サーバーに組み込めるMCP対応のバックエンドとしても魅力的です。,GNU Affero General Public License v3.0(AGPL-3.0),
modular/modular,Mojo,AIの開発・デプロイを統合的に扱う「Modular Platform」のOSSコンポーネント一式です。推論高速化ライブラリ「MAX」と、AI/システムプログラミング向け言語「Mojo」(コンパイラと標準ライブラリを含む)を中核としています。,https://github.com/modular/modular,3049,"・MAXはOpenAI互換の推論サーバーと最適化されたカーネル群(/max/kernels)を提供し、Pythonでモデルのパイプライングラフを記述できる
・Mojoはコンパイラと標準ライブラリを含む本格的なシステムプログラミング言語で、Pythonライクな文法と高性能なネイティブ実行の両立を狙う
・コード本体はApache 2.0(LLVM例外付き)で公開されつつ、MAXの利用自体はModular Community Licenseに従うという、OSSコアと商用寄り利用規約を組み合わせたハイブリッド構成が特徴",LLM推論サーバーを自前で構築する際、vLLMやTensorRT-LLMと並ぶ選択肢として検討されそうです。MojoはPythonの書きやすさとC/Rust並みの速度を両立させる言語として、機械学習カーネルの開発やパフォーマンスが重要なAIアプリケーションの実装言語として注目に値します。,Apache License v2.0 with LLVM Exceptions,
