リポジトリ名,主要言語,概要,GitHubURL,Star増分,注目ポイント/要約,活用アイデア/関連性/所感,ライセンス,first commit日
omacom/omarchy,Shell,37signals/BasecampのDHH氏が開発した、Arch Linuxをベースとする「美しくモダンでオピニオン(独自の思想)を持った」Linuxディストリビューションです。ターミナル、Neovim、ブラウザなど開発に必要なアプリケーションとテーマ、ホットキーなどのUXが一体となって設計されています。,https://github.com/omacom/omarchy,16712,"・著名開発者DHH氏によるプロジェクトで、開発者体験(DX)重視の思想が明確に打ち出されている
・AI統合やPDF処理、Windows仮想マシン対応、ゲーミング機能まで含む51章にわたる公式マニュアルを整備
・「開発者向けに最適化されたLinuxディストロ」というニッチながら強い需要に応え、活発なコミュニティ(数千件のPR/Issue)を生んでいる点がトレンド入りの背景",開発者が自分のマシンをゼロから自分好みに設定する手間を省き、統一感のある開発環境をすぐに手に入れたい人に向いています。dotfilesや自作の環境構築スクリプトの代替、あるいは参考実装として活用できます。,MIT License,
tt-a1i/archify,JavaScript,コードベースやシステムの説明から、アーキテクチャ図・ワークフロー図・シーケンス図などをインタラクティブなHTML/SVGとして自動生成するAIエージェント向けスキルです。エージェントが型付きJSONを生成し、Archifyがそれを検証・コンパイルして図を出力します。,https://github.com/tt-a1i/archify,49900,"・アーキテクチャ、ワークフロー、シーケンス、データフロー、ライフサイクルの5種類の図と4つのビジュアルプリセット、ダーク/ライトテーマに対応
・型付きJSON中間表現(IR)と機械可読なエラーレシート付きの決定論的バリデーションにより、再現性の高い図の生成を保証
・ノード検索や経路トレース、Gitコミットに紐づくエビデンス付きノード、PRレビュー向けの「Architecture Delta」機能など実務寄りの機能を搭載",設計ドキュメントやPRレビューの際に、コードから自動で正確な構成図を生成したいチームに向いています。手書きの図がコードと乖離しがちな問題を、検証済みJSONを介した自動生成で解消するアプローチが、ドキュメント自動化トレンドの中で評価されていると考えられます。,MIT License,
anthropics/claude-plugins-community,Python,Claude CoworkおよびClaude Code向けのコミュニティプラグインマーケットプレイスのリードオンリーミラーリポジトリです。Anthropic社内の審査パイプラインを経て承認されたコミュニティ製プラグインを毎晩同期し、一覧(marketplace.json)として公開しています。,https://github.com/anthropics/claude-plugins-community,3715,"・全プラグインが自動セキュリティスキャンを通過してから掲載される審査済みマーケットプレイス
・Claude Code CLIから`claude plugin marketplace add`コマンドで直接追加できる手軽さ
・Claude Codeのプラグインエコシステムが急速に拡大する中、公式が用意したコミュニティ流通チャネルとして注目を集めている",Claude CodeやClaude Coworkの機能を拡張するプラグインを探す際のカタログとして活用できます。自作プラグインを公開したい開発者にとっても、公式の配布経路を理解する上での参考になります。,Apache License 2.0,
AprilNEA/OpenLogi,Rust,Logicool(Logitech)製デバイス向け公式ソフト「Logi Options+」の代替となる、Rust製のネイティブかつローカルファーストなアプリケーションです。アカウント登録やテレメトリ送信なしに、マウス・キーボード・Webカメラのボタン割り当てやDPI、RGB設定などを管理できます。,https://github.com/AprilNEA/OpenLogi,12695,"・macOS/Linux/Windowsをクロスプラットフォームでサポートし、GPUIフレームワークで構築されたネイティブUI
・HID++やUVCプロトコルを直接扱い、アプリごとのプロファイル自動切替やジェスチャー設定などOptions+同等以上の機能を実現
・「アカウント不要・テレメトリなし」というプライバシー重視の姿勢が、公式アプリへの不満を持つユーザー層から支持されトレンド入り",Logicool製マウスやキーボードを使いつつ公式アプリのクラウド依存やテレメトリを避けたいユーザーに直接的な代替手段を提供します。設定がプレーンテキストのTOMLで管理できるため、dotfilesで構成をバージョン管理・同期する運用とも相性が良いです。,Apache License 2.0 / MIT License(デュアルライセンス),
cursor/plugins,TypeScript,AIコードエディタCursorの公式プラグイン仕様と、70以上の公式プラグインを収録したマーケットプレイスリポジトリです。Gmail、Google Drive、Salesforce、GitHubなど業務ツールとの連携をスキル定義・ルール・MCPサーバー設定として標準化して提供します。,https://github.com/cursor/plugins,5026,"・各プラグインがスキル、Cursorルール、MCPサーバー定義を含む統一されたマニフェスト構造を持つ
・生産性ツールから営業・顧客管理(CRM)ツールまで、エンタープライズ用途を見据えた幅広い連携ラインナップ
・MCP(Model Context Protocol)エコシステムの拡大とCursorのエージェント機能強化を背景に、公式プラグイン標準としての注目度が高まっている",Cursorエージェントにメール送信やカレンダー確認、CRM操作などの実務タスクを行わせたいチームにとって、すぐに使える連携集として役立ちます。自社ツール向けの独自プラグインを作る際のリファレンス実装としても活用できます。,MIT License,
volcengine/OpenViking,Python,AIエージェントに会話をまたいだ永続的な記憶を持たせる「自己進化型コンテキストデータベース」です。viking://という仮想ファイルシステム上でリソース・メモリ・スキルを統一的に扱い、L0〜L2の3段階の詳細度で必要な情報だけを読み込むことでトークン消費を抑えます。,https://github.com/volcengine/OpenViking,8921,"・ベクトル検索とディレクトリ構造を組み合わせた効率的な検索と、セッション履歴を自動でメモリ化する仕組み
・入力トークンを34〜91%削減、レイテンシを58〜66%改善というベンチマーク数値を公表
・Claude、OpenAI Codex、CursorなどMCP経由で主要AIエージェントに統合可能な汎用性の高さがトレンド入りの要因",長期運用するAIエージェントに、ユーザーの好みや過去のやり取りを覚えさせて対応品質を高める用途に向いています。RAGパイプラインの代替・補完としてセルフホストまたはクラウドで導入し、既存のMCP対応エージェントに接続する運用が考えられます。,GNU Affero General Public License v3.0(AGPLv3、CLIツール等の一部はApache License 2.0),
freestylefly/awesome-gpt-image-2,JavaScript,GPT-Image 2 / 2.5向けのプロンプトライブラリで、UIデザイン、ポスター、EC商品画像など12カテゴリにわたる540以上のリバースエンジニアリングされた生成事例と、20以上の再利用可能なテンプレートを収録している。「Prompt as Code」という考え方に基づき、プロンプトを部品化・構造化して再利用できるようにしている点が特徴で、専用サイト(gpt-image2.canghe.ai)でプロンプトの閲覧・コピー・生成テストも可能。,https://github.com/freestylefly/awesome-gpt-image-2,22081,"・GPT-Image2とGPT-Image2.5の生成結果を並べて比較できるセクションがあり、両モデルの違いを可視化している
・プロンプトを被写体・ライティング・素材・レイアウトなどの原子的要素に分解し組み合わせ可能にする「Prompt as Code」設計
・npmパッケージとしてClaude CodeやCursorなどのAIエージェントに統合できるスキルを提供し、プロンプト生成を自動化できる",画像生成を伴うプロダクトのプロンプト設計リファレンスとして活用でき、既存のAIエージェント開発フローにスキルとして組み込むことでプロンプト生成を自動化できる。GPT-Image系モデルの活用が広がる中、体系化されたプロンプト資産として実務での再利用性が高いと感じる。,MIT License,
cathrynlavery/diagram-design,HTML,Claude Code、Codex、Piなどのコーディングエージェント向けに、38種類のエディトリアル品質の図版をHTML+SVGの自己完結ファイルとして生成するスキル。アーキテクチャ図からガントチャート、サンキー図、Wardleyマップまで幅広くカバーする。,https://github.com/cathrynlavery/diagram-design,23268,"・Webサイトからカラーパレットとタイポグラフィを自動抽出し、WCAG AAのコントラスト基準を満たしながらブランドに合わせた図版を生成する
・draw.io、Mermaid、Excalidrawからのインポート・再描画に対応し、対象読者(エンジニア/経営層など)に応じて詳細度を調整できる
・シャドウなし・テンプレート感のないエディトリアルなデザイン方針により、AI生成にありがちな「いかにも感」を排除している点が差別化要因",ブログ記事や技術ドキュメント、プレゼン資料の図版作成を大幅に効率化するツールとして、既存のMermaid運用からの置き換えや併用が考えられる。ブランドカラー自動抽出機能はマーケティング資料制作にも応用でき、社内の資料作成スキルセットの一部として組み込みやすい。,MIT License,
THU-MAIC/OpenMAIC,TypeScript,トピックや資料を入力するだけでスライド・クイズ・シミュレーションを含む没入型のマルチエージェント授業を自動生成する、清華大学のMAIC研究グループ発のTypeScript製オープンソースプロジェクト。LangGraphによる複数エージェントの協調とPostgreSQLバックエンドの永続実行を組み合わせている。,https://github.com/THU-MAIC/OpenMAIC,16207,"・レッスンアウトライン生成からシーン詳細生成までの2段階パイプラインと、音声合成・板書・リアルタイム討論を伴う「授業再生エンジン」という独自アーキテクチャ
・PowerPointやインタラクティブHTML、オフライン教材パッケージへのエクスポートに対応し、教育現場での実用性を重視している
・有力大学発のプロジェクトであることと、マルチエージェントによる教育UXという新規性がトレンド入りの背景と考えられる",eラーニング教材やオンライン講座の自動生成基盤として、教育機関や企業研修コンテンツ制作に応用できそう。マルチエージェントのオーケストレーション設計は教育分野以外のインタラクティブコンテンツ生成にも転用できる可能性がある。,MIT License,
ayghri/i-have-adhd,Python,コーディングエージェントの出力を「ADHDフレンドリー」に整形するスキル/プラグインです。前置きや余計な説明を省き、結論となる具体的な次の一手を先頭に示す10個のルールに基づいて応答を再構成します。Claude、Cursor、Codexなど複数のAIコーディングツールに対応した設定ファイル(.claude-plugin、.codex-plugin など)を同梱しています。,https://github.com/ayghri/i-have-adhd,24963,"・冗長な前置き・後書きを排除し、実行可能なコマンドやファイル行を先頭に出す独自ルールセットを持つ
・単一のスキルで主要なコーディングエージェント(Claude Code、Cursor、Kimiなど)を横断的にサポート
・45.7kスター超と非常に高い支持を集め、AIの「話が長すぎる」問題への実用的な解決策として急速に拡散した",長文の説明で回答の要点を見失いがちな開発者や、AIエージェントの出力を素早く実行に移したいチームに向いています。既存のClaude Code/Cursorのワークフローにそのまま追加でき、レビューや修正指示のやり取りを大幅に短縮できそうです。他のエージェント運用最適化系スキル(context-mode、ponytailなど)と組み合わせて使うことも考えられます。,MIT License,
