リポジトリ名,主要言語,概要,GitHubURL,Star増分,注目ポイント/要約,活用アイデア/関連性/所感,ライセンス,first commit日
omacom/omarchy,Shell,見た目の美しさと楽しさ、そしてエージェント的な使いやすさを重視したLinuxディストリビューション。テーマ、ホットキー、開発ツール、AIツールなどの設定がドキュメントとして整理され、初期セットアップから応用設定まで幅広くカバーしている。,https://github.com/omacom/omarchy,16707,"デザイン性を前面に出した「美しく楽しいLinux」というコンセプトで差別化
ターミナル、Neovim、AIツールなど開発者向けアプリケーションを一括で構成済み
デュアルブートやシステムスナップショットなど実用的な運用機能も充実し、活発なコミット履歴を持つ",開発者やパワーユーザーが自分好みに調整済みのLinux環境をすぐに使いたい場合の選択肢になり、既存のArch Linuxベースの環境構築(dotfilesリポジトリなど)を一括で置き換えるスターターキットとして位置づけられそう。,MIT license,
tt-a1i/archify,JavaScript,Archifyは、コードの説明やシステム仕様をAIエージェント(Cursor、Claude Code、Codex CLIなど)向けに解析し、アーキテクチャ図・ワークフロー図・シーケンス図・データフロー図・ライフサイクル図として自動生成するNode.js製のレンダリングシステムです。生成された型付きJSONを、検索やルート追跡が可能な自己完結型のHTML/SVGビジュアライゼーションにコンパイルします。,https://github.com/tt-a1i/archify,51755,"5種類の図(アーキテクチャ/ワークフロー/シーケンス/データフロー/ライフサイクル)に対応し、上流/下流の影響範囲分析やBefore/After比較機能を搭載
Gitに紐づいたソース証拠による検証済みの参照や、機械可読な修復レポートを伴う決定論的バリデーションが特徴
PNG/SVG/WebM/共有カード(1200×630)など多様なエクスポート形式とダーク/ライトテーマに対応",AIコーディングエージェントに「アーキテクチャ図スキル」として組み込むことで、コードレビューや設計ドキュメント作成の自動化に活用できそうです。既存のMermaidやdraw.ioベースの図生成ツールと差別化されるのは、検証可能性(verifiable)を重視した設計思想である点です。,MIT License,
anthropics/claude-plugins-community,Python,Claude CoworkおよびClaude Code向けのコミュニティプラグインマーケットプレイスのリードオンリーミラーリポジトリです。Anthropicの自動セキュリティスキャンと承認プロセスを通過したコミュニティ製プラグインの一覧を掲載しています。,https://github.com/anthropics/claude-plugins-community,3853,"Anthropicの内部レビューパイプラインから毎晩自動同期される仕組み
全プラグインが自動セキュリティスキャンと手動承認を経ている
Claude Code CLIからclaude plugin marketplace addコマンドで簡単に追加できる",Claude Codeのエコシステム拡張に直接関わるリポジトリで、開発者は自作プラグインを公式マーケットプレイスに提出する際の参照先として利用できます。,Apache License 2.0,
cursor/plugins,TypeScript,Cursorエディタ向けの公式プラグイン仕様と、開発ツール・SaaS製品との統合を提供するマルチプラグイン・マーケットプレイスリポジトリです。各プラグインはスキル・ルール・MCPサーバー定義を含む独自のマニフェストを持ちます。,https://github.com/cursor/plugins,5021,"Gmail、Salesforce、HubSpotなど70以上のサードパーティ統合を収録
コードレビューや継続学習など、エージェントのワークフローを強化する独自ツールも同梱
ルートの.cursor-plugin/marketplace.jsonで全プラグインを一元管理する構造",Cursorを使う開発チームがCRMや生産性ツールとの連携を素早く導入するための参照実装として活用できます。Claudeプラグインマーケットプレイスと同様、AIコーディングツールのエコシステム標準化という共通トレンドを示しています。,MIT License,
AprilNEA/OpenLogi,Rust,OpenLogiは、Logicool(Logitech)製周辺機器をアカウント登録やテレメトリ収集なしで設定できる、Rust製のネイティブかつローカルファーストなLogitech Options+代替アプリです。,https://github.com/AprilNEA/OpenLogi,12927,"HID++プロトコルによるマウス/キーボード/ウェブカメラのボタン割り当て、DPI設定、SmartShiftホイール制御に対応
アプリ単位のプロファイル自動切り替えやジェスチャー割り当て、RGBライティング制御を搭載
macOS/Linux/Windowsをクロスプラットフォームでサポートし、GUIとCLIの両方を提供、設定はプレーンテキストのTOML",プライバシー重視でLogitechの純正ソフトを避けたいユーザーや、Linux環境でLogicool製品を使いたいユーザーにとって実用的な代替となります。,"Apache-2.0, MIT licenses found",
THU-MAIC/OpenMAIC,TypeScript,マルチエージェントAIを活用してインタラクティブな授業(講義・クイズ・シミュレーション・プロジェクト学習)をワンクリックで自動生成するプラットフォーム。清華大学発のプロジェクトで、資料やトピックを入力するだけでAI教師・AIクラスメートによる没入型学習体験を作成できる。,https://github.com/THU-MAIC/OpenMAIC,16773,"複数LLM(OpenAI, Anthropic, DeepSeekなど)を組み合わせたマルチエージェントオーケストレーションで授業を構築
PDF/動画/音声などの資料取り込みからPowerPoint・HTML出力まで一気通貫のワークフロー
Slack/Feishuなどのチャットツールとも連携できるエージェントワークベンチ機能",教育機関やeラーニング企業が個別最適化された授業コンテンツを自動生成する用途に応用できそう。既存のAI教育ツールやスライド生成AIと比較して、マルチエージェントによる対話的授業という切り口が新しい。,MIT license,
freestylefly/awesome-gpt-image-2,JavaScript,GPT Image 2/2.5向けの画像生成プロンプトを体系化したライブラリで、「Prompt as Code」という思想のもと、散文的なプロンプトを再利用可能な構造化プロトコルへ変換する530以上の事例とテンプレート集です。,https://github.com/freestylefly/awesome-gpt-image-2,22206,"UI、インフォグラフィック、写真、イラスト、キャラクターなど12カテゴリにわたる544以上の事例を収録
Claude Code、Codex、Cursor向けのエージェントスキルパッケージ(gpt-image-2-style-library)を提供
被写体・照明・素材・レイアウトなどを原子的な構成要素に分解し、プログラムから利用可能なJSON形式でも公開",画像生成AIを業務ワークフローに組み込みたいデザイナーやエンジニアが、プロンプトの再現性と品質を高めるためのテンプレート集として活用できます。,MIT License,
ayghri/i-have-adhd,Python,コーディングエージェントの出力を簡潔で行動指向な形式に変換するスキル/プラグイン。長い説明を避け、直近の次のステップや番号付き手順を優先して提示する。,https://github.com/ayghri/i-have-adhd,25944,"「まず行動可能なステップを示す」「箇条書きは5項目まで」など10のルールで冗長な前置きや定型句を排除
ADHDに配慮したUXという切り口が、AIエージェントの出力過多という共通の不満に刺さりトレンド入り
Claudeを含む複数のAIコーディングエージェントに適用可能なシンプルな設計",Claude Codeなどのエージェント出力を簡潔にしたい開発者が個人設定として導入できる。冗長な説明に時間を取られたくないパワーユーザー向けのUX改善スキルとして、他の出力整形系スキルと組み合わせて使えそう。,MIT License,
cathrynlavery/diagram-design,HTML,Claude Code、Codex、Piなどのコーディングエージェント向けに、自然言語の説明から直接プロフェッショナルな図を生成できる38種類のエディトリアル品質の図表テンプレート集(スキル)です。,https://github.com/cathrynlavery/diagram-design,21458,"アーキテクチャ図、フローチャート、シーケンス図、状態遷移図、ガントチャート、サンキー図など39種類の図表タイプに対応
ウェブサイトから配色やタイポグラフィを自動抽出してブランドに合わせるブランドオンボーディング機能
draw.io、Mermaid、Excalidrawからのインポートや、外部依存のない自己完結型HTML/SVG出力、アクセシビリティ対応を標準搭載",ドキュメント作成やプレゼン資料制作を自動化したいチームが、デザインツールなしで一貫性のある図を素早く用意する用途に向いています。,MIT License,
vorssaint/vorssaint-utils,Swift,Vorssaintは、複数の有料ユーティリティの機能を一つに統合したmacOS用メニューバーアプリです。アカウント登録・テレメトリ・サブスクリプションなしで、完全にローカルで動作します。,https://github.com/vorssaint/vorssaint-utils,14080,"音声(アプリ別音量制御、マイクツール)、システム監視(CPU/GPU/温度/バッテリー)、ウィンドウ管理(スナップ、Dockプレビュー)など多機能を統合
クリップボード履歴、テキストスニペット展開、Dynamic Island再現、コマンドバーなど日常利用に便利な機能を多数搭載
Swift製でネイティブなmacOS体験を提供しつつ、Homebrewマネージャーやアンインストーラーなどシステムユーティリティも内包",Rectangle、CleanMyMac、AlDenteなど複数の有料/無料Macユーティリティを個別に使っているユーザーにとって、それらを一本化できる点が魅力です。,GPL-3.0,
