リポジトリ名,主要言語,概要,GitHubURL,Star増分,注目ポイント/要約,活用アイデア/関連性/所感,ライセンス,first commit日
omacom/omarchy,Shell,DHHが手がける、見た目の美しさと現代的な開発体験を重視したOpinionatedなLinuxディストリビューション。Hyprlandベースのデスクトップ環境に、厳選されたアプリ・テーマ・ホットキーがあらかじめ統合されている。,https://github.com/omacom/omarchy,11259,"・Neovimやターミナル、AIツールまで含め「すぐ使える」設定済み環境を提供する強いオピニオン設計
・3.7万スター・6000件超のコミットを誇り、デュアルブートやセキュリティ設定まで網羅した公式マニュアルを整備
・カスタムテーマやdotfilesによる柔軟なカスタマイズ性を、統一された美しいデフォルト体験と両立",開発マシンをゼロから構築する手間を省きたいエンジニアや、洗練されたLinuxデスクトップを求めるユーザーに向く。既存のArch Linuxベースの手作業セットアップを代替・簡略化する選択肢として注目されている。,MIT License,
firecrawl/pdf-inspector,Rust,PDFがテキストベースかスキャン画像かを高速に判定し、レイアウトを保持したままテキスト抽出やMarkdown変換を行うRust製ライブラリです。標準的な文書であればOCRなしで構造化テキストを取得できます。,https://github.com/firecrawl/pdf-inspector,15341,"・10〜50msでPDF種別(テキスト/スキャン/画像/混在)を判定し、信頼度スコア付きでページ単位のOCR要否を提案するスマート分類機能
・フォント比率による見出し検出、太字/斜体の保持、表の二重モード検出、多段組みやRTLテキストへの対応など、実務レベルのMarkdown変換精度を追求
・必要なページだけをOCRに回す選択的OCR設計により処理コストを削減できる",RAGパイプラインの文書前処理やドキュメント解析基盤のコンポーネントとして組み込みやすい設計です。firecrawl社の既存のWebスクレイピング製品群とあわせて、PDFを含むデータ収集・変換基盤の一部として活用できそうです。,MIT License,
freestylefly/awesome-gpt-image-2,JavaScript,GPT-Image-2向けに逆解析された544件以上のプロンプト事例と20種類超の実運用向けテンプレートを収録した、「Prompt as Code」思想に基づくプロンプトエンジン兼テンプレートライブラリ。UI・インフォグラフィック・写真・イラストなど12カテゴリにわたり構造化されたプロンプトを提供する。,https://github.com/freestylefly/awesome-gpt-image-2,16908,"・被写体・ライティング・素材・レイアウトなどを部品化して組み合わせる「アトミックスキーマ」により、プロンプトをコードのように再利用・合成可能にしている点がユニーク
・Claude Code/Codex/Cursor向けのエージェントスキルパッケージを提供し、AIエージェントによるバッチ画像生成ワークフローに直接組み込める
・gpt-image2.canghe.aiでフィルタ・プレビュー・生成が可能なギャラリーサイトを公開し、Supabase/Postgres/Vercelなどのモダンな構成で運用されている",画像生成を用いたマーケティング素材やUIモックアップ制作を効率化したいデザイナー・マーケターが、テンプレートをそのまま流用してプロンプト作成の試行錯誤を減らせる。AIエージェントに組み込むことでバッチでの画像生成パイプラインを自動化する用途にも応用できそうである。,MIT License,
TencentCloud/TencentDB-Agent-Memory,TypeScript,複数のAIエージェントやフレームワークをまたいで経験・知識を蓄積・共有できるチーム向けメモリ基盤です。会話やドキュメント、コードを「メモリ資産」として再利用可能な形に変換します。,https://github.com/TencentCloud/TencentDB-Agent-Memory,15913,"・チャット記憶をL0(生データ)からL3(ペルソナ)まで階層化して要約するレイヤードメモリ設計
・Skills(実行可能ワークフロー)、Wiki(構造化ドキュメント)、CodeGraph(コードシンボル索引)など多様なメモリ資産タイプをサポート
・Claude Code、DeepSeek Harness、Hermesなど複数のエージェントフレームワークに対応するプロキシ層とACLベースのアクセス制御を備える",複数のAIエージェントを運用する開発チームが、セッションを跨いだナレッジ共有基盤として導入できます。社内向けAIエージェント基盤の記憶レイヤーとして、既存のベクトルDBベースのメモリ実装を置き換える選択肢にもなりえます。,MIT License,
anthropics/claude-plugins-community,Python,Claude CoworkとClaude Code向けのコミュニティプラグインマーケットプレイスのミラーリポジトリ。Anthropicのセキュリティ審査を通過したサードパーティ製プラグインの一覧を`.claude-plugin/marketplace.json`で管理し、`claude plugin install`コマンドで導入できる。,https://github.com/anthropics/claude-plugins-community,2543,"・全プラグインが自動セキュリティスキャンとAnthropicの承認パイプラインを経てから掲載される仕組み
・直接のPull Requestは自動クローズされ、専用フォームからの申請のみを受け付けるガバナンス設計
・2.9k超のスターを獲得し、Claude Codeのプラグインエコシステム拡大を象徴する存在に",Claude Codeを使う開発者がコミュニティ製の拡張機能(要約支援、デザイン支援、金融連携など)を手軽に発見・導入するためのカタログとして活用できる。公式版(claude-plugins-official)と役割分担しており、両者を組み合わせることでClaude Codeのカスタマイズ性がさらに広がる。,Apache License 2.0,
zhaoxuya520/reverse-skill,PowerShell,リバースエンジニアリングやペネトレーションテストのタスク内容に応じて、適切な手法・ツールチェーンへ自動的にルーティングするAI駆動のスキルルーティングシステムです。,https://github.com/zhaoxuya520/reverse-skill,21984,"・APK解析からバイナリ解析、CTF競技まで20以上のセキュリティ領域をカバーする43のルーティングルール(R0〜R44)を実装
・IDA Pro、radare2、Ghidra、Frida、jadxなど散在しがちなセキュリティツールを自動検出・統合し、Windows/Linux/macOSで動作
・Claude Code、Kiro、Cursor、Clineなど複数のAIコーディングクライアントに対応するクライアント非依存設計と、173件のベンチマークによる回帰テストで精度を担保",セキュリティ研究者やCTFプレイヤーが、AIコーディングアシスタントと組み合わせて解析作業を効率化する際に活用できます。既存のリバースエンジニアリングツール群を横断的に使うためのオーケストレーション層としても興味深い試みです。,MIT License(一部コンポーネントはGPLv3など個別ライセンス),
cactus-compute/needle,Python,パラメータ数4500万、サイズ14MBというコンパクトなツール呼び出し特化型基盤モデル「Needle 2」です。スマートフォンやウェアラブルなど省リソースなデバイス上でのオンデバイスAI推論を目的としています。,https://github.com/cactus-compute/needle,6450,"・Hadamard MLPを用いたSimple Attention Network構造とCactus Quantsによる2-bit量子化により、約28MBのRAMで動作
・スキーマから生成されるバイトレベル文法でトークン生成を制約し、構造化データ(JSON)を確実に出力するツール呼び出し機構
・上位5件のツールを絞り込むツール検索や信頼度スコア付き応答、LoRAによるファインチューニングなど実運用を意識した機能群",スマートホームやウェアラブルデバイスなど、クラウド接続に頼れない組み込み環境でのAIエージェント機能実装に向いています。既存の大規模LLM APIに依存しないオフラインAIアプリの開発を検討する際の材料になりそうです。,Apache License 2.0,
volcengine/OpenViking,Python,AIエージェント向けのメモリ・知識・スキルを`viking://`という仮想ファイルシステムとして統一的に管理するオープンソースのコンテキストデータベースです。ベクトルDBのブラックボックス的な検索ではなく、決定論的にディレクトリを辿る形でコンテキストを取得できます。,https://github.com/volcengine/OpenViking,6903,"・書き込み時にL0(要約)、L1(概要)、L2(詳細)の3階層でコンテンツを処理し、必要な粒度だけを読み込むことでトークン消費を大幅削減
・クエリの探索経路(ディレクトリ巡回の軌跡)を保持し、なぜその結果が検索されたかを開発者がデバッグできる可観測性重視の設計
・Claude Code、Codex、LangChainなど複数のエージェント・フレームワークと統合可能で、セッション終了後に非同期でユーザー嗜好や経験を長期記憶へ抽出する",RAGとエージェントメモリを統合的に扱いたいプロジェクトの基盤として利用できます。volcengine(ByteDance)のAI関連プロダクトとの連携や、既存のベクトル検索主体のRAG構成からの移行先候補として注目に値します。,AGPL-3.0(一部コンポーネントはApache-2.0),
AprilNEA/OpenLogi,Rust,Logicool純正の「Logi Options+」に代わる、アカウント登録もテレメトリ送信も不要なネイティブ・ローカルファーストの周辺機器設定ツール。Rust製でHID++/UVCプロトコルを直接扱う。,https://github.com/AprilNEA/OpenLogi,9946,"・ボタンリマップ、DPI調整、SmartShiftホイール制御、アプリごとのプロファイル自動切替など実用機能を網羅
・GPUIフレームワーク採用によるネイティブで軽量なUI、macOS/Linux/Windowsをサポート
・プライバシー重視の姿勢が支持され、1.8万スターを獲得するなど短期間で急速に注目を集めた",Logicoolデバイスのユーザーが公式ソフトの重さやアカウント要求を避けたい場合の代替として即座に使える。オープンソースのハードウェア制御ツールとして、他社デバイス対応拡張などコミュニティ貢献も期待される。,Apache License 2.0 / MIT License (デュアルライセンス),
apache/maka,TypeScript,Apache Software Foundationでインキュベーション中の「ローカルファースト」なAIエージェント作業環境。モデルとのやり取りやツール実行を追記専用ログとして記録し、再現性とクラッシュからの復旧を実現する。,https://github.com/apache/maka,3257,"・デスクトップ(Electron+React)・CLI/TUI・評価用(Eval)の3つのサーフェスが同一ワークスペースを共有する設計
・Read/Write/Edit/Bash/Glob/Grepなど組み込みツールに加え、Computer Useやスキルカタログにも対応
・外部ツールアクセスに承認を要求するサンドボックス境界などセキュリティ重視の設計で、Apacheプロジェクトとしての信頼性も高い",Claude CodeやCursorのようなAIコーディングエージェントに代わる、データを手元に残したまま使えるローカル完結型の選択肢として利用できる。現状はApple Siliconが主対象でWindowsはアンサイン版プレビュー、Linuxは未対応のため、今後の対応拡大が注目される。,Apache License 2.0,
