リポジトリ名,主要言語,概要,GitHubURL,Star増分,注目ポイント/要約,活用アイデア/関連性/所感,ライセンス,first commit日
cathrynlavery/diagram-design,HTML,Claude Code、Codex、Piなどのコーディングエージェント向けに、38種類のエディトリアル(編集デザイン)スタイルの図解テンプレートを提供するスキル。アーキテクチャ図やフローチャート、タイムラインなどを、依存ライブラリなしの自己完結型HTML+SVGとして生成する。,https://github.com/cathrynlavery/diagram-design,30797,"・Mermaidのような画一的な見た目を避け、影を使わない洗練された編集デザイン風の図を自動生成
・オンボーディング時にウェブサイトから配色やフォントを抽出し、ブランドに合わせたビジュアルを数秒で適用
・draw.ioやMermaidの既存図をこのデザイン体系で再描画したり、PNG/SVG/HTMLへ書き出したりできる",技術ブログや社内ドキュメント、提案資料などで、見栄えの悪いMermaid図を置き換える用途に向いている。AIエージェントが生成する図の質を底上げするスキルとして、diagram-design単体でもClaude Codeのプラグインとして組み込みやすい点が評価されトレンド入りしたと考えられる。,MIT License,
omacom/omarchy,Shell,Omarchyは、開発者向けエクスペリエンスと美しいデザインに主眼を置いたオピニオン強めのLinuxディストリビューション(セットアップ)で、開発者DHHが中心となって作成している。ターミナル環境、Neovim、AI関連ツール、開発ツール、GUIアプリケーションまでを一括で構成し、すぐに使える洗練されたLinuxデスクトップ環境を提供する。,https://github.com/omacom/omarchy,15226,"・アプリケーション、シェル設定、テーマなどをモジュール単位で管理する構造を持ち、マルチモニターやキーボード/トラックパッド設定、Windows VM連携までカバーする充実したマニュアルを備える
・「美しく、楽しく、エージェント的(agentic)」を標榜し、AI活用を前提とした開発環境として設計されている
・3.9万超のスターと4千以上のフォークを獲得し、opinionatedなLinuxセットアップとして大きなコミュニティを形成している",個々のツールを手作業で設定する手間を省き、統一感のある美しい開発環境を短時間で構築したい開発者にとって有用な出発点となる。Arch Linuxベースの他のdotfilesリポジトリやディストリビューション(Omakubなど)と同系統の思想を持ち、既存の環境構築を一新したいユーザーの選択肢の一つになりうる。,MIT License,
cursor/plugins,TypeScript,本リポジトリはAIコードエディタ「Cursor」向けのプラグイン仕様と、GitHub・Playwright・Gmail・Salesforce・HubSpotなど70以上の公式プラグインをまとめたマーケットプレイスである。各プラグインはmanifest(plugin.json)を持つ独立したディレクトリとして構成され、ルートのmarketplace.jsonで一元管理されている。,https://github.com/cursor/plugins,4574,"・SKILL.md形式のスキル定義、Cursor独自のルールファイル(.mdc)、MCPサーバー定義をプラグイン内に組み合わせて拡張機能を構築できる
・開発ツール系だけでなく生産性向上アプリやビジネスSaaSまで幅広いカテゴリの公式インテグレーションを揃えている
・Cursorエディタ自体の急速な普及とともに、拡張エコシステムの公式リファレンス実装として注目されている",Cursor向けに独自プラグインを開発する際のテンプレートやベストプラクティスの参照先として活用できる。Claude Codeのプラグイン/MCPエコシステムなど、他のAIコーディングツールにおける拡張機構とも設計思想が近く、比較検討の材料としても有用である。,MIT License,
tt-a1i/archify,JavaScript,アーキテクチャ図、ワークフロー図、シーケンス図、データフロー図、ライフサイクル図をAIエージェントとのチャット内で生成できるagent skillです。図をタイプ付きJSONの中間表現として生成し、バリデータで検証した上でHTML/SVGへ決定論的にレンダリングする点が特徴です。,https://github.com/tt-a1i/archify,44220,"・「実際に定義された関係性だけを使って探索・トレースする」truthful interactionという設計思想により、AIが関係性を勝手に推測して誤った図を出さないよう検証機構を組み込んでいる
・Before/After形式の差分検証や機械可読なレシートによる変更確認など、単なる図生成ツールを超えた「検証可能な設計ドキュメント」という位置づけがトレンド入りの理由と考えられる
・PNG/SVG/WebMや共有用カードなど、ポータブルな自己完結型HTML出力に対応し、外部の作図ツール不要で共有できる",設計レビューやオンボーディング資料として、コードベースの構造をClaude Codeなどに説明させながらその場で図を生成させる用途に向いています。draw.ioなどの手動作図ツールを置き換え、PRごとにアーキテクチャ図を自動更新するような使い方も考えられます。,MIT License,
anthropics/claude-plugins-community,Python,本リポジトリは、Claude CowworkおよびClaude Code向けのコミュニティプラグインマーケットプレイスの読み取り専用ミラーであり、Anthropicによるセキュリティレビューと承認を経たコミュニティ製プラグインを一元的にまとめたハブである。中心となるレジストリは.claude-plugin/marketplace.jsonに格納され、内部レビューパイプラインから毎晩同期される。,https://github.com/anthropics/claude-plugins-community,3348,"・プラグインは専用の提出フォーム経由でのみ受け付けられ、リポジトリへの直接プルリクエストは自動的にクローズされる仕組みになっている
・全プラグインが自動セキュリティスキャンを経てから配布されるため、安全性が担保されたコミュニティエコシステムとして機能する
・Claude Codeからは`claude plugin marketplace add`コマンド一つで導入でき、Claude Cowork向けにはWebからのワンクリックインストールにも対応する",Claude CodeやClaude Cowork向けに独自の拡張機能を配布したい開発者にとって、公式に認められた配布チャネルとして活用できる。既存のclaude-plugins-official(Anthropic公式プラグイン)と対をなす存在であり、コミュニティ主導のエコシステム拡大という点で今後の発展が期待される。,Apache License 2.0,
semantica-agi/semantica,Python,Semanticaは、企業内の多様なデータを構造化された「コンテキストグラフ」に変換し、意思決定の根拠(プロブナンス)を追跡可能にするオープンソースのナレッジ基盤である。LLMによる推論と決定論的な推論システムの橋渡しを行い、金融や医療など規制の厳しい業界でのAI活用を想定して設計されている。,https://github.com/semantica-agi/semantica,9951,"・因果関係を追跡できるコンテキストグラフ構築に加え、W3C PROV-O準拠のプロブナンス追跡やSHACL検証、OWLオントロジー生成など、監査可能なAIシステムに必要な機能を包括的に備える
・Neo4jやFalkorDBなどのLPGデータベース、OxigraphやBlazegraphなどのRDFストア、FAISS・Qdrant・Weaviate・Pineconeといった複数のベクトルストアに対応するポリグロット構成
・Agno・CrewAI・LangChainとのネイティブ統合により、既存のエージェントフレームワークにナレッジグラフ層を組み込みやすい設計になっている",LLMの出力をそのまま信頼できない規制業界において、AIエージェントの意思決定プロセスを追跡・監査可能にする基盤として活用が見込まれる。RAG(検索拡張生成)の高度化やナレッジグラフベースのAIエージェント構築を目指すプロジェクトにとって、既存のベクトルDB中心の実装を補完する選択肢となりうる。,MIT License,
AprilNEA/OpenLogi,Rust,Rustで実装された、Logicool純正ソフト「Logi Options+」に代わるネイティブかつローカルファーストな周辺機器管理アプリです。クラウドアカウントやテレメトリ送信を必要とせず、マウス・キーボード・Webカメラなどのカスタマイズをオフラインで完結できます。GPUIベースのUIとバックグラウンドエージェントでデバイスI/Oを処理し、macOS・Linux・Windowsに対応しています。,https://github.com/AprilNEA/OpenLogi,11896,"・Bolt/Unifyingレシーバー、Bluetooth、有線接続に対応し、ボタンリマップ、ジェスチャー、DPI制御、SmartShiftなど純正ソフト同等以上の機能を実装
・設定はプレーンテキストのTOMLで管理でき、CLIも用意されているため同期や自動化がしやすい
・プライバシー重視(クラウド不要・テレメトリなし)とLinuxを含むクロスプラットフォーム対応が支持を集め、短期間で2万超のスターを獲得",Logicool製デバイスを使うLinuxユーザーやプライバシーを重視する開発者にとって、公式ソフトの実用的な代替となります。設定をTOMLで管理できるためdotfilesでの構成管理や複数マシン間の同期にも向いており、OSS版デバイスマネージャーとして今後のLogicool以外のデバイス対応拡張にも期待できます。,Apache License 2.0 / MIT License,
volcengine/OpenViking,Python,AIエージェント向けの「自己進化型コンテキストデータベース」です。従来のベクトルストアではなく、viking://プロトコルによる仮想ファイルシステムとしてメモリ・知識・スキルを整理し、エージェントがディレクトリを辿るように決定論的にコンテキストを取得できるようにします。,https://github.com/volcengine/OpenViking,8115,"・L0(要約)/L1(概要)/L2(詳細)の3段階でコンテンツを階層的にロードし、トークン消費を抑えつつ必要な情報だけを取得
・クエリごとの探索経路(ディレクトリ辿り)を保持する「Observable Retrieval」により、なぜその結果が得られたかをデバッグ可能
・ベンチマークでユーザー記憶精度が24〜57%から80〜83%に向上、入力トークンを34〜91%削減するなど具体的な数値を示し注目を集めた",長期記憶やスキル管理を必要とするマルチエージェントシステムの基盤として利用でき、RAGやベクトルDBの代替としてエージェントのコンテキスト管理を効率化できそうです。セッション終了後に非同期でユーザーの好みや経験を長期記憶へ抽出する仕組みは、既存のエージェントフレームワークにも組み込みやすい設計になっています。,GNU Affero General Public License v3.0(一部CLI・サンプルはApache License 2.0),
xai-org/x-algorithm,Rust,X(旧Twitter)の「おすすめ」フィードを実際に動かしているランキング・推薦アルゴリズムのコア実装です。フォロー内投稿とフォロー外の発見的投稿を組み合わせ、機械学習でフィルタリング・ランキングして表示順を決定します。,https://github.com/xai-org/x-algorithm,6114,"・直近投稿を保持するThunder、Transformerベースでエンゲージメントを予測するPhoenix、アカウント/投稿をクラスタリングするSimClustersなど複数コンポーネントで構成
・安全性ラベル等に基づく可視性フィルタリングをランキングと分離して実装しており、2026年8月には学習コードや合成データ生成、可視性ラベルを確認できる「Under the Hood」ツールが追加された
・大規模SNSのフィードアルゴリズムを丸ごと公開する前例の少ない透明性が注目され、3.3万超のスターを獲得",推薦システムの設計を学ぶ教材として、あるいは自社サービスのランキングロジック設計の参考実装として活用できます。Apache 2.0ライセンスのため商用フォークも可能で、SNS以外のフィード型プロダクト(ニュースアプリ等)への応用も考えられます。,Apache License 2.0,
freestylefly/awesome-gpt-image-2,JavaScript,GPT-Image2向けに540以上のリバースエンジニアリングされた生成事例を、UIデザインやインフォグラフィック、写真、イラストなど12カテゴリの再利用可能な「Prompt as Code」テンプレートとして整理したプロンプトエンジニアリングライブラリです。,https://github.com/freestylefly/awesome-gpt-image-2,19654,"・20種類以上の実務レベルのプロンプトテンプレートと、フィルタ・生成テスト機能付きのギャラリーサイトを提供
・Claude CodeやCodexなど各種AI開発ツール向けのエージェントスキルパッケージとしてnpm公開されており、プロンプトを構造化データとしてエージェントに組み込める
・単なるプロンプト例集ではなく、バッチ生成やテンプレート再利用を前提にした「Prompt as Code」という考え方でプロダクション利用への橋渡しをしている点が支持を集めた",画像生成を伴うプロダクト開発やコンテンツ制作の効率化に直接活用でき、AIエージェントのスキルとして組み込めば自動化ワークフローにも展開しやすいです。プロンプトの再現性・構成可能性を重視した設計は、社内向けプロンプトライブラリを整備する際の参考にもなります。,MIT License,
