リポジトリ名,主要言語,概要,GitHubURL,Star増分,注目ポイント/要約,活用アイデア/関連性/所感,ライセンス,first commit日
Alishahryar1/free-claude-code,Python,Claude Code、Codex、Pi、OpenCodeなど複数のAIコーディングエージェントを、50以上のプロバイダー(NVIDIA NIM、OpenRouter、Groqなど)を横断して無料・低コストで利用できるようにするローカルプロキシツール。ターミナル、IDE、Discord/Telegramなど様々な環境から同じインターフェースでエージェントを呼び出せる。,https://github.com/Alishahryar1/free-claude-code,891,"・ローカルプロキシサーバー(fcc-server)が複数プロバイダーへのリクエストを自動ルーティングし、障害時は設定済みのフォールバックモデルへ自動切り替えする設計
・RTKフィルタリングによりターミナル出力のトークン数を最大90%削減できる最適化機能
・「月間13億トークン以上を無料枠で利用可能」という訴求が話題になりトレンド入り",Claude Code等の有料エージェントを個人開発やOSS貢献で試したいが料金がネックという層に刺さりやすいツール。複数プロバイダーのAPIキー管理やフォールバック設定を一元化できるため、既存のAIコーディングツールチェーンの前段にプロキシとして組み込む使い方が考えられる。,MIT License,
openai/codex,Rust,OpenAIが開発する、ターミナル上で動作する軽量なコーディングエージェント。ローカル環境で直接コードを読み書きし、ChatGPTアカウントまたはAPIキーで認証して利用する。,https://github.com/openai/codex,1994,"・ターミナルCLIに加えVS Code/Cursor/Windsurf拡張、デスクトップアプリ、Web版(chatgpt.com/codex)など複数のインターフェースを提供
・npm/Homebrew/公式インストールスクリプトなど導入手段が充実し、Rustで実装されている
・11万を超えるスターと1.8万超のforkを集めるOpenAI公式のコーディングエージェントとして高い注目度",Claude CodeやOpenCodeなど他のターミナル型コーディングエージェントと直接競合・比較対象になるツール。ChatGPT Plus/Pro/Business等のプランを持つユーザーはAPIキー不要で使える点が導入障壁を下げており、既存のOpenAI系ワークフローに統合しやすい。,Apache License 2.0,
MadsLorentzen/ai-job-search,Python,Claude Code上に構築された、求人検索から応募書類作成・面接準備までを自動化するAIエージェントフレームワーク。ローカルマシン上で動作し、プロフィール構築からCV/カバーレター生成、面接対策までをコマンドベースで支援する。,https://github.com/MadsLorentzen/ai-job-search,434,"・/setup、/scrape、/apply、/interviewなどのコマンド群と、ドラフター/レビュワーの2エージェント構成でCV・カバーレターの品質を担保
・LaTeXでPDFを生成し、pdftotextでテキスト抽出してATS(応募者追跡システム)互換性を検証する凝った出力パイプライン
・デンマークの求人ポータル(Jobindex、Jobnetなど)に加えLinkedIn等汎用ポータルにも対応し、/add-portalで独自ポータルへ拡張可能",Claude Code CLIを使いこなす開発者向けの実用的な就職活動支援ツールで、既存の履歴書作成SaaSに対するローカル完結・オープンソースの代替となり得る。LaTeXやBunなど環境構築の手間はあるが、候補者情報との整合性チェックまで自動で行う点は既存ツールとの差別化ポイントと言える。,MIT License,
multica-ai/andrej-karpathy-skills,,Andrej Karpathy氏によるLLMコーディングの落とし穴に関する指摘を、Claude Codeの挙動改善のためのガイドラインとしてまとめた単一のCLAUDE.mdファイル(およびプラグイン)。,https://github.com/multica-ai/andrej-karpathy-skills,588,"・「まず考えてからコードを書く」「シンプルさ優先」「外科的な変更のみ行う」「ゴール駆動で実行する」という4原則に凝縮
・CLAUDE.mdへの追記、Claude Codeプラグイン、Cursorのプロジェクトルール(.cursor/rules)という複数形態で配布され導入コストが低い
・LLMが誤った前提を勝手に置いて突き進む、過剰に複雑な実装をする、といったKarpathy氏の観察に基づく実践的な対策集である点が話題に",既存のClaude Code/Cursorプロジェクトにファイルを1つ追加するだけで導入できる手軽さが受けており、プロンプトエンジニアリング的なノウハウをコード資産として配布する動きの一例と言える。個人のCLAUDE.md運用をより体系立てたい開発者に向いている。,MIT,
makeplane/plane,TypeScript,Jira、Linear、Monday.com、ClickUpの代替となるオープンソースのプロジェクト管理プラットフォーム。タスク管理、スプリント(サイクル)、ドキュメント、トリアージなどをセルフホストまたはクラウドで利用できる。,https://github.com/makeplane/plane,243,"・React Router/Vite/TypeScriptのフロントエンドとDjango/Node.jsのバックエンド、Docker/Kubernetes/PostgreSQL/Redisという本格的な構成
・Cycles(バーンダウンチャート付きスプリント管理)、Modules、AI機能を備えたPagesなど、SaaS型プロジェクト管理ツールに匹敵する機能を実装
・Docker Compose/Kubernetes/マネージドホスティング(Zenith)など柔軟なデプロイ手段を持ち、5.8万超のスターを集める成熟したOSSプロジェクト",Jira/Linear等のSaaS費用やベンダーロックインを避けたいチームにとって現実的な代替候補となる。AGPL-3.0のため商用展開時はライセンス条件の確認が必要だが、セルフホストでデータを完全に手元に置きたい組織との親和性が高い。,GNU Affero General Public License v3.0,
NousResearch/hermes-agent,Python,Nous Researchが開発する自己改善型のAIエージェント。経験からスキルを生成・洗練し、セッションをまたいで永続的な記憶を保持しながら、ターミナルやTelegram、Discordなど複数プラットフォームで動作する。,https://github.com/NousResearch/hermes-agent,896,"・「学習ループ」により使用中にスキルを自動生成・改善し、過去の会話をFTS5検索とLLM要約でセッション横断的に想起する高度なメモリ機構
・Nous Portal、OpenRouter、OpenAIなど多様なモデルプロバイダーに対応しベンダーロックインを回避、Modal/Daytona等のサーバーレス基盤やDockerなど多様な実行バックエンドをサポート
・40以上の統合ツール、MCP対応、cronによるスケジュール自動化、並列サブエージェント起動など機能が豊富",単発タスクをこなすエージェントではなく、長期的にユーザーの好みや過去のやり取りを学習し続けるパーソナルアシスタントを志向している点が特徴。Claude Code等の他のエージェントと組み合わせ、複数プラットフォームをまたぐ常駐アシスタントとして運用するユースケースが考えられる。,MIT License,
anthropics/claude-plugins-community,Python,Claude CoworkおよびClaude Code向けコミュニティプラグインマーケットプレイスの公式リードオンリーミラーリポジトリ。Anthropicのセキュリティレビューを通過したプラグインの一覧を`.claude-plugin/marketplace.json`として管理・配信する。,https://github.com/anthropics/claude-plugins-community,489,"・Anthropic内部のレビューパイプラインから毎晩同期され、直接のPRは自動クローズされるなどガバナンスが徹底されている
・`claude plugin marketplace add`/`claude plugin install`コマンドで簡単に導入できるプラグイン配信の公式チャネル
・Claude Cowork/Claude Codeの両プラットフォームに対応し、コミュニティ発の拡張機能を安全に流通させる仕組み",Claude Codeのエコシステムが拡大する中で、サードパーティ製プラグインを安全に見つけ・導入するための事実上の公式レジストリとして機能する。自作プラグインを公開したい開発者は提出ポータル(clau.de/plugin-directory-submission)経由の申請フローを理解しておく必要がある。,Apache License 2.0,
AprilNEA/OpenLogi,Rust,Logitech Options+のネイティブかつローカルファーストな代替アプリで、Rustで実装されている。アカウント登録やテレメトリなしに、マウス・キーボード・ウェブカメラの設定(ボタン割り当て、DPI、SmartShiftなど)を行える。,https://github.com/AprilNEA/OpenLogi,1097,"・HID++プロトコルとUVC規格を用いてデバイスに直接アクセスし、GPUIによるネイティブGUIを実現
・アプリケーションごとに自動切り替わるプロファイルオーバーレイ、Actions Ringオーバーレイ、ジェスチャー割り当てなど純正ソフト以上に踏み込んだカスタマイズ機能
・Logitechの公式ソフトを避けたいLinuxユーザー等にとって長年望まれていたクロスプラットフォーム(macOS/Linux/Windows)対応である点が話題に",LogitechデバイスをLinux環境で使う開発者やプライバシーを重視するユーザーにとって、公式Options+の代替として直接使える実用ツール。Rust製のHIDデバイスドライバ実装の参考例としても有用。,Apache License 2.0 / MIT License(デュアルライセンス),
apache/maka,TypeScript,Apache Software Foundationのインキュベータープロジェクトとして開発される、ローカルファーストのAIエージェントワークスペース。モデルとのやり取り、ツール呼び出し、実行結果などをイミュータブルなログとしてローカルに記録する。,https://github.com/apache/maka,411,"・Desktop(Electron+React)、TUI、CLI、評価フレームワークなど複数のインターフェースを備えたSpineアーキテクチャ
・セッション・設定・実行記録がデフォルトでローカルに保存され、モデルへのアクセスはユーザー自身のAPIキーやローカルモデルで行うプライバシー重視の設計
・Read/Write/Edit/Bash/Glob/Grepなどの組み込みツールに加えComputer Use等のオプション機能を持ち、ASF傘下のインキュベーション案件として企業からの信頼を得やすい",Claude Code等のAIコーディングエージェントと同様のワークスペースを、ASFのガバナンス下でベンダーニュートラルに使いたい組織に向く。監査ログが残る点は企業導入時のコンプライアンス要件との相性が良い。,Apache License 2.0,
PostHog/posthog,Python,PostHogは、プロダクト分析・セッションリプレイ・機能フラグ・A/Bテスト・エラートラッキング・データウェアハウス連携などを単一プラットフォームに統合したオープンソースの「プロダクトOS」です。近年はLLMアプリケーション向けのAIオブザーバビリティ(トレース・レイテンシ・コスト計測)を強化し、AIエージェントがプロダクトデータをもとに課題発見からPR生成まで担う「self-driving product」を目指しています。,https://github.com/PostHog/posthog,83,"・プロダクト分析、セッションリプレイ、実験(A/Bテスト)、CDP/データウェアハウス連携までを1つのプラットフォームに統合する設計
・LLMアプリのトレース・コスト・レイテンシを追跡するAIオブザーバビリティ機能を新設し、AIエージェント活用トレンドに合致
・JS/Python/Node/Go/.NET等の豊富なSDKと、Docker等によるセルフホスト対応で幅広い開発者層に採用",自社プロダクトのユーザー行動分析やA/Bテスト基盤として即座に導入でき、LLMを組み込んだ機能のコストやレイテンシの監視にも活用できます。セルフホスト版であればデータを自社インフラ内に留められるため、プライバシー要件の強いプロジェクトにも適しています。,MIT License,
