リポジトリ名,主要言語,概要,GitHubURL,Star増分,注目ポイント/要約,活用アイデア/関連性/所感,ライセンス,first commit日
mattpocock/skills,Shell,AIコーディングエージェント(Claude Code、Codexなど)向けに、著者が実際の.agentsディレクトリで使っている再利用可能な「スキル」集をまとめたリポジトリ。TDDやアーキテクチャ改善、要件の深掘りなど、エンジニアリングの規律を強制するワークフローを、スラッシュコマンドやエージェントが自動適用するユーティリティとして提供する。,https://github.com/mattpocock/skills,3362,"・ユーザーが明示的に呼び出す/tdd, /grill-me等のコマンド型と、エージェントが状況に応じて自動適用するモデル呼び出し型の両方のスキルを収録
・「認識のズレ」「冗長な出力」「動かないコード」「アーキテクチャの劣化」というエージェント開発の典型的な失敗モードに的を絞って対策
・CONTEXT.mdやADRなど共有ドキュメントを介した規律あるワークフローを重視し、エージェント任せの自律判断に頼らない設計",Claude Code等でAIと協働開発する際に、TDDや設計レビューのプロセスをスキルとして持ち込むことで、雑な実装や仕様齟齬を未然に防げる。個人の実運用ノウハウをそのまま公開したものなので、自分のエージェント運用をカスタマイズする際の実践的な参考になる。,MIT,
mahlernim/google-timeline-visualizer,Kotlin,Googleロケーション履歴(タイムライン)のJSONエクスポートを取り込み、1年間の旅行の軌跡をアニメーション地図動画として書き出すツール。Android/iOSアプリとPython製デスクトップ版があり、データはすべて端末内でローカル処理される。,https://github.com/mahlernim/google-timeline-visualizer,1053,"・現行の直列配列形式や旧セマンティックセグメント形式、E7座標など複数のTimelineエクスポート形式に対応
・480p〜1080pの正方形/縦横動画出力、長距離フライトやデータの疎な区間の補間表示など動画生成に特化した機能を搭載
・サインイン不要・クラウドアップロードなし・アナリティクスなしという徹底したプライバシー重視設計",自分の1年間の移動履歴を可視化してSNSに投稿したり、旅行の振り返り動画を作ったりする個人利用に向く。位置情報という機微データをローカル完結で扱う設計は、プライバシー意識の高いユーザー層に支持されやすい。,MIT,
harry0703/MoneyPrinterTurbo,Python,トピックやキーワードを与えるだけで、台本生成・素材選定・字幕付け・音声合成・動画合成までを自動化し、AIでHD画質のショート動画を生成するツール。StreamlitのWebUI、FastAPIのAPI、CLIなど複数のインターフェースを備える。,https://github.com/harry0703/MoneyPrinterTurbo,1201,"・OpenAI、Claude、DeepSeek、Kimi/Moonshotなど複数のLLMプロバイダーと、Edge TTS/Azure/Google Gemini/ElevenLabsなどのTTSを切り替え可能
・TikTok・Instagram・YouTube ShortsへのワンクリックPublish機能や、縦型(9:16)/横型(16:9)双方の書き出しに対応
・Docker対応で環境構築が容易、無料のストック映像ライブラリも利用可能",ショート動画の量産による収益化やSNS運用の自動化を狙う個人・小規模チームに向く。台本生成からTTS、動画合成までワンストップで完結する構成が、生成AI活用のわかりやすい実用例として注目を集めやすい。,MIT,
AprilNEA/OpenLogi,Rust,Logicool Options+の代替となる、Rust製のネイティブなロジクール周辺機器設定ツール。アカウント登録やテレメトリなしで、HID++プロトコル経由でボタン割り当てやDPI、SmartShiftなどをローカルで設定できる。,https://github.com/AprilNEA/OpenLogi,1380,"・Bolt/Unifyingレシーバー、Bluetooth、有線接続に対応し、バックグラウンドエージェント(デバイスI/O)とGPUI製GUIフロントエンドを分離した構成
・設定はプレーンテキストのTOMLで保存され、複数マシン間の同期がしやすい
・Brio/StreamCam/C920シリーズ等のUVC Webカメラのズーム・フォーカス・露出などハードウェアレベル調整にも対応",純正ソフトのアカウント要求やクラウド依存を嫌うユーザーの受け皿になる。プライバシー重視でRust製の軽量ツールを求める層に刺さりやすく、macOS/Linux/Windowsをまたいで使える点も実用性が高い。,Apache-2.0,
PostHog/posthog,Python,プロダクト分析・セッションリプレイ・フィーチャーフラグ・A/Bテスト・エラートラッキング・AIオブザーバビリティなどを一つに統合したオープンソースのプロダクト分析基盤。「self-driving products」を掲げ、データ収集から意思決定・自動修正までをカバーする。,https://github.com/PostHog/posthog,335,"・SQLクエリ可能なイベントベース分析、GA的なWebアナリティクス、実ユーザー操作を再生できるセッションリプレイを統合
・LLMアプリを対象としたAIオブザーバビリティ機能を搭載し、生成AIプロダクトの監視ニーズに対応
・Slack、Web、デスクトップアプリ、MCP経由のエディタ連携など多様な操作インターフェースを備え、クラウド/セルフホスト双方に対応",複数の分析ツールをバラバラに導入する代わりに一元化したいプロダクトチームに向く。AIプロダクトの監視機能を備えている点は、LLMアプリ開発が急増する中で特に注目度が高いと考えられる。,,
microsoft/TypeScript,Go,JavaScriptに型システムを追加したスーパーセット言語TypeScriptの公式リポジトリ。2026年6月のTypeScript 7.0 RCから、これまで別リポジトリmicrosoft/typescript-goで開発されていたGo製ネイティブコンパイラ(開発コード名Corsa、実行バイナリtsgo)がメインリポジトリに統合された。,https://github.com/microsoft/TypeScript,65,"・Go移植版はVS Code規模(約150万行)のコードベースで型チェックが77.8秒→7.5秒(約10倍)に高速化するなど、大規模プロジェクトで7〜10倍の速度向上を実現
・長期的にはnpmのtypescriptパッケージの安定版・プレリリース・nightlyすべてがこのGoベース実装に置き換わる計画
・リポジトリの言語表示がGoになっているのは、従来Go以外で書かれていたコンパイラ本体がGoで書き直され取り込まれたため",大規模モノレポでのtscの遅さに悩む開発者にとって、ビルド・型チェック時間の劇的な短縮は大きな恩恵となる。長年TypeScript自身で書かれてきたコンパイラがGoに置き換わるという歴史的な転換点であり、トレンド入りは必然と言える。,Apache-2.0,
obra/superpowers,Shell,コーディングエージェント向けの体系的なソフトウェア開発手法を提供するフレームワーク。設計→計画→実装→検証という段階を踏ませ、いきなりコードを書かせず要件確認や設計案の提示を挟むことでエージェントの暴走を防ぐ。,https://github.com/obra/superpowers,790,"・テスト、デバッグ、共同作業、メタタスクをカバーする再利用可能な「スキル」ライブラリと、それを自動的に呼び出す初期指示(Initial Instructions)の2本柱構成
・RED-GREEN-REFACTORサイクルを強制するTDDや、2〜5分単位の粒度でファイルパスまで明記したタスク分割など実装計画を極めて具体化
・Claude、Cursor、Devinなど複数のコーディングエージェントで動作する汎用設計で、数時間単位の自律作業でも計画から逸脱しにくいと謳う",AIエージェントに大きめの機能実装を任せたいが、行き当たりばったりの実装や仕様齟齬を避けたい開発者に有用。mattpocock/skillsと同様「エージェントの規律付け」というテーマが同時期にトレンド入りしている点も興味深い。,MIT,
santifer/career-ops,JavaScript,AIコーディングCLI上で動くローカル完結型の求職支援システム。Greenhouse/Ashby/Leverなど100社以上の採用ページを自動巡回し、求人をA〜Hのルーブリックで1.0〜5.0点にスコアリングした上で、履歴書のカスタマイズや応募状況の管理まで行う。,https://github.com/santifer/career-ops,921,"・スコア4.0以上の求人のみ推薦する「スプレー&プレイではないフィルター」という設計思想で、応募は必ず人間が最終判断する
・Node.jsのコアロジック、PlaywrightによるスクレイピングとPDF生成、Go/Bubble Tea製のTUIダッシュボードなど多言語で構成
・STAR+Reflection形式での面接エピソード蓄積や給与交渉フレームワークなど面接準備機能も内蔵し、データは端末外に出ない",「企業がAIで候補者を選別するなら、候補者もAIで企業を選別すればいい」という発想が転職活動の非対称性を突く着眼点として面白く、就職・転職活動を効率化したいエンジニアに実用性がある。Claude Code等のCLIにスキルとして組み込める点も、この種のツールのトレンドに合致する。,MIT,
cursor/plugins,TypeScript,AIコードエディタCursorの公式プラグイン仕様と、Gmail・GitHub・Slack・HubSpotなど各種サービス連携を含む公式プラグイン集を管理するリポジトリ。ルートのmarketplace.jsonと各プラグインのplugin.jsonマニフェストによってマーケットプレイス型の構成を取る。,https://github.com/cursor/plugins,388,"・プラグインはSKILL.md形式のスキル、.mdc形式のCursorルール、MCPサーバー定義などを組み合わせて構成
・Gmail、Google Drive、GitHub、Salesforce、Playwright、HubSpot、Intercomなど幅広いSaaS連携を公式にカバー
・反復的な自己参照型AIループや並列クラウドエージェントのオーケストレーションなど、エージェント指向の高度な機能を持つプラグインも含む",Cursorでのエージェント運用を外部サービス連携込みで拡張したい開発者にとって、公式仕様と実装例をまとめて参照できる点で有用。Claude CodeのSkills/PluginやMCPと似た方向性のエコシステムが主要エディタで同時多発的に整備されている流れを象徴する事例。,,
modular/modular,Mojo,Modular社が開発するAI開発・実行基盤で、独自のコンパイル型言語Mojoと、モデルの高速推論・提供を行うAIフレームワークMAXを中核とするリポジトリです。MojoコンパイラやMAXの高速化カーネル、OpenAI互換の推論サーバー、モデルパイプラインなどを含み、Bazelベースでビルドされます。,https://github.com/modular/modular,913,"・Mojoはシステムプログラミング言語並みの性能とPythonライクな書きやすさを両立させることを狙っている
・MAXはPyTorch等で作られたモデルをハードウェア横断で最適化・提供するための推論基盤を提供
・GitHub Star数28.7kと勢いがあり、既存のML/AIスタックに対する性能重視の代替として注目されている",推論コストや速度がボトルネックになっているAIサービスにおいて、モデル配信層をMAXに置き換えることで高速化を狙える可能性があります。Mojoは今後Pythonエコシステムとの親和性を保ちつつ低レイヤの最適化を行いたい開発者にとって選択肢となりそうです。,,
