リポジトリ名,主要言語,概要,GitHubURL,Star増分,注目ポイント/要約,活用アイデア/関連性/所感,ライセンス,first commit日
cathrynlavery/diagram-design,HTML,Claude CodeやCodex、PiなどのAIエージェント向けに設計された、編集・出版品質の図解テンプレート集。アーキテクチャ図やフローチャート、シーケンス図、ER図など27種類の図をHTML+SVGのみで自己完結的に生成でき、ビルド不要でブラウザで直接開ける。draw.ioやMermaidで作った既存図をこの設計システムに変換して読み込む機能も備える。,https://github.com/cathrynlavery/diagram-design,3646,"・影やMermaid特有の量産感を排し、影なし・アクセントカラー1色・4pxグリッドという厳格なデザイン原則で「編集者が作ったような」図を目指す
・サイトの配色やタイポグラフィを自動抽出してブランドに合わせた図を生成できる
・アクセシビリティ(ARIAラベル、prefers-reduced-motion対応)や任意のアニメーション演出も組み込み済み",技術ブログやプレゼン資料、ドキュメントにAIエージェント経由で「見栄えの良い」図を素早く挿入したい開発者に向いている。Figmaなどのデザインツールを使わずに済むため、エンジニア主導のドキュメント作成フローに組み込みやすい。既存のMermaid図をリライトして質を底上げする用途にも使えそうだ。,MIT,
cactus-compute/needle,Python,スマートフォンやウェアラブル、スマートホーム機器、ロボットなどの小型デバイス上で動作するよう設計された、わずか14MBのファウンデーションモデル。パラメータ数4500万をSimple Attention NetworkとHadamard MLP、グループドクエリアテンションで構成し、約28MBのRAMと256トークンのスライディングウィンドウで推論できる。,https://github.com/cactus-compute/needle,662,"・CQ2ビット量子化とアーキテクチャ設計の融合により、270Mパラメータ級の競合モデルに匹敵する性能を5〜70倍小さいサイズで実現
・関数呼び出し(ツールコール)や構造化データ抽出に加え、学習済みヘッドによる応答ごとの信頼度スコアを出力できる
・大規模なツールカタログから関連度の高い上位5件のみを提示するツール検索機能を搭載し、会話長に依存しない一定のメモリ使用量を維持",クラウド接続なしでオンデバイス推論を行いたいIoT機器やウェアラブル製品の組み込みAIに適している。`pip install cactus-needle`でPythonから手軽に扱え、LoRAによる軽量ファインチューニングも可能なため、特定タスク向けの超小型カスタムモデルを作る用途に向く。エッジAIの民主化という文脈で注目度が高まっていると考えられる。,MIT,
megadose/holehe,Python,特定のメールアドレスがTwitterやInstagram、Discord、GitHubなど120以上のオンラインサービスで登録されているかを、パスワード再設定機能を悪用しない形で調査するOSINT(オープンソースインテリジェンス)ツール。対象に通知を送らずに、部分的にマスクされた復旧用メールアドレスや電話番号などの情報も取得できる。,https://github.com/megadose/holehe,427,"・非侵入的な検出方式でターゲットに気づかれずにアカウントの存在を確認できる点が最大の特徴
・trioベースの非同期アーキテクチャにより多数のサイトを高速かつ並行してチェック可能
・CLI、Pythonライブラリ、Dockerコンテナ、さらにMaltego Transformとしても利用できる柔軟な提供形態",ペネトレーションテストやOSINT調査、フィッシング対策の事前調査などセキュリティ実務での利用が想定される。一方でメールアドレスから利用サービスを特定できてしまうため、プライバシー・悪用面のリスクにも注意が必要なツールであり、その両義性がGitHubトレンド入りの一因と考えられる。,GPL-3.0,
macro-inc/macro,Rust,メール、チャット、ドキュメント、タスク管理、AIエージェント、通話、CRMを一つに統合したチーム向けワークスペース。SolidJS製フロントエンドとRust製バックエンド(約42のデプロイ可能サービス、167のRustライブラリ)で構成され、AGPLv3のもとオープンソースかつセルフホスト可能。,https://github.com/macro-inc/macro,436,"・全要素を相互に紐づける「@リンク」機能により、タスクや会話、メールが双方向にリンクされ文脈の断絶を防ぐ
・チーム全体の会話・メール・タスクから合成された共有AIメモリを持つエージェント機能を搭載
・SOC 2 Type IIやISO 27001など企業利用を意識したセキュリティ認証を取得済み",SlackやNotion、Linear、Gmailなど複数の断片化したSaaSを使い分けているチームが、ツール切り替えのコストを削減する統合ワークスペースとして導入できそうだ。AIメモリを中心に据えた設計は、今後増えるであろう「エージェント常駐型の業務ツール」の一つの方向性を示している。,AGPL-3.0,
smicallef/spiderfoot,Python,脅威インテリジェンス収集や攻撃対象領域(アタックサーフェス)の可視化を自動化するOSINTツール。IPアドレスやドメイン、メールアドレス、暗号資産アドレスなど多様なエンティティを起点に、200以上のモジュールでデータを収集し、相関分析エンジンでリスクを評価する。,https://github.com/smicallef/spiderfoot,293,"・Web UIとCLIの両方を備え、DNSTwistやNmap、CMSeeKなど既存ツールとも連携可能
・37の事前定義ルールを持つYAML設定可能な相関エンジンでスキャン結果を自動評価
・2012年から続く長期開発実績(3,700件超のコミット、2万1000超のスター)を持つ成熟したプロジェクト",レッドチームによる偵察やブルーチームによる自組織の外部露出調査など、攻守両面のセキュリティ運用で活用できる。TOR経由でダークウェブも調査対象にできるため、企業のセキュリティ部門やペネトレーションテスターにとって実務投入しやすい包括的なOSINTプラットフォームと言える。,MIT,
citrolabs/ego-lite,JavaScript,AIエージェントによるブラウザ操作を、人間の作業を妨げずに並行して実行できるよう設計された専用ブラウザ。「Space」と呼ばれる独立した作業環境ごとにエージェントを割り当て、ユーザーの通常タブに影響を与えずにタスクを実行させられる。,https://github.com/citrolabs/ego-lite,165,"・初回起動時にChromeのログイン情報やCookie、拡張機能、ブックマークを引き継ぎ、エージェントが既存のログイン状態をそのまま利用できる
・CLIコマンドではなくJavaScript関数によるエージェント連携で、複雑なワークフローが最大2.5倍高速化
・ネストされたiframeなど複雑な要素も扱える高品質なページ解析(スナップショット)を提供",Claude CodeやCodexなどのコーディングエージェントに、ログイン済みのWebサービス操作(フォーム入力や情報収集など)を任せたい開発者に有用。人間とエージェントが同じブラウザ状態を共有しつつ干渉しない設計は、エージェント常用時代のブラウザのあり方として注目に値する。,MIT,
holaboss-ai/holaOS,TypeScript,Claude CodeやCodex、組み込みのholaOSエージェントなど複数のAIエージェントを、共有メモリと100以上の外部サービス連携のもとで統一的に扱えるオープンソースのデスクトップワークスペース。macOS/Windows/Linuxに対応し、ローカルファイルにコンテキストや設定、プロジェクト履歴を永続化する。,https://github.com/holaboss-ai/holaOS,769,"・複数のエージェントが同一のツール・メモリ・スキルセットを共有し、セッションをまたいで文脈を引き継げる
・Gmail、Slack、GitHub、LinearなどのOAuth連携やMCPサーバー対応で100以上のツールと統合
・NotionやブラウザなどのアプリをGUI付きで実行できる「HolaApps」マーケットプレイスや、画像・動画・音声生成などのネイティブ機能を搭載",複数のAIコーディングエージェントを併用しつつ、記憶や設定をプロジェクトごとに一元管理したい開発者やチームに向く。BYOK(自前APIキー)にも対応しつつ組み込みモデルも使える柔軟性から、エージェント統合ワークスペースという競争の激しい領域での選択肢の一つになりそうだ。,,
github/spec-kit,Python,実装前に詳細な仕様を作成し、それをもとにAIコーディングエージェントに開発させる「仕様駆動開発(Spec-Driven Development)」を実践するためのオープンソースツールキット。`/speckit.constitution`や`/speckit.specify`、`/speckit.plan`、`/speckit.tasks`、`/speckit.implement`といったスラッシュコマンド群でワークフローを構造化する。,https://github.com/github/spec-kit,1160,"・GitHub Copilotをはじめ30以上のAIコーディングエージェントに対応し、CLIでもIDE統合でも利用可能
・拡張機能(Extensions)、プリセット、バンドルという3層のカスタマイズ機構により、ワークフローを柔軟に拡張・調整できる
・新規開発だけでなく既存システムのモダナイズにも対応し、技術スタックに依存しない設計思想を持つ",AIエージェントに丸投げで実装させると仕様がぶれがちな開発現場で、「何を作るか」を先に固定化してからコーディングを進める規律を持ち込める。GitHub公式の129kスター超のプロジェクトであり、企業のエンタープライズ開発チームがAIエージェント活用を標準化する際の土台としても使えそうだ。,MIT,
lightningpixel/modly,TypeScript,画像やテキストプロンプトからローカルのAIモデルを使って3DモデルをGPU上で完全ローカル生成するデスクトップアプリケーション。Electron+Python(FastAPI)+TypeScriptで構築され、Hunyuan3DやTripoSG、Trellis2など複数のオープンソース3D生成モデルを拡張機能として組み込める。,https://github.com/lightningpixel/modly,579,"・クラウド不要・完全ローカル処理でプライバシーを保ちながら画像から3Dメッシュを生成
・ドラッグ&ドロップのワークフロービルダーで処理ステップを連結でき、メッシュのスムージングやデシメーションなど後処理も内蔵
・GitHubリポジトリ経由で追加モデルをインストールできる拡張システムと、自動化・エージェント連携向けのCLIを提供",ゲーム開発や3Dプリント、VR/ARコンテンツ制作において、クラウドサービスの利用料やデータ送信を避けたいクリエイターに向く。CLIを備えるためAIエージェントのパイプラインに組み込んで、画像から3Dアセットを自動生成する用途にも展開できそうだ。,,
infiniflow/ragflow,Go,RAGFlowは、深い文書理解に基づくRAG(検索拡張生成)エンジンで、Word・PDF・スキャン画像・スライドなど多様な非構造化データを解析し、AIエージェント機能と組み合わせてLLMのための高品質なコンテキスト層を構築するオープンソースプロジェクト。Elasticsearch/Infinityによる全文・ベクトル検索とMinIO/Redis/MySQLなどのインフラを組み合わせ、企業規模のRAG運用を支える。,https://github.com/infiniflow/ragflow,473,"・チャンク分割を可視化し人手で修正できる「テンプレートベースのインテリジェントチャンキング」により、根拠付き引用でハルシネーションを低減
・MCP対応のエージェントワークフローを備え、単なる検索精度向上ではなくAgentic RAGへ拡張
・Feishu/Discord/Telegramなど各種チャットツールとの統合で実運用への組み込みが容易",社内文書やマニュアルを対象にした高精度な質問応答システムの構築、根拠追跡が必要な法務・カスタマーサポート用途への応用が考えられる。文書の「質」を重視した設計思想は、既存の簡易RAGでは精度が出ない複雑なドキュメント群を扱う組織にとって有用と感じる。,Apache-2.0,
