リポジトリ名,主要言語,概要,GitHubURL,Star増分,注目ポイント/要約,活用アイデア/関連性/所感,ライセンス,first commit日
ayghri/i-have-adhd,Python,コーディングエージェント(Claude Code、Cursorなど)の出力スタイルを変更するスキルで、結論を後回しにせず即座に行動可能な指示を提示するように誘導する。『Adult ADHD Tool Kit』の考え方を応用し、前置きや余計な言い訳を排除して回答を組み立て直す。,https://github.com/ayghri/i-have-adhd,656,"・前置き・言い訳・丁寧な締めの言葉を排除し、最初に次の一手を提示する10のルールを定義
・番号付き手順、具体的な所要時間、進捗の可視化など、実行しやすさに特化した出力形式を強制
・SKILL.mdを編集するだけで複数のAIツールに横展開でき、カスタマイズも容易",AIアシスタントの冗長な説明に苛立つ開発者や、ADHD傾向のあるユーザーの生産性向上に直結しそうなスキルである。既存のClaude Code / Cursorのプラグイン機構にそのまま組み込めるため、チームのプロンプト規約として採用する動きが広がる可能性がある。,MIT License,
cathrynlavery/diagram-design,HTML,Claude Code、Codex、Piなどのコーディングエージェント向けに、38種類のエディトリアル(編集デザイン)スタイルの図解テンプレートを提供するスキル。アーキテクチャ図やフローチャート、タイムラインなどを、依存ライブラリなしの自己完結型HTML+SVGとして生成する。,https://github.com/cathrynlavery/diagram-design,710,"・Mermaidのような画一的な見た目を避け、影を使わない洗練された編集デザイン風の図を自動生成
・オンボーディング時にウェブサイトから配色やフォントを抽出し、ブランドに合わせたビジュアルを数秒で適用
・draw.ioやMermaidの既存図をこのデザイン体系で再描画したり、PNG/SVG/HTMLへ書き出したりできる",技術ブログや社内ドキュメント、提案資料などで、見栄えの悪いMermaid図を置き換える用途に向いている。AIエージェントが生成する図の質を底上げするスキルとして、diagram-design単体でもClaude Codeのプラグインとして組み込みやすい点が評価されトレンド入りしたと考えられる。,MIT License,
openai/skills,Python,OpenAIのCodex向けに公開されていたAgent Skillsのカタログリポジトリ。エージェントが発見して利用できる指示・スクリプト・リソースのフォルダ群を集約し、「一度書けばどこでも使える」ことを目指していた。現在はdeprecated(非推奨)扱いとなっている。,https://github.com/openai/skills,490,"・スキルは`.system`(標準搭載)、`.curated`(skill-installerでインストール)、`.experimental`(フォルダパス/URL指定)の3階層で管理
・スキル名指定またはGitHubディレクトリURL指定でインストールし、Codex再起動で有効化する仕組み
・現在はOpenAI Pluginsリポジトリへの移行が案内されている",Codexのスキル運用のリファレンス実装として参照価値があるが、非推奨化されているため新規プロジェクトでの直接採用よりも、後継のPluginsエコシステムへの移行を検討する材料として使うのが現実的である。OpenAI公式のスキル形式を知る上での資料的価値が高い。,,
affaan-m/ECC,JavaScript,Claude Code、Codex、Cursor、OpenCodeなど複数のコーディングエージェント向けに、計画・テスト・実装・レビュー・検証というワークフローを統合するエージェントハーネス最適化システム。68種のエージェント、286のスキル、セキュリティスキャン機能などを含む大規模なツール群。,https://github.com/affaan-m/ECC,1427,"・「plan → test → implement → review → verify → remember → improve」という一貫した開発サイクルを強制
・AgentShieldによるプロンプトインジェクション検知や設定監査などセキュリティ機能を内蔵
・`npx ecc-universal setup`で複数エディタ/エージェントに一括導入できるインストーラーを提供",個々のスキルを寄せ集めるのではなく、エージェント運用全体を体系化したい中〜大規模チームに向く。既存のTDDやコードレビュー用スキルと組み合わせるというより、それらを包括する上位フレームワークとして導入を検討する形になりそうである。,MIT License,
heygen-com/hyperframes,TypeScript,HTML・CSS・アニメーションを決定論的にMP4動画へレンダリングするオープンソースフレームワーク。React等を使わず標準的なHTMLにdata属性でタイミングを指定するだけで動画コンポジションを記述でき、AIコーディングエージェントからも扱いやすい設計になっている。,https://github.com/heygen-com/hyperframes,2627,"・ヘッドレスChromeでフレームを描画しFFmpegでエンコードすることで、同じ入力から常に同じ出力を得られる決定論的レンダリング
・GSAP、Lottie、Three.js、CSSアニメーションなどのアダプタに対応し、ビルド不要でブラウザ上でもそのまま再生可能
・Claude Code/Cursor/Gemini CLI向けのスキルやAWS Lambdaレンダリング、ブラウザ上のStudio、埋め込みプレイヤーまで一式を提供",AIエージェントに動画広告やプロダクト紹介動画をコード生成させ、CI上で自動レンダリングするパイプラインに組み込める。動画生成SaaSの高額なレンダリング課金を避けたい開発者や、HeyGen自身の動画生成技術基盤としての活用が背景にありそうである。,Apache License 2.0,
coreyhaines31/marketingskills,JavaScript,Claude Code、Codex、Cursorなどのエージェント向けに、CRO(コンバージョン率最適化)、コピーライティング、SEO、アナリティクス、グロースエンジニアリングなどをカバーする70以上のマーケティングスキル集。Markdownファイルとして知識やワークフローを提供する。,https://github.com/coreyhaines31/marketingskills,666,"・スキル同士が相互参照する構造になっており、`product-marketing`スキルが全体の基礎コンテキストとして機能
・CLI、プラグイン、サブモジュールなど複数のインストール方法に対応し、既存プロジェクトへの組み込みが容易
・パートナーツール(Converly、Ployなど)との連携をスポンサーシップとして明示するなど透明性を重視",マーケター自身がAIエージェントを使ってLP改善案やSEO記事、広告コピーを生成する際のガイドラインとして直接利用できる。開発者向けのコーディングスキルが中心だったエコシステムに、非エンジニア職種向けのユースケースを広げた点がトレンド入りの一因と考えられる。,MIT License,
obra/superpowers,Shell,コーディングエージェント向けの体系的なソフトウェア開発手法をスキル群として実装したフレームワーク。ブレインストーミング、TDD(RED-GREEN-REFACTOR)、細粒度タスク計画、サブエージェントによるレビューなど、設計から実装・レビューまでの一連のプロセスを自動的にガイドする。,https://github.com/obra/superpowers,452,"・タスクを2〜5分単位の粒度に分解し、仕様を厳密化してから実装に入る計画駆動のワークフロー
・タスクごとに新しいサブエージェントを発行し、二段階レビューを行う「Subagent-Driven Development」を採用
・Claude Code、Cursor、Devin、Gemini、GitHub Copilotなど複数プラットフォームに対応し、文脈に応じてスキルが自動発火する",アドホックにAIへコーディングを指示するのではなく、チーム開発のプロセスをAIエージェントに標準化して守らせたい場合に適している。テスト駆動開発やコードレビューを重視する既存の開発文化とも親和性が高く、AIエージェント運用のベストプラクティス集として参照価値が高い。,MIT License,
multica-ai/andrej-karpathy-skills,,Andrej Karpathyが指摘したLLMコーディングにありがちな失敗パターンを踏まえ、Claude Codeの振る舞いを改善するための単一のCLAUDE.mdファイル(ガイドライン集)。過剰な思い込み、過剰実装、無関係箇所への手出しといった問題への対処方針をまとめている。,https://github.com/multica-ai/andrej-karpathy-skills,333,"・「実装前に考える」「シンプルさ優先」「外科的な変更に留める」「ゴール駆動の実行」という4原則で構成
・CLAUDE.mdへの追記、Claude Codeマーケットプレイスのプラグイン、Cursorのプロジェクトルール(.cursor/rules)など複数形式で配布
・著名なAI研究者の知見を直接プロンプト規約に落とし込んだ、軽量かつ導入コストの低い改善策",既存のCLAUDE.mdやCursorルールに数行追記するだけで導入できるため、大がかりなスキルフレームワークを入れずにAIコーディングの暴走(過剰実装や無関係な書き換え)を抑えたいチームに向いている。手軽さと著者の知名度が相まって急速に広まったと考えられる。,MIT License,
microsoft/markitdown,Python,PDF、Word、PowerPoint、Excel、画像、音声、HTML、ZIPなど多様なファイル形式をMarkdownに変換するPython製ユーティリティ。LLMやテキスト解析パイプラインでの利用を主目的とし、文書構造をできるだけ保ったままプレーンテキストに近い形式へ変換する。,https://github.com/microsoft/markitdown,2047,"・OCRや音声書き起こし、EXIFメタデータ抽出など、フォーマットごとに専用の変換ロジックを搭載
・Azure Document IntelligenceやAzure Content Understandingとの連携で変換精度を強化可能
・必要な変換機能だけを追加インストールできるオプション依存関係の設計と、サードパーティプラグイン機構を提供",RAGパイプラインや社内ドキュメント検索など、様々な形式のファイルをLLMに読み込ませる前処理として直接組み込みやすい。MicrosoftによるOSSとしての信頼性と、LLM時代のドキュメント前処理という明確なニーズにより継続的にトレンド入りしていると考えられる。,MIT License,
jo-inc/camofox-browser,JavaScript,Camoufox(Firefoxベース)をラップしたステルスヘッドレスブラウザで、AIエージェント向けにREST API経由でブラウザ操作を提供する。C++実装レベルでnavigator.hardwareConcurrencyやWebGL、AudioContext、WebRTCなどのフィンガープリントを偽装し、Cloudflareやボット検知を突破する。PuppeteerやPlaywrightの代替として使える設計になっている。,https://github.com/jo-inc/camofox-browser,871,"・JSベースのステルスプラグインと異なり、ブラウザのC++実装レベルでフィンガープリントを偽装するため検知されにくい
・生HTMLではなくアクセシビリティスナップショット(HTMLの約1/10サイズ)や安定した要素参照(e1, e2...)を返すAPI設計でLLMエージェントとの親和性が高い
・アイドル5分で自動シャットダウンし待機時メモリ約40MBと省リソースで、Raspberry Piや格安VPSでも運用可能",AIエージェントによるWebスクレイピングや自動操作タスクでCloudflare等のボット対策を回避したい場合に有用。PuppeteerやPlaywrightからの置き換えが容易な設計のため、既存の自動化パイプラインへの統合コストが低い。個人開発や低コストインフラでのAIエージェント運用に向いている。,MIT License,
