rank,repository,url,description,language,stars_total,forks_total,stars_period,since,language_filter,scraped_at,license,first_commit_date
1,omacom/omarchy,https://github.com/omacom/omarchy,"Beautiful, Modern & Opinionated Linux",Shell,41598,4720,16707,monthly,,2026-09-17T06:43:09+00:00,MIT license,
2,tt-a1i/archify,https://github.com/tt-a1i/archify,"Agent skill for beautiful, verifiable architecture, workflow, sequence, data-flow, and lifecycle diagrams",JavaScript,65193,4328,51755,monthly,,2026-09-17T06:43:09+00:00,MIT License,
3,anthropics/claude-plugins-community,https://github.com/anthropics/claude-plugins-community,Community plugin marketplace for Claude Cowork and Claude Code,Python,4163,305,3853,monthly,,2026-09-17T06:43:09+00:00,Apache License 2.0,
4,cursor/plugins,https://github.com/cursor/plugins,Cursor plugin specification and official plugins,TypeScript,8123,724,5021,monthly,,2026-09-17T06:43:09+00:00,MIT License,
5,AprilNEA/OpenLogi,https://github.com/AprilNEA/OpenLogi,"Native, local-first alternative to Logitech Options+, written in Rust",Rust,21367,688,12927,monthly,,2026-09-17T06:43:09+00:00,"Apache-2.0, MIT licenses found",
6,THU-MAIC/OpenMAIC,https://github.com/THU-MAIC/OpenMAIC,"Open Multi-Agent Interactive Classroom — immersive, multi-agent learning experience",TypeScript,37471,5898,16773,monthly,,2026-09-17T06:43:09+00:00,MIT license,
7,freestylefly/awesome-gpt-image-2,https://github.com/freestylefly/awesome-gpt-image-2,Prompt as Code | GPT Image 2 / 2.5 with 530+ cases and templates,JavaScript,32322,3112,22206,monthly,,2026-09-17T06:43:09+00:00,MIT License,
8,ayghri/i-have-adhd,https://github.com/ayghri/i-have-adhd,Skill to stop coding agents from burying answers; ADHD-friendly output,Python,47057,2737,25944,monthly,,2026-09-17T06:43:09+00:00,MIT License,
9,cathrynlavery/diagram-design,https://github.com/cathrynlavery/diagram-design,"38 editorial diagram types for Claude Code, Codex, and Pi",HTML,40587,2586,21458,monthly,,2026-09-17T06:43:09+00:00,MIT License,
10,vorssaint/vorssaint-utils,https://github.com/vorssaint/vorssaint-utils,Free and open-source macOS menu bar toolkit,Swift,19519,704,14080,monthly,,2026-09-17T06:43:09+00:00,GPL-3.0,
11,debpalash/VoiceStudio,https://github.com/debpalash/VoiceStudio,"Open-source, fully-local ElevenLabs alternative for voice services",Python,32213,3813,21946,monthly,,2026-09-17T06:43:09+00:00,AGPL-3.0,
12,chaitanyagiri/munder-difflin,https://github.com/chaitanyagiri/munder-difflin,Local multi-agent harness for existing Claude Code and Codex subscriptions,TypeScript,7460,973,6210,monthly,,2026-09-17T06:43:09+00:00,MIT License,
13,Lakr233/vphone-cli,https://github.com/Lakr233/vphone-cli,,Swift,13467,1596,5577,monthly,,2026-09-17T06:43:09+00:00,MIT License,
14,modular/modular,https://github.com/modular/modular,The Modular Platform (includes MAX & Mojo),Mojo,29787,3173,3075,monthly,,2026-09-17T06:43:09+00:00,Apache License 2.0,
15,apache/maka,https://github.com/apache/maka,Apache Maka high-performance agent workspace with complete activity records,TypeScript,5523,511,4197,monthly,,2026-09-17T06:43:09+00:00,Apache License 2.0,
16,volcengine/OpenViking,https://github.com/volcengine/OpenViking,Self-evolving Context Database for AI Agents,Python,37818,2925,9270,monthly,,2026-09-17T06:43:09+00:00,AGPL-3.0,
17,google-research/timesfm,https://github.com/google-research/timesfm,TimesFM time-series foundation model for forecasting by Google Research,Python,32906,3169,5249,monthly,,2026-09-17T06:43:09+00:00,Apache License 2.0,
18,akitaonrails/ai-memory,https://github.com/akitaonrails/ai-memory,Long-term memory solution for agent coding CLIs and vendor handoff,Rust,7036,470,5445,monthly,,2026-09-17T06:43:09+00:00,MIT License,
19,tashfeenahmed/freellmapi,https://github.com/tashfeenahmed/freellmapi,7.4 billion tokens monthly; 34 free LLM providers behind single /v1 endpoint,TypeScript,26738,3652,8153,monthly,,2026-09-17T06:43:09+00:00,MIT License,
20,tech-leads-club/agent-skills,https://github.com/tech-leads-club/agent-skills,Secure skill registry for professional AI coding agents,TypeScript,6392,527,1336,monthly,,2026-09-17T06:43:09+00:00,,
21,jingyaogong/minimind,https://github.com/jingyaogong/minimind,Train 64M-parameter LLM from scratch in 2 hours,Python,61390,7986,6769,monthly,,2026-09-17T06:43:09+00:00,Apache License 2.0,
