rank,repository,url,description,language,stars_total,forks_total,stars_period,since,language_filter,scraped_at,license,first_commit_date
1,omacom/omarchy,https://github.com/omacom/omarchy,"Beautiful, Modern & Opinionated Linux",Shell,37430,3925,13231,monthly,,2026-09-03T06:07:11+00:00,MIT License,
2,semantica-agi/semantica,https://github.com/semantica-agi/semantica,Graph-Native Infrastructure for Context and Accountable AI Systems,Python,11765,1321,9973,monthly,,2026-09-03T06:07:11+00:00,MIT License,
3,anthropics/claude-plugins-community,https://github.com/anthropics/claude-plugins-community,Community plugin marketplace for Claude Cowork and Claude Code,Python,3309,254,2979,monthly,,2026-09-03T06:07:11+00:00,Apache License 2.0,
4,tt-a1i/archify,https://github.com/tt-a1i/archify,"Agent skill for beautiful, verifiable architecture and workflow diagrams",JavaScript,44353,2843,35312,monthly,,2026-09-03T06:07:11+00:00,MIT,
5,AprilNEA/OpenLogi,https://github.com/AprilNEA/OpenLogi,"Native, local-first alternative to Logitech Options+",Rust,18633,561,10586,monthly,,2026-09-03T06:07:11+00:00,Apache License 2.0 / MIT License(デュアルライセンス),
6,volcengine/OpenViking,https://github.com/volcengine/OpenViking,Self-evolving Context Database for AI Agents,Python,35231,2700,7539,monthly,,2026-09-03T06:07:11+00:00,AGPL-3.0 License(一部コンポーネントはApache License 2.0),
7,freestylefly/awesome-gpt-image-2,https://github.com/freestylefly/awesome-gpt-image-2,Industrial-grade prompt engine and template library with 530+ examples,JavaScript,27508,2661,18715,monthly,,2026-09-03T06:07:11+00:00,MIT License,
8,TencentCloud/TencentDB-Agent-Memory,https://github.com/TencentCloud/TencentDB-Agent-Memory,Team-level memory hub for AI Agents with reusable memory assets,TypeScript,25748,2403,15189,monthly,,2026-09-03T06:07:11+00:00,MIT License,
9,cloudflare/computer,https://github.com/cloudflare/computer,Give your agent a computer,TypeScript,8924,499,8868,monthly,,2026-09-03T06:07:11+00:00,MIT License,
10,huangruiteng/loopx,https://github.com/huangruiteng/loopx,Long-horizon agent control plane for durable work coordination,Python,5477,485,5297,monthly,,2026-09-03T06:07:11+00:00,Apache License 2.0(v0.4.8以降、それ以前はMIT License),
11,ayghri/i-have-adhd,https://github.com/ayghri/i-have-adhd,Skill to stop coding agents from burying answers with ADHD-friendly output,Python,26770,1675,11252,monthly,,2026-09-03T06:07:11+00:00,MIT License,
12,cactus-compute/needle,https://github.com/cactus-compute/needle,14MB foundation model for tiny devices including phones and wearables,Python,10126,655,6771,monthly,,2026-09-03T06:07:11+00:00,Apache License 2.0,
13,apache/maka,https://github.com/apache/maka,Local-first AI agent workspace recording model messages and tool interactions,TypeScript,4586,428,3579,monthly,,2026-09-03T06:07:11+00:00,Apache License 2.0,
14,THU-MAIC/OpenMAIC,https://github.com/THU-MAIC/OpenMAIC,Immersive multi-agent learning experience accessible in one click,TypeScript,30693,5095,10080,monthly,,2026-09-03T06:07:11+00:00,MIT License,
15,modular/modular,https://github.com/modular/modular,The Modular Platform including MAX and Mojo programming language,Mojo,29492,3140,2923,monthly,,2026-09-03T06:07:11+00:00,Apache License 2.0 with LLVM Exceptions,
16,unclebob/swarm-forge,https://github.com/unclebob/swarm-forge,Simple tool for coordinating several AI agents,Clojure,3660,353,2139,monthly,,2026-09-03T06:07:11+00:00,,
17,google/skills,https://github.com/google/skills,Agent Skills for Google products and technologies,Python,19300,1553,3900,monthly,,2026-09-03T06:07:11+00:00,Apache License 2.0,
18,donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,Learn large-scale systems design and prep for system design interviews,Python,367578,58198,8361,monthly,,2026-09-03T06:07:11+00:00,Creative Commons Attribution 4.0 International,
19,youssofal/MTPLX,https://github.com/youssofal/MTPLX,3x faster speeds on MLX with native MTP Speculative Decoding on Apple Silicon,Python,1967,146,826,monthly,,2026-09-03T06:07:11+00:00,Apache License 2.0,
20,firecrawl/pdf-inspector,https://github.com/firecrawl/pdf-inspector,Fast library for PDF inspection and intelligent text extraction routing,Rust,18618,1248,13052,monthly,,2026-09-03T06:07:11+00:00,MIT License,
21,pingdotgg/t3code,https://github.com/pingdotgg/t3code,,TypeScript,21515,5212,5326,monthly,,2026-09-03T06:07:11+00:00,MIT License,
22,3b1b/manim,https://github.com/3b1b/manim,Animation engine for explanatory math videos,Python,92908,7636,3870,monthly,,2026-09-03T06:07:11+00:00,MIT License,
