rank,repository,url,description,language,stars_total,forks_total,stars_period,since,language_filter,scraped_at,license,first_commit_date
1,omacom/omarchy,https://github.com/omacom/omarchy,"Beautiful, Modern & Opinionated Linux",Shell,41390,4680,16763,monthly,,2026-09-16T09:44:39+00:00,MIT License,
2,tt-a1i/archify,https://github.com/tt-a1i/archify,"Agent skill for beautiful, verifiable architecture, workflow, sequence, data-flow, and lifecycle diagrams",JavaScript,64192,4259,50700,monthly,,2026-09-16T09:44:39+00:00,MIT License,
3,anthropics/claude-plugins-community,https://github.com/anthropics/claude-plugins-community,Community plugin marketplace for Claude Cowork and Claude Code,Python,4116,302,3784,monthly,,2026-09-16T09:44:39+00:00,Apache License 2.0,
4,AprilNEA/OpenLogi,https://github.com/AprilNEA/OpenLogi,"Native, local-first alternative to Logitech Options+, written in Rust",Rust,21264,685,12792,monthly,,2026-09-16T09:44:39+00:00,Apache License 2.0 / MIT License(デュアルライセンス),
5,cursor/plugins,https://github.com/cursor/plugins,Cursor plugin specification and official plugins,TypeScript,7966,710,4996,monthly,,2026-09-16T09:44:39+00:00,MIT License,
6,THU-MAIC/OpenMAIC,https://github.com/THU-MAIC/OpenMAIC,"Open Multi-Agent Interactive Classroom — immersive, multi-agent learning experience",TypeScript,37250,5873,16497,monthly,,2026-09-16T09:44:39+00:00,MIT License,
7,freestylefly/awesome-gpt-image-2,https://github.com/freestylefly/awesome-gpt-image-2,Prompt as Code — GPT Image 2/2.5 repository with 530+ cases and templates,JavaScript,32198,3099,22273,monthly,,2026-09-16T09:44:39+00:00,MIT License,
8,cathrynlavery/diagram-design,https://github.com/cathrynlavery/diagram-design,"38 editorial diagram types for Claude Code, Codex, and Pi",HTML,40360,2568,22368,monthly,,2026-09-16T09:44:39+00:00,MIT License,
9,ayghri/i-have-adhd,https://github.com/ayghri/i-have-adhd,Skill to prevent coding agents from burying answers with ADHD-friendly output,Python,46558,2709,25489,monthly,,2026-09-16T09:44:39+00:00,MIT License,
10,vorssaint/vorssaint-utils,https://github.com/vorssaint/vorssaint-utils,Free and open-source macOS menu bar toolkit,Swift,19345,696,13875,monthly,,2026-09-16T09:44:39+00:00,GPL-3.0 License,
11,debpalash/VoiceStudio,https://github.com/debpalash/VoiceStudio,Open-source ElevenLabs alternative for voice cloning and audio creation in 646 languages,Python,31591,3743,20417,monthly,,2026-09-16T09:44:39+00:00,AGPL-3.0,
12,volcengine/OpenViking,https://github.com/volcengine/OpenViking,Self-evolving Context Database for AI Agents,Python,37655,2906,9114,monthly,,2026-09-16T09:44:39+00:00,AGPL-3.0(コア部分)/Apache License 2.0(CLI・サンプル),
13,modular/modular,https://github.com/modular/modular,The Modular Platform (includes MAX & Mojo),Mojo,29775,3173,3058,monthly,,2026-09-16T09:44:39+00:00,Apache License 2.0 with LLVM Exceptions,
14,Lakr233/vphone-cli,https://github.com/Lakr233/vphone-cli,,Swift,13094,1570,5018,monthly,,2026-09-16T09:44:39+00:00,MIT License,
15,akitaonrails/ai-memory,https://github.com/akitaonrails/ai-memory,Solution for long-term memory for agent coding CLIs and vendor handoff,Rust,6966,466,5449,monthly,,2026-09-16T09:44:39+00:00,MIT License,
16,apache/maka,https://github.com/apache/maka,Apache Maka (Incubating) is a high-performance agent workspace,TypeScript,5486,507,4146,monthly,,2026-09-16T09:44:39+00:00,Apache License 2.0,
17,google-research/timesfm,https://github.com/google-research/timesfm,TimesFM foundation model developed by Google Research for time-series forecasting,Python,32665,3129,5202,monthly,,2026-09-16T09:44:39+00:00,Apache License 2.0(ただしTimesFM 3.0の重みは非商用ライセンス timesfm-non-commercial-license-v1.0),
