rank,repository,url,description,language,stars_total,forks_total,stars_period,since,language_filter,scraped_at,license,first_commit_date
1,permissionlesstech/bitchat,https://github.com/permissionlesstech/bitchat,"bluetooth mesh chat, IRC vibes",Swift,33504,5317,7255,monthly,all,2026-07-30T22:02:59+00:00,Unlicense,
2,diegosouzapw/OmniRoute,https://github.com/diegosouzapw/OmniRoute,"Never stop coding. Free MIT AI gateway: one endpoint, 290+ providers (90+ free), 500+ models — Kimi, Claude, GPT, OpenAI, Gemini, GLM, DeepSeek, MiniMax. Works with Claude Code, Codex, Cursor, OpenCode, Cline & Copilot. Quota-aware auto-fallback, RTK+Caveman compression saves 15-95% tokens, MCP/A2A, Desktop/PWA. Built by 500+ contributors",TypeScript,35080,4522,26276,monthly,all,2026-07-30T22:02:59+00:00,MIT,
3,stablyai/orca,https://github.com/stablyai/orca,"Orca is the ADE for working with a fleet of parallel agents. Run any coding agent with your own subscription. Available on desktop, mobile and VPS.",TypeScript,33786,2365,23777,monthly,all,2026-07-30T22:02:59+00:00,MIT,
4,usestrix/strix,https://github.com/usestrix/strix,Open-source AI penetration testing tool to find and fix your app’s vulnerabilities.,Python,45865,4797,18792,monthly,all,2026-07-30T22:02:59+00:00,Apache-2.0,
5,Zackriya-Solutions/meetily,https://github.com/Zackriya-Solutions/meetily,"Privacy first, AI meeting assistant with 4x faster Parakeet/Whisper live transcription, speaker diarization, and Ollama summarization built on Rust. 100% local processing. no cloud required. Meetily (Meetly Ai -https://meetily.ai) is the #1 Self-hosted, Open-source Ai meeting note taker for macOS & Windows. Understand How to write meeting minutes",Rust,27524,2825,14636,monthly,all,2026-07-30T22:02:59+00:00,MIT,
6,emilkowalski/skills,https://github.com/emilkowalski/skills,Skills for Design Engineers.,,22958,1253,18756,monthly,all,2026-07-30T22:02:59+00:00,MIT,
7,Nutlope/hallmark,https://github.com/Nutlope/hallmark,"Anti-AI-slop design skill for Claude Code, Cursor, and Codex.",CSS,20014,988,16235,monthly,all,2026-07-30T22:02:59+00:00,MIT,
8,asgeirtj/system_prompts_leaks,https://github.com/asgeirtj/system_prompts_leaks,"Extracted system prompts from Anthropic - Claude Fable 5, Opus 5, Claude Design, Claude Code. OpenAI - ChatGPT GPT-5.6-Sol, Codex. Google - Gemini 3.5 Flash, 3.1 Pro, Antigravity. xAI - Grok, Cursor, Copilot, VS Code, Perplexity, and more. Updated regularly.",JavaScript,61513,10052,14634,monthly,all,2026-07-30T22:02:59+00:00,CC0-1.0,
9,koala73/worldmonitor,https://github.com/koala73/worldmonitor,"Real-time global intelligence dashboard. AI-powered news aggregation, geopolitical monitoring, and infrastructure tracking in a unified situational awareness interface",TypeScript,76938,11469,15849,monthly,all,2026-07-30T22:02:59+00:00,,
10,openai/codex-plugin-cc,https://github.com/openai/codex-plugin-cc,Use Codex from Claude Code to review code or delegate tasks.,JavaScript,30525,2009,8723,monthly,all,2026-07-30T22:02:59+00:00,Apache-2.0,
11,bradautomates/claude-video,https://github.com/bradautomates/claude-video,"Give Claude the ability to watch any video. /watch downloads, extracts frames, transcribes, hands it all to Claude.",Python,12906,1268,9872,monthly,all,2026-07-30T22:02:59+00:00,MIT,
12,iOfficeAI/OfficeCLI,https://github.com/iOfficeAI/OfficeCLI,"OfficeCLI is the first and best Office suite purpose-built for AI agents to read, edit, and automate Word, Excel, and PowerPoint files. Free, open-source, single binary, no Office installation required.",C#,23555,1584,15004,monthly,all,2026-07-30T22:02:59+00:00,Apache-2.0,
13,wonderwhy-er/DesktopCommanderMCP,https://github.com/wonderwhy-er/DesktopCommanderMCP,"This is MCP server for Claude that gives it terminal control, file system search and diff file editing capabilities",TypeScript,8980,1029,2863,monthly,all,2026-07-30T22:02:59+00:00,MIT,
14,huggingface/speech-to-speech,https://github.com/huggingface/speech-to-speech,Build local voice agents with open-source models,Python,8670,1085,2803,monthly,all,2026-07-30T22:02:59+00:00,Apache-2.0,
15,HKUDS/Vibe-Trading,https://github.com/HKUDS/Vibe-Trading,"""Vibe-Trading: Your Personal Trading Agent""",Python,28765,4648,13918,monthly,all,2026-07-30T22:02:59+00:00,MIT,
16,OpenCut-app/OpenCut,https://github.com/OpenCut-app/OpenCut,The open-source CapCut alternative,TypeScript,79970,7948,19614,monthly,all,2026-07-30T22:02:59+00:00,MIT,
17,every-app/open-seo,https://github.com/every-app/open-seo,Open source alternative to Semrush and Ahrefs,TypeScript,9640,1099,5534,monthly,all,2026-07-30T22:02:59+00:00,MIT,
18,Robbyant/lingbot-map,https://github.com/Robbyant/lingbot-map,A feed-forward 3D foundation model for reconstructing scenes from streaming data,Python,15936,1694,7511,monthly,all,2026-07-30T22:02:59+00:00,Apache-2.0,
19,hasaneyldrm/exercises-dataset,https://github.com/hasaneyldrm/exercises-dataset,"1,324-exercise fitness dataset — animation GIFs, 180×180 thumbnails, muscle-group & equipment data, and step-by-step instructions in 6 languages. The exercise data layer behind the LogPress app.",HTML,18103,2196,13494,monthly,all,2026-07-30T22:02:59+00:00,,
20,Shubhamsaboo/awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,"100+ AI Agents, Agent Skills and RAG Apps - Free and Open Source.",Python,129035,19042,13110,monthly,all,2026-07-30T22:02:59+00:00,Apache-2.0,
21,alibaba/page-agent,https://github.com/alibaba/page-agent,JavaScript in-page GUI agent. Control web interfaces with natural language.,TypeScript,28238,2482,7802,monthly,all,2026-07-30T22:02:59+00:00,MIT,
