rank,repository,url,description,language,stars_total,forks_total,stars_period,since,language_filter,scraped_at,license,first_commit_date
1,omacom/omarchy,https://github.com/omacom/omarchy,"Beautiful, Modern & Opinionated Linux",Shell,37801,3986,13597,monthly,,2026-09-04T06:36:19+00:00,MIT License,
2,semantica-agi/semantica,https://github.com/semantica-agi/semantica,Graph-Native Infrastructure for Context and Accountable AI Systems,Python,11901,1342,10058,monthly,,2026-09-04T06:36:19+00:00,MIT License,
3,cursor/plugins,https://github.com/cursor/plugins,Cursor plugin specification and official plugins,TypeScript,6806,558,4258,monthly,,2026-09-04T06:36:19+00:00,MIT,
4,cloudflare/cloudflare-os,https://github.com/cloudflare/cloudflare-os,"Agent workspace built on Cloudflare Workers for creating documents, building apps, and running agents with your company's context and systems.",TypeScript,9588,1126,9562,monthly,,2026-09-04T06:36:19+00:00,Apache License 2.0,
5,tt-a1i/archify,https://github.com/tt-a1i/archify,"Agent skill for beautiful, verifiable architecture, workflow, sequence, data-flow, and lifecycle diagrams—self-contained HTML with motion and crisp export.",JavaScript,46473,2988,36689,monthly,,2026-09-04T06:36:19+00:00,MIT License,
6,anthropics/claude-plugins-community,https://github.com/anthropics/claude-plugins-community,Community plugin marketplace for Claude Cowork and Claude Code. Read-only mirror.,Python,3370,258,3067,monthly,,2026-09-04T06:36:19+00:00,Apache License 2.0,
7,AprilNEA/OpenLogi,https://github.com/AprilNEA/OpenLogi,"A native, local-first alternative to Logitech Options+, written in Rust — remap buttons, DPI, and SmartShift over HID++.",Rust,18982,572,10662,monthly,,2026-09-04T06:36:19+00:00,Apache License 2.0 / MIT License,
8,volcengine/OpenViking,https://github.com/volcengine/OpenViking,"Self-evolving Context Database for AI Agents. Unify Agent Memory, Knowledge RAG and Skills.",Python,35399,2708,7659,monthly,,2026-09-04T06:36:19+00:00,AGPLv3(コア) / Apache License 2.0(CLI・サンプル等),
9,freestylefly/awesome-gpt-image-2,https://github.com/freestylefly/awesome-gpt-image-2,Prompt as Code | GPT-Image2 工业级提示词引擎与模板库，530+ 个案例逆向工程，20+ 套工业级模板,JavaScript,27834,2685,19065,monthly,,2026-09-04T06:36:19+00:00,MIT License,
10,vitali87/code-graph-rag,https://github.com/vitali87/code-graph-rag,"The ultimate RAG for your monorepo. Query, understand, and edit multi-language codebases with the power of AI and knowledge graphs",Python,4951,654,2456,monthly,,2026-09-04T06:36:19+00:00,MIT License,
11,xai-org/x-algorithm,https://github.com/xai-org/x-algorithm,Algorithm powering the For You feed on X,Rust,32609,5359,5828,monthly,,2026-09-04T06:36:19+00:00,Apache License 2.0,
12,THU-MAIC/OpenMAIC,https://github.com/THU-MAIC/OpenMAIC,"Open Multi-Agent Interactive Classroom — Get an immersive, multi-agent learning experience in just one click",TypeScript,31179,5151,10599,monthly,,2026-09-04T06:36:19+00:00,MIT License,
13,cactus-compute/needle,https://github.com/cactus-compute/needle,"14MB foundation model for tiny devices; phones, wearables, smart home, and robots.",Python,10208,655,6855,monthly,,2026-09-04T06:36:19+00:00,Apache License 2.0,
14,apache/maka,https://github.com/apache/maka,"Apache Maka (Incubating) is a local-first AI agent workspace. Model messages, tool calls, tool results, permission decisions, and termination events are recorded as an append-only log.",TypeScript,4664,440,3545,monthly,,2026-09-04T06:36:19+00:00,Apache License 2.0,
15,TencentCloud/TencentDB-Agent-Memory,https://github.com/TencentCloud/TencentDB-Agent-Memory,"TencentDB Agent Memory is a team-level memory hub for AI Agents — turning conversations, docs, and code into four reusable memory assets",TypeScript,25877,2415,14291,monthly,,2026-09-04T06:36:19+00:00,MIT License,
16,youssofal/MTPLX,https://github.com/youssofal/MTPLX,3x faster speeds on MLX | Qwen 3.8 27B | Native MTP Speculative Decoding On Apple Silicon With No External Drafter.,Python,2018,148,870,monthly,,2026-09-04T06:36:19+00:00,Apache License 2.0,
17,cloudflare/computer,https://github.com/cloudflare/computer,Give your agent a computer,TypeScript,8994,502,8938,monthly,,2026-09-04T06:36:19+00:00,MIT License,
18,google/skills,https://github.com/google/skills,Agent Skills for Google products and technologies,Python,19424,1560,4004,monthly,,2026-09-04T06:36:19+00:00,Apache License 2.0,
19,modular/modular,https://github.com/modular/modular,The Modular Platform (includes MAX & Mojo),Mojo,29527,3145,2953,monthly,,2026-09-04T06:36:19+00:00,Apache License 2.0 with LLVM Exceptions,
20,huangruiteng/loopx,https://github.com/huangruiteng/loopx,"Long-horizon agent control plane for durable, governed work across Codex, Claude Code, and other harnesses.",Python,5578,497,4713,monthly,,2026-09-04T06:36:19+00:00,Apache License 2.0 / MIT License,
