rank,repository,url,description,language,stars_total,forks_total,stars_period,since,language_filter,scraped_at,license,first_commit_date
1,cathrynlavery/diagram-design,https://github.com/cathrynlavery/diagram-design,"38 editorial diagram types for Claude Code, Codex, and Pi. Self-contained HTML + SVG.",HTML,32680,2093,29194,monthly,,2026-09-07T06:15:42+00:00,MIT License,
2,omacom/omarchy,https://github.com/omacom/omarchy,"Beautiful, Modern & Opinionated Linux",Shell,38679,4162,14497,monthly,,2026-09-07T06:15:42+00:00,MIT License,
3,semantica-agi/semantica,https://github.com/semantica-agi/semantica,Graph-Native Infrastructure for Context and Accountable AI Systems,Python,12210,1377,10145,monthly,,2026-09-07T06:15:42+00:00,MIT License,
4,tt-a1i/archify,https://github.com/tt-a1i/archify,"Agent skill for creating architecture, workflow, and sequence diagrams with self-contained HTML",JavaScript,51296,3348,41018,monthly,,2026-09-07T06:15:42+00:00,MIT License,
5,anthropics/claude-plugins-community,https://github.com/anthropics/claude-plugins-community,Community plugin marketplace for Claude Cowork and Claude Code,Python,3539,272,3243,monthly,,2026-09-07T06:15:42+00:00,Apache License 2.0,
6,AprilNEA/OpenLogi,https://github.com/AprilNEA/OpenLogi,Native Logitech Options+ alternative written in Rust for button remapping and DPI control,Rust,19782,607,11494,monthly,,2026-09-07T06:15:42+00:00,Apache License 2.0 / MIT License (デュアルライセンス),
7,volcengine/OpenViking,https://github.com/volcengine/OpenViking,"Self-evolving Context Database for AI Agents. Unify Agent Memory, Knowledge RAG and Skills.",Python,35832,2731,7895,monthly,,2026-09-07T06:15:42+00:00,AGPL-3.0(主要部分)、一部コンポーネント(CLI・サンプル)はApache License 2.0,
8,PrimeIntellect-ai/prime-agent,https://github.com/PrimeIntellect-ai/prime-agent,A self-improving RLM agent for coding workflows and long-running autonomous tasks,TypeScript,20074,2196,17024,monthly,,2026-09-07T06:15:42+00:00,MIT License,
9,xai-org/x-algorithm,https://github.com/xai-org/x-algorithm,Algorithm powering the For You feed on X,Rust,32808,5366,5983,monthly,,2026-09-07T06:15:42+00:00,Apache License 2.0,
10,freestylefly/awesome-gpt-image-2,https://github.com/freestylefly/awesome-gpt-image-2,Industrial-grade prompt engine with 530+ examples and 20+ templates,JavaScript,28366,2718,19087,monthly,,2026-09-07T06:15:42+00:00,MIT License,
11,THU-MAIC/OpenMAIC,https://github.com/THU-MAIC/OpenMAIC,"Open Multi-Agent Interactive Classroom — Get an immersive, multi-agent learning experience",TypeScript,32590,5318,11874,monthly,,2026-09-07T06:15:42+00:00,MIT License,
12,vitali87/code-graph-rag,https://github.com/vitali87/code-graph-rag,RAG solution for monorepos using AI and knowledge graphs for querying codebases,Python,5045,661,2504,monthly,,2026-09-07T06:15:42+00:00,MIT License,
13,cactus-compute/needle,https://github.com/cactus-compute/needle,"14MB foundation model for tiny devices; phones, wearables, smart home, and robots",Python,10432,672,7069,monthly,,2026-09-07T06:15:42+00:00,Apache License 2.0,
14,vorssaint/vorssaint-utils,https://github.com/vorssaint/vorssaint-utils,Free and open-source macOS menu bar toolkit,Swift,16248,569,11159,monthly,,2026-09-07T06:15:42+00:00,GNU General Public License v3.0 or later,
15,modular/modular,https://github.com/modular/modular,The Modular Platform (includes MAX & Mojo),Mojo,29584,3156,3000,monthly,,2026-09-07T06:15:42+00:00,Apache License 2.0,
16,apache/maka,https://github.com/apache/maka,Apache Maka (Incubating) is a high-performance agent workspace that keeps a complete record,TypeScript,4848,461,3647,monthly,,2026-09-07T06:15:42+00:00,Apache License 2.0,
17,3b1b/manim,https://github.com/3b1b/manim,Animation engine for explanatory math videos,Python,93321,7662,4206,monthly,,2026-09-07T06:15:42+00:00,MIT License,
18,akitaonrails/ai-memory,https://github.com/akitaonrails/ai-memory,Long-term memory solution for agent coding CLIs and vendor handoffs,Rust,5913,418,4490,monthly,,2026-09-07T06:15:42+00:00,MIT License,
19,debpalash/VoiceStudio,https://github.com/debpalash/VoiceStudio,"Open-source, fully-local ElevenLabs alternative — voice cloning, voice design, video dubbing",Python,20050,2531,9973,monthly,,2026-09-07T06:15:42+00:00,GNU Affero General Public License v3.0,
20,public-apis/public-apis,https://github.com/public-apis/public-apis,A collective list of free APIs,Python,476625,52622,22696,monthly,,2026-09-07T06:15:42+00:00,MIT License,
21,Lakr233/vphone-cli,https://github.com/Lakr233/vphone-cli,,Swift,11013,1407,3335,monthly,,2026-09-07T06:15:42+00:00,MIT License,
22,megadose/holehe,https://github.com/megadose/holehe,Utility checking email usage across multiple sites with account information retrieval,Python,14681,1872,2754,monthly,,2026-09-07T06:15:42+00:00,GNU General Public License v3.0,
