rank,repository,url,description,language,stars_total,forks_total,stars_period,since,language_filter,scraped_at,license,first_commit_date
1,cathrynlavery/diagram-design,https://github.com/cathrynlavery/diagram-design,"38 editorial diagram types for Claude Code, Codex, and Pi. Self-contained HTML + SVG.",HTML,33490,2144,29958,monthly,,2026-09-08T07:55:04+00:00,MIT License,
2,omacom/omarchy,https://github.com/omacom/omarchy,"Beautiful, Modern & Opinionated Linux",Shell,39151,4227,14766,monthly,,2026-09-08T07:55:04+00:00,MIT License,
3,semantica-agi/semantica,https://github.com/semantica-agi/semantica,Graph-Native Infrastructure for Context and Accountable AI Systems,Python,12336,1391,10142,monthly,,2026-09-08T07:55:04+00:00,MIT License,
4,anthropics/claude-plugins-community,https://github.com/anthropics/claude-plugins-community,Community plugin marketplace for Claude Cowork and Claude Code.,Python,3601,278,3285,monthly,,2026-09-08T07:55:04+00:00,Apache License 2.0,
5,tt-a1i/archify,https://github.com/tt-a1i/archify,"Agent skill for beautiful, verifiable architecture, workflow, sequence, data-flow diagrams",JavaScript,53685,3524,42314,monthly,,2026-09-08T07:55:04+00:00,MIT license,
6,AprilNEA/OpenLogi,https://github.com/AprilNEA/OpenLogi,"Native, local-first alternative to Logitech Options+",Rust,20018,617,11676,monthly,,2026-09-08T07:55:04+00:00,Apache License 2.0 / MIT License(デュアルライセンス),
7,volcengine/OpenViking,https://github.com/volcengine/OpenViking,Self-evolving Context Database for AI Agents,Python,35990,2745,7993,monthly,,2026-09-08T07:55:04+00:00,GNU Affero General Public License v3.0(一部コンポーネントはApache License 2.0),
8,xai-org/x-algorithm,https://github.com/xai-org/x-algorithm,Algorithm powering the For You feed on X,Rust,32890,5370,6041,monthly,,2026-09-08T07:55:04+00:00,Apache License 2.0,
9,freestylefly/awesome-gpt-image-2,https://github.com/freestylefly/awesome-gpt-image-2,Industrial-grade prompt engine with 530+ cases and 20+ templates,JavaScript,28812,2762,19058,monthly,,2026-09-08T07:55:04+00:00,MIT License,
10,THU-MAIC/OpenMAIC,https://github.com/THU-MAIC/OpenMAIC,Open Multi-Agent Interactive Classroom learning experience,TypeScript,33291,5398,12423,monthly,,2026-09-08T07:55:04+00:00,MIT License,
11,youssofal/MTPLX,https://github.com/youssofal/MTPLX,3x faster speeds on MLX with Native MTP Speculative Decoding,Python,2164,159,1000,monthly,,2026-09-08T07:55:04+00:00,Apache License 2.0,
12,cactus-compute/needle,https://github.com/cactus-compute/needle,14MB foundation model for tiny devices,Python,10534,674,7126,monthly,,2026-09-08T07:55:04+00:00,Apache License 2.0,
13,vorssaint/vorssaint-utils,https://github.com/vorssaint/vorssaint-utils,Free and open-source macOS menu bar toolkit,Swift,16821,586,11945,monthly,,2026-09-08T07:55:04+00:00,GNU General Public License v3.0,
14,modular/modular,https://github.com/modular/modular,The Modular Platform (includes MAX & Mojo),Mojo,29614,3158,3016,monthly,,2026-09-08T07:55:04+00:00,Apache License 2.0 with LLVM Exceptions,
15,PrimeIntellect-ai/prime-agent,https://github.com/PrimeIntellect-ai/prime-agent,Self-improving RLM agent for coding workflows,TypeScript,20230,2208,15094,monthly,,2026-09-08T07:55:04+00:00,MIT License,
16,apache/maka,https://github.com/apache/maka,High-performance agent workspace with complete activity record,TypeScript,4996,468,3715,monthly,,2026-09-08T07:55:04+00:00,Apache License 2.0,
17,3b1b/manim,https://github.com/3b1b/manim,Animation engine for explanatory math videos,Python,93448,7675,4285,monthly,,2026-09-08T07:55:04+00:00,MIT License,
18,debpalash/VoiceStudio,https://github.com/debpalash/VoiceStudio,Open-source ElevenLabs alternative for voice work,Python,20931,2608,10716,monthly,,2026-09-08T07:55:04+00:00,AGPL-3.0,
19,public-apis/public-apis,https://github.com/public-apis/public-apis,A collective list of free APIs,Python,477239,52674,22977,monthly,,2026-09-08T07:55:04+00:00,MIT License,
20,Lakr233/vphone-cli,https://github.com/Lakr233/vphone-cli,,Swift,11196,1424,3540,monthly,,2026-09-08T07:55:04+00:00,MIT License,
21,vitali87/code-graph-rag,https://github.com/vitali87/code-graph-rag,RAG for monorepos using AI and knowledge graphs,Python,5096,665,2529,monthly,,2026-09-08T07:55:04+00:00,MIT License,
22,megadose/holehe,https://github.com/megadose/holehe,Check email presence across sites like Twitter and Instagram,Python,14741,1880,2795,monthly,,2026-09-08T07:55:04+00:00,GNU General Public License v3.0,
