rank,repository,url,description,language,stars_total,forks_total,stars_period,since,language_filter,scraped_at,license,first_commit_date
1,omacom/omarchy,https://github.com/omacom/omarchy,"Beautiful, Modern & Opinionated Linux",Shell,41140,4632,16712,monthly,,2026-09-15T07:15:32+00:00,MIT License,
2,tt-a1i/archify,https://github.com/tt-a1i/archify,"Agent skill for beautiful, verifiable architecture, workflow, sequence, data-flow, and lifecycle diagrams",JavaScript,62692,4157,49900,monthly,,2026-09-15T07:15:32+00:00,MIT License,
3,anthropics/claude-plugins-community,https://github.com/anthropics/claude-plugins-community,Community plugin marketplace for Claude Cowork and Claude Code,Python,4047,297,3715,monthly,,2026-09-15T07:15:32+00:00,Apache License 2.0,
4,AprilNEA/OpenLogi,https://github.com/AprilNEA/OpenLogi,"Native, local-first alternative to Logitech Options+, written in Rust",Rust,21114,679,12695,monthly,,2026-09-15T07:15:32+00:00,Apache License 2.0 / MIT License(デュアルライセンス),
5,cursor/plugins,https://github.com/cursor/plugins,Cursor plugin specification and official plugins,TypeScript,7781,689,5026,monthly,,2026-09-15T07:15:32+00:00,MIT License,
6,volcengine/OpenViking,https://github.com/volcengine/OpenViking,Self-evolving Context Database for AI Agents,Python,37330,2873,8921,monthly,,2026-09-15T07:15:32+00:00,GNU Affero General Public License v3.0(AGPLv3、CLIツール等の一部はApache License 2.0),
7,freestylefly/awesome-gpt-image-2,https://github.com/freestylefly/awesome-gpt-image-2,Prompt as Code | GPT Image 2 / 2.5 prompt and case library,JavaScript,31973,3081,22081,monthly,,2026-09-15T07:15:32+00:00,MIT License,
8,cathrynlavery/diagram-design,https://github.com/cathrynlavery/diagram-design,"38 editorial diagram types for Claude Code, Codex, and Pi",HTML,39970,2537,23268,monthly,,2026-09-15T07:15:32+00:00,MIT License,
9,THU-MAIC/OpenMAIC,https://github.com/THU-MAIC/OpenMAIC,Open Multi-Agent Interactive Classroom for immersive learning experience,TypeScript,36945,5833,16207,monthly,,2026-09-15T07:15:32+00:00,MIT License,
10,ayghri/i-have-adhd,https://github.com/ayghri/i-have-adhd,Skill to stop coding agent from burying answer with ADHD-friendly output,Python,45689,2650,24963,monthly,,2026-09-15T07:15:32+00:00,MIT License,
11,vorssaint/vorssaint-utils,https://github.com/vorssaint/vorssaint-utils,Free and open-source macOS menu bar toolkit,Swift,19069,681,13706,monthly,,2026-09-15T07:15:32+00:00,GPL-3.0 License,
12,debpalash/VoiceStudio,https://github.com/debpalash/VoiceStudio,"Open-source, fully-local ElevenLabs alternative for voice work",Python,29824,3606,18692,monthly,,2026-09-15T07:15:32+00:00,AGPL-3.0,
13,modular/modular,https://github.com/modular/modular,The Modular Platform (includes MAX & Mojo),Mojo,29753,3173,3049,monthly,,2026-09-15T07:15:32+00:00,Apache License 2.0,
14,akitaonrails/ai-memory,https://github.com/akitaonrails/ai-memory,Long term memory solution for agent coding CLIs,Rust,6851,460,5351,monthly,,2026-09-15T07:15:32+00:00,MIT License,
15,Lakr233/vphone-cli,https://github.com/Lakr233/vphone-cli,,Swift,12347,1533,4310,monthly,,2026-09-15T07:15:32+00:00,MIT License,
16,apache/maka,https://github.com/apache/maka,High-performance agent workspace keeping complete record,TypeScript,5424,502,4111,monthly,,2026-09-15T07:15:32+00:00,Apache License 2.0,
17,microsoft/data-formulator,https://github.com/microsoft/data-formulator,Interactive AI-powered data analysis system for exploration and visualization,Python,17203,1673,1158,monthly,,2026-09-15T07:15:32+00:00,MIT License,
18,public-apis/public-apis,https://github.com/public-apis/public-apis,Collective list of free APIs,Python,480335,52986,23551,monthly,,2026-09-15T07:15:32+00:00,MIT License,
19,google-research/timesfm,https://github.com/google-research/timesfm,TimesFM pretrained time-series foundation model for forecasting,Python,32537,3115,5252,monthly,,2026-09-15T07:15:32+00:00,Apache License 2.0,
