rank,repository,url,description,language,stars_total,forks_total,stars_period,since,language_filter,scraped_at,license,first_commit_date
1,cathrynlavery/diagram-design,https://github.com/cathrynlavery/diagram-design,"38 editorial diagram types for Claude Code, Codex, and Pi. Self-contained HTML + SVG.",HTML,35440,2226,30797,monthly,,2026-09-09T06:43:51+00:00,MIT License,
2,omacom/omarchy,https://github.com/omacom/omarchy,"Beautiful, Modern & Opinionated Linux",Shell,39509,4288,15226,monthly,,2026-09-09T06:43:51+00:00,MIT License,
3,cursor/plugins,https://github.com/cursor/plugins,Cursor plugin specification and official plugins,TypeScript,7170,620,4574,monthly,,2026-09-09T06:43:51+00:00,MIT License,
4,tt-a1i/archify,https://github.com/tt-a1i/archify,"Agent skill for beautiful, verifiable architecture, workflow, sequence, data-flow diagrams",JavaScript,55157,3618,44220,monthly,,2026-09-09T06:43:51+00:00,MIT License,
5,anthropics/claude-plugins-community,https://github.com/anthropics/claude-plugins-community,Community plugin marketplace for Claude Cowork and Claude Code,Python,3650,282,3348,monthly,,2026-09-09T06:43:51+00:00,Apache License 2.0,
6,semantica-agi/semantica,https://github.com/semantica-agi/semantica,Graph-Native Infrastructure for Context and Accountable AI Systems,Python,12448,1394,9951,monthly,,2026-09-09T06:43:51+00:00,MIT License,
7,AprilNEA/OpenLogi,https://github.com/AprilNEA/OpenLogi,"Native, local-first alternative to Logitech Options+ in Rust",Rust,20225,625,11896,monthly,,2026-09-09T06:43:51+00:00,Apache License 2.0 / MIT License,
8,volcengine/OpenViking,https://github.com/volcengine/OpenViking,Self-evolving Context Database for AI Agents,Python,36138,2754,8115,monthly,,2026-09-09T06:43:51+00:00,GNU Affero General Public License v3.0(一部CLI・サンプルはApache License 2.0),
9,xai-org/x-algorithm,https://github.com/xai-org/x-algorithm,Algorithm powering the For You feed on X,Rust,32950,5376,6114,monthly,,2026-09-09T06:43:51+00:00,Apache License 2.0,
10,freestylefly/awesome-gpt-image-2,https://github.com/freestylefly/awesome-gpt-image-2,Prompt as Code engine with 530+ prompt examples and templates,JavaScript,29440,2821,19654,monthly,,2026-09-09T06:43:51+00:00,MIT License,
11,THU-MAIC/OpenMAIC,https://github.com/THU-MAIC/OpenMAIC,Open Multi-Agent Interactive Classroom for immersive learning,TypeScript,33847,5459,13038,monthly,,2026-09-09T06:43:51+00:00,MIT License(一部サードパーティパッケージはLGPL-3.0-or-later等の別ライセンス),
12,cactus-compute/needle,https://github.com/cactus-compute/needle,14MB foundation model for tiny devices including phones and robots,Python,10626,677,7220,monthly,,2026-09-09T06:43:51+00:00,Apache License 2.0,
13,vorssaint/vorssaint-utils,https://github.com/vorssaint/vorssaint-utils,Free and open-source macOS menu bar toolkit,Swift,17343,602,12282,monthly,,2026-09-09T06:43:51+00:00,GNU General Public License v3.0 or later,
14,modular/modular,https://github.com/modular/modular,The Modular Platform (includes MAX & Mojo),Mojo,29637,3161,3036,monthly,,2026-09-09T06:43:51+00:00,Apache License v2.0 with LLVM Exceptions(MAXの利用はModular Community Licenseに準拠),
15,akitaonrails/ai-memory,https://github.com/akitaonrails/ai-memory,Solution for long term memory for agent coding CLIs,Rust,6156,426,4716,monthly,,2026-09-09T06:43:51+00:00,MIT License,
16,debpalash/VoiceStudio,https://github.com/debpalash/VoiceStudio,Open-source ElevenLabs alternative for voice cloning and dubbing,Python,21501,2659,11516,monthly,,2026-09-09T06:43:51+00:00,AGPL-3.0 License,
17,apache/maka,https://github.com/apache/maka,Apache Maka high-performance agent workspace,TypeScript,5086,471,3835,monthly,,2026-09-09T06:43:51+00:00,Apache License 2.0,
18,public-apis/public-apis,https://github.com/public-apis/public-apis,Collective list of free APIs,Python,477736,52735,23450,monthly,,2026-09-09T06:43:51+00:00,MIT License,
19,3b1b/manim,https://github.com/3b1b/manim,Animation engine for explanatory math videos,Python,93535,7682,4394,monthly,,2026-09-09T06:43:51+00:00,MIT License,
20,Lakr233/vphone-cli,https://github.com/Lakr233/vphone-cli,,Swift,11315,1434,3705,monthly,,2026-09-09T06:43:51+00:00,MIT License,
21,megadose/holehe,https://github.com/megadose/holehe,Check if email is used on different sites and retrieve account info,Python,14796,1881,2856,monthly,,2026-09-09T06:43:51+00:00,GNU General Public License v3.0,
22,MiaAI-Lab/DeepSeek-v4-Flash-DSpark-2x-DGX-Spark,https://github.com/MiaAI-Lab/DeepSeek-v4-Flash-DSpark-2x-DGX-Spark,DeepSeek-v4-Flash recipe for 2x DGX Sparks,Python,1304,179,812,monthly,,2026-09-09T06:43:51+00:00,MIT License,
23,unslothai/unsloth,https://github.com/unslothai/unsloth,Local UI to run and train LLMs and diffusion models,Python,75903,6901,6357,monthly,,2026-09-09T06:43:51+00:00,Apache License 2.0,
