rank,repository,url,description,language,stars_total,forks_total,stars_period,since,language_filter,scraped_at,license,first_commit_date
1,tt-a1i/archify,https://github.com/tt-a1i/archify,"Agent skill for beautiful, verifiable architecture, workflow, sequence, data-flow, and lifecycle diagrams",JavaScript,51296,3348,17190,weekly,,2026-09-07T06:15:42+00:00,MIT License,
2,magnitudedev/magnitude,https://github.com/magnitudedev/magnitude,Open source inference server that runs the best local models for your hardware,TypeScript,3793,275,1961,weekly,,2026-09-07T06:15:42+00:00,Apache License 2.0,
3,THU-MAIC/OpenMAIC,https://github.com/THU-MAIC/OpenMAIC,"Open Multi-Agent Interactive Classroom — Get an immersive, multi-agent learning experience",TypeScript,32590,5318,9193,weekly,,2026-09-07T06:15:42+00:00,MIT License,
4,Gitlawb/openclaude,https://github.com/Gitlawb/openclaude,runs anywhere. uses anything,TypeScript,32863,9061,1944,weekly,,2026-09-07T06:15:42+00:00,MIT License,
5,pollen-robotics/microduck_rl,https://github.com/pollen-robotics/microduck_rl,RL training environments for Microduck (mjlab),Python,1840,364,1122,weekly,,2026-09-07T06:15:42+00:00,Apache License 2.0,
6,google-research/timesfm,https://github.com/google-research/timesfm,TimesFM is a pretrained time-series foundation model developed by Google Research,Python,31693,3033,3203,weekly,,2026-09-07T06:15:42+00:00,Apache License 2.0,
7,jingyaogong/minimind,https://github.com/jingyaogong/minimind,Train a 64M-parameter LLM from scratch in just 2h!,Python,59254,7694,3816,weekly,,2026-09-07T06:15:42+00:00,Apache License 2.0,
8,fmtlib/fmt,https://github.com/fmtlib/fmt,A modern formatting library,C++,25630,3047,1885,weekly,,2026-09-07T06:15:42+00:00,MIT License,
9,debpalash/VoiceStudio,https://github.com/debpalash/VoiceStudio,"Open-source, fully-local ElevenLabs alternative — voice cloning, voice design, video dubbing",Python,20050,2531,7513,weekly,,2026-09-07T06:15:42+00:00,GNU Affero General Public License v3.0,
10,handsomestWei/patent-disclosure-skill,https://github.com/handsomestWei/patent-disclosure-skill,Chinese patent skills for disclosure document writing and policy interpretation,Python,8042,860,2093,weekly,,2026-09-07T06:15:42+00:00,MIT License,
11,K-Dense-AI/scientific-agent-skills,https://github.com/K-Dense-AI/scientific-agent-skills,Turn any AI agent into an AI Scientist. 165 ready-to-use validated skills,Python,43399,3952,4718,weekly,,2026-09-07T06:15:42+00:00,MIT License,
12,tailscale/tailcat,https://github.com/tailscale/tailcat,"like netcat, but over Tailscale's data plane, without Tailscale's control plane",Go,6598,256,2467,weekly,,2026-09-07T06:15:42+00:00,BSD-3-Clause License,
13,colinhacks/zod,https://github.com/colinhacks/zod,TypeScript-first schema validation with static type inference,TypeScript,43867,2179,277,weekly,,2026-09-07T06:15:42+00:00,MIT License,
14,ChromeDevTools/chrome-devtools-mcp,https://github.com/ChromeDevTools/chrome-devtools-mcp,Chrome DevTools for coding agents,TypeScript,51211,3597,965,weekly,,2026-09-07T06:15:42+00:00,Apache License 2.0,
15,affaan-m/ECC,https://github.com/affaan-m/ECC,"Agent harness performance optimization system. Skills, instincts, memory, security",JavaScript,251800,37832,6394,weekly,,2026-09-07T06:15:42+00:00,MIT License,
16,Lakr233/vphone-cli,https://github.com/Lakr233/vphone-cli,,Swift,11013,1407,1478,weekly,,2026-09-07T06:15:42+00:00,MIT License,
17,every-app/open-seo,https://github.com/every-app/open-seo,Open source alternative to Semrush and Ahrefs,TypeScript,17561,2217,2503,weekly,,2026-09-07T06:15:42+00:00,MIT License,
18,DietrichGebert/ponytail,https://github.com/DietrichGebert/ponytail,Makes your AI agent think like the laziest senior dev in the room,JavaScript,129822,6955,12186,weekly,,2026-09-07T06:15:42+00:00,MIT License,
19,majd/ipatool,https://github.com/majd/ipatool,Command-line tool that allows searching and downloading app packages (ipa files),Go,10984,915,893,weekly,,2026-09-07T06:15:42+00:00,MIT License,
20,punkpeye/awesome-mcp-servers,https://github.com/punkpeye/awesome-mcp-servers,A collection of MCP servers,,94512,15780,1326,weekly,,2026-09-07T06:15:42+00:00,MIT License,
21,Imbad0202/academic-research-skills,https://github.com/Imbad0202/academic-research-skills,Academic Research Skills for Claude Code: research → write → review → revise,Python,46641,3651,2334,weekly,,2026-09-07T06:15:42+00:00,CC-BY-NC 4.0,
