rank,repository,url,description,language,stars_total,forks_total,stars_period,since,language_filter,scraped_at,license,first_commit_date
1,freestylefly/awesome-gpt-image-2,https://github.com/freestylefly/awesome-gpt-image-2,"Prompt as Code | GPT-Image2 industrial-grade prompt engine and template library, 530+ reverse-engineered cases, 20+ production templates",JavaScript,25871,2542,13413,weekly,,2026-08-31T05:33:45+00:00,MIT License,
2,anthropics/claude-plugins-community,https://github.com/anthropics/claude-plugins-community,Community plugin marketplace for Claude Cowork and Claude Code,Python,2931,237,2162,weekly,,2026-08-31T05:33:45+00:00,Apache License 2.0,
3,tt-a1i/archify,https://github.com/tt-a1i/archify,"Agent skill for beautiful, verifiable architecture and workflow diagrams with self-contained HTML",JavaScript,35609,2283,18103,weekly,,2026-08-31T05:33:45+00:00,MIT License,
4,omacom/omarchy,https://github.com/omacom/omarchy,"Beautiful, Modern & Opinionated Linux",Shell,35660,3679,6692,weekly,,2026-08-31T05:33:45+00:00,MIT License,
5,apache/maka,https://github.com/apache/maka,Apache Maka (Incubating) is a local-first AI agent workspace,TypeScript,4235,390,1973,weekly,,2026-08-31T05:33:45+00:00,Apache License 2.0,
6,tashfeenahmed/freellmapi,https://github.com/tashfeenahmed/freellmapi,Free LLM API providing 7.4 billion tokens monthly across 34 providers behind unified endpoint,TypeScript,22963,3166,3037,weekly,,2026-08-31T05:33:45+00:00,MIT License,
7,MadsLorentzen/ai-job-search,https://github.com/MadsLorentzen/ai-job-search,Job search framework built on Claude Code evaluating postings and tailoring applications,Python,38642,13113,5348,weekly,,2026-08-31T05:33:45+00:00,MIT License,
8,anthropics/claude-plugins-official,https://github.com/anthropics/claude-plugins-official,Official Anthropic-managed directory of high quality Claude Code Plugins,Python,35639,3974,1940,weekly,,2026-08-31T05:33:45+00:00,Apache License 2.0,
9,AprilNEA/OpenLogi,https://github.com/AprilNEA/OpenLogi,"A native, local-first alternative to Logitech Options+, written in Rust",Rust,17951,524,3406,weekly,,2026-08-31T05:33:45+00:00,Apache License 2.0 / MIT License (デュアルライセンス),
10,rohitg00/ai-engineering-from-scratch,https://github.com/rohitg00/ai-engineering-from-scratch,"Learn, build, and ship AI engineering concepts for others",Python,51365,8895,3720,weekly,,2026-08-31T05:33:45+00:00,MIT License,
11,cursor/plugins,https://github.com/cursor/plugins,Cursor plugin specification and official plugins,TypeScript,6298,508,1503,weekly,,2026-08-31T05:33:45+00:00,MIT License,
12,K-Dense-AI/scientific-agent-skills,https://github.com/K-Dense-AI/scientific-agent-skills,"The #1 Agent Skills library for science with 165 validated skills covering biology, chemistry, and medicine",Python,39679,3693,4309,weekly,,2026-08-31T05:33:45+00:00,MIT License,
13,ConardLi/garden-skills,https://github.com/ConardLi/garden-skills,"Open-source Skills collection featuring web design, knowledge retrieval, and image generation",CSS,11811,1455,1222,weekly,,2026-08-31T05:33:45+00:00,MIT License,
14,google/googletest,https://github.com/google/googletest,GoogleTest - Google Testing and Mocking Framework,C++,39393,10883,441,weekly,,2026-08-31T05:33:45+00:00,BSD 3-Clause License,
15,Alishahryar1/free-claude-code,https://github.com/Alishahryar1/free-claude-code,"Use Claude Code and similar tools free with 1.3B+ tokens from terminal, app, IDE, or phone",Python,52015,8377,4324,weekly,,2026-08-31T05:33:45+00:00,MIT License,
16,THU-MAIC/OpenMAIC,https://github.com/THU-MAIC/OpenMAIC,"Open Multi-Agent Interactive Classroom — Get an immersive, multi-agent learning experience",TypeScript,24743,4538,2085,weekly,,2026-08-31T05:33:45+00:00,MIT License,
17,abi/screenshot-to-code,https://github.com/abi/screenshot-to-code,"Drop in screenshot and convert to clean code using HTML, Tailwind, React, or Vue",Python,76475,9308,1909,weekly,,2026-08-31T05:33:45+00:00,MIT License,
18,openai/codex,https://github.com/openai/codex,Lightweight coding agent that runs in terminal,Rust,120192,18362,5510,weekly,,2026-08-31T05:33:45+00:00,Apache License 2.0,
19,tinyhumansai/openhuman,https://github.com/tinyhumansai/openhuman,Personal AI super intelligence with local-first memory and agent fleet orchestration,Rust,39052,3836,2526,weekly,,2026-08-31T05:33:45+00:00,GPL-3.0 license,
