rank,repository,url,description,language,stars_total,forks_total,stars_period,since,language_filter,scraped_at,license,first_commit_date
1,fmtlib/fmt,https://github.com/fmtlib/fmt,A modern formatting library,C++,25687,3050,1935,weekly,,2026-09-09T06:43:51+00:00,MIT License,
2,affaan-m/ECC,https://github.com/affaan-m/ECC,"The agent harness performance optimization system. Skills, instincts, memory, security.",JavaScript,254554,38135,8527,weekly,,2026-09-09T06:43:51+00:00,MIT License,
3,DietrichGebert/ponytail,https://github.com/DietrichGebert/ponytail,Makes your AI agent think like the laziest senior dev in the room.,JavaScript,132530,7090,12598,weekly,,2026-09-09T06:43:51+00:00,MIT License,
4,tt-a1i/archify,https://github.com/tt-a1i/archify,"Agent skill for beautiful, verifiable architecture, workflow, sequence diagrams.",JavaScript,55156,3618,13318,weekly,,2026-09-09T06:43:51+00:00,MIT License,
5,blader/humanizer,https://github.com/blader/humanizer,Agent skill that removes signs of AI-generated writing from text,Python,45572,3749,5790,weekly,,2026-09-09T06:43:51+00:00,MIT License,
6,Imbad0202/academic-research-skills,https://github.com/Imbad0202/academic-research-skills,Academic Research Skills for Claude Code: research → write → review → revise,Python,47122,3688,2430,weekly,,2026-09-09T06:43:51+00:00,CC BY-NC 4.0,
7,mattpocock/skills,https://github.com/mattpocock/skills,Skills for Real Engineers. Straight from my .agents directory.,Shell,257187,21665,13419,weekly,,2026-09-09T06:43:51+00:00,MIT License,
8,coreyhaines31/marketingskills,https://github.com/coreyhaines31/marketingskills,"Marketing skills for Claude Code and AI agents. CRO, copywriting, SEO.",JavaScript,48986,7503,2141,weekly,,2026-09-09T06:43:51+00:00,MIT License,
9,ChromeDevTools/chrome-devtools-mcp,https://github.com/ChromeDevTools/chrome-devtools-mcp,Chrome DevTools for coding agents,TypeScript,51401,3609,1014,weekly,,2026-09-09T06:43:51+00:00,Apache License 2.0,
10,llvm/llvm-project,https://github.com/llvm/llvm-project,The LLVM Project is a collection of modular and reusable compiler technologies.,LLVM,40351,18595,304,weekly,,2026-09-09T06:43:51+00:00,Apache License 2.0,
11,mksglu/context-mode,https://github.com/mksglu/context-mode,Context window optimization for AI coding agents. Sandboxes tool output.,TypeScript,21501,1548,935,weekly,,2026-09-09T06:43:51+00:00,Elastic License 2.0 (ELv2),
12,NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,The agent that grows with you,Python,243565,50232,4221,weekly,,2026-09-09T06:43:51+00:00,MIT License,
13,heygen-com/hyperframes,https://github.com/heygen-com/hyperframes,Write HTML. Render video. Built for agents.,TypeScript,48007,4408,3886,weekly,,2026-09-09T06:43:51+00:00,Apache License 2.0,
14,facebook/zstd,https://github.com/facebook/zstd,Zstandard - Fast real-time compression algorithm,C,27773,2590,88,weekly,,2026-09-09T06:43:51+00:00,BSD 3-Clause License,
15,openai/skills,https://github.com/openai/skills,Skills Catalog for Codex,Python,26648,1787,1005,weekly,,2026-09-09T06:43:51+00:00,,
16,nvm-sh/nvm,https://github.com/nvm-sh/nvm,Node Version Manager - POSIX-compliant bash script for managing node.js versions,Shell,95045,10441,257,weekly,,2026-09-09T06:43:51+00:00,MIT License,
17,bilawalsidhu/gods-eye-view,https://github.com/bilawalsidhu/gods-eye-view,A spy satellite simulator in your browser with real data on a photorealistic globe,JavaScript,19895,4088,4196,weekly,,2026-09-09T06:43:51+00:00,MIT License,
18,every-app/open-seo,https://github.com/every-app/open-seo,Open source alternative to Semrush and Ahrefs,TypeScript,17981,2267,1846,weekly,,2026-09-09T06:43:51+00:00,MIT License,
19,ruvnet/ruflo,https://github.com/ruvnet/ruflo,The original agent meta-harness. Deploy intelligent multi-player swarms.,TypeScript,71711,8486,1585,weekly,,2026-09-09T06:43:51+00:00,MIT License,
20,google-research/timesfm,https://github.com/google-research/timesfm,TimesFM (Time Series Foundation Model) for time-series forecasting,Python,32054,3063,3365,weekly,,2026-09-09T06:43:51+00:00,Apache License 2.0,
