rank,repository,url,description,language,stars_total,forks_total,stars_period,since,language_filter,scraped_at,license,first_commit_date
1,modular/modular,https://github.com/modular/modular,The Modular Platform (includes MAX & Mojo),Mojo,29092,3101,2285,weekly,,2026-08-25T07:12:40+00:00,Apache License 2.0 with LLVM Exceptions,
2,harry0703/MoneyPrinterTurbo,https://github.com/harry0703/MoneyPrinterTurbo,Generate HD short videos from a topic or keyword with an automated AI workflow,Python,116123,17650,10647,weekly,,2026-08-25T07:12:40+00:00,MIT License,
3,AprilNEA/OpenLogi,https://github.com/AprilNEA/OpenLogi,"Native, local-first alternative to Logitech Options+, written in Rust — remap buttons, DPI, and SmartShift over HID++. No account, no telemetry",Rust,16072,440,7019,weekly,,2026-08-25T07:12:40+00:00,Apache License 2.0 / MIT License(デュアルライセンス),
4,basecamp/omarchy,https://github.com/basecamp/omarchy,"Beautiful, Modern & Opinionated Linux",Shell,30455,3091,3934,weekly,,2026-08-25T07:12:40+00:00,MIT License,
5,volcengine/OpenViking,https://github.com/volcengine/OpenViking,"Self-evolving Context Database for AI Agents. Unify Agent Memory, Knowledge RAG and Skills",Python,33085,2521,4048,weekly,,2026-08-25T07:12:40+00:00,AGPLv3(本体)、Apache 2.0(CLI・サンプルコード),
6,anthropics/claude-plugins-community,https://github.com/anthropics/claude-plugins-community,Community plugin marketplace for Claude Cowork and Claude Code,Python,1474,161,877,weekly,,2026-08-25T07:12:40+00:00,Apache License 2.0,
7,cordiverse/cordis,https://github.com/cordiverse/cordis,Meta-Framework of Spatiotemporal Composability,TypeScript,7455,433,1972,weekly,,2026-08-25T07:12:40+00:00,MIT License,
8,public-apis/public-apis,https://github.com/public-apis/public-apis,A collective list of free APIs,Python,470042,51829,7069,weekly,,2026-08-25T07:12:40+00:00,MIT License,
9,akitaonrails/ai-memory,https://github.com/akitaonrails/ai-memory,Solution for long term memory for agent coding CLIs and to facilitate handoff between different agent vendors,Rust,4454,323,2520,weekly,,2026-08-25T07:12:40+00:00,MIT License,
10,jundot/omlx,https://github.com/jundot/omlx,LLM inference server with continuous batching & SSD caching for Apple Silicon — managed from the macOS menu bar,Python,20573,1738,1689,weekly,,2026-08-25T07:12:40+00:00,Apache License 2.0,
11,apache/maka,https://github.com/apache/maka,"Apache Maka (Incubating) is a local-first AI agent workspace recording model messages, tool calls, results, permissions, and termination events as append-only logs",TypeScript,3037,311,1313,weekly,,2026-08-25T07:12:40+00:00,Apache License 2.0,
12,liustack/modlens,https://github.com/liustack/modlens,"First vision plugin for DeepSeek Harness providing structured JSON evidence (OCR, layout, semantics) for text-only coding agents",TypeScript,3635,105,809,weekly,,2026-08-25T07:12:40+00:00,MIT License,
13,eneskirca/nodeterm,https://github.com/eneskirca/nodeterm,Node-based terminal manager for AI coding agents — tmux-backed terminals and parallel agent sessions as draggable nodes,TypeScript,1205,124,529,weekly,,2026-08-25T07:12:40+00:00,Business Source License 1.1,
14,Tencent/AI-Infra-Guard,https://github.com/Tencent/AI-Infra-Guard,"Full-stack AI Red Teaming platform securing AI ecosystems via Agent Scan, Skills Scan, MCP scan, AI Infra scan and LLM jailbreak evaluation",Python,5807,539,1212,weekly,,2026-08-25T07:12:40+00:00,Apache License 2.0,
15,cursor/plugins,https://github.com/cursor/plugins,Cursor plugin specification and official plugins,TypeScript,5049,412,1832,weekly,,2026-08-25T07:12:40+00:00,MIT License,
