rank,repository,url,description,language,stars_total,forks_total,stars_period,since,language_filter,scraped_at,license,first_commit_date
1,ayghri/i-have-adhd,https://github.com/ayghri/i-have-adhd,A skill to stop your coding agent from burying the answer. ADHD-friendly output.,Python,47057,2737,13737,weekly,,2026-09-17T06:43:09+00:00,MIT License,
2,bilawalsidhu/gods-eye-view,https://github.com/bilawalsidhu/gods-eye-view,"A spy satellite simulator in your browser, except the data is real.",JavaScript,36275,7263,14777,weekly,,2026-09-17T06:43:09+00:00,MIT License,
3,alibaba/open-code-review,https://github.com/alibaba/open-code-review,"Fast, efficient, battle-tested at Alibaba's scale. Hybrid architecture code review tool",Go,32761,2317,8594,weekly,,2026-09-17T06:43:09+00:00,Apache License 2.0,
4,affaan-m/ECC,https://github.com/affaan-m/ECC,"The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development",JavaScript,260550,39000,5292,weekly,,2026-09-17T06:43:09+00:00,MIT License,
5,openai/plugins,https://github.com/openai/plugins,OpenAI Plugins,JavaScript,6877,897,771,weekly,,2026-09-17T06:43:09+00:00,,
6,mksglu/context-mode,https://github.com/mksglu/context-mode,Context window optimization for AI coding agents. Sandboxes tool output (98% reduction),TypeScript,23279,1678,1612,weekly,,2026-09-17T06:43:09+00:00,ELv2 License,
7,Tencent/WeKnora,https://github.com/Tencent/WeKnora,"Open-source LLM knowledge platform: turn raw documents into a queryable RAG, an autonomous reasoning agent",Go,25659,3506,3034,weekly,,2026-09-17T06:43:09+00:00,MIT License,
8,obra/superpowers,https://github.com/obra/superpowers,An agentic skills framework & software development methodology that works.,Shell,287734,25738,4023,weekly,,2026-09-17T06:43:09+00:00,MIT License,
9,DietrichGebert/ponytail,https://github.com/DietrichGebert/ponytail,Makes your AI agent think like the laziest senior dev in the room. The best code is the code you never wrote.,JavaScript,140659,7550,7218,weekly,,2026-09-17T06:43:09+00:00,MIT License,
10,max-sixty/worktrunk,https://github.com/max-sixty/worktrunk,"Worktrunk is a CLI for Git worktree management, designed for parallel AI agent workflows",Rust,7945,272,998,weekly,,2026-09-17T06:43:09+00:00,MIT License OR Apache License 2.0,
11,blader/humanizer,https://github.com/blader/humanizer,Agent skill that removes signs of AI-generated writing from text,Python,49310,3998,3266,weekly,,2026-09-17T06:43:09+00:00,MIT License,
12,kunchenguid/firstmate,https://github.com/kunchenguid/firstmate,Talk to one agent. Ship with a crew.,Shell,6223,1926,873,weekly,,2026-09-17T06:43:09+00:00,MIT License,
13,petergyang/no-ai-slop,https://github.com/petergyang/no-ai-slop,Removes 20+ patterns of AI slop from any piece of writing.,Python,10201,713,2320,weekly,,2026-09-17T06:43:09+00:00,MIT License,
14,microsoft/markitdown,https://github.com/microsoft/markitdown,Python tool for converting files and office documents to Markdown.,Python,184923,13624,2733,weekly,,2026-09-17T06:43:09+00:00,MIT License,
15,addyosmani/agent-skills,https://github.com/addyosmani/agent-skills,Production-grade engineering skills for AI coding agents.,JavaScript,95622,10121,2119,weekly,,2026-09-17T06:43:09+00:00,MIT License,
16,home-assistant/core,https://github.com/home-assistant/core,Open source home automation that puts local control and privacy first.,Python,90599,38674,236,weekly,,2026-09-17T06:43:09+00:00,Apache-2.0 license,
17,THU-MAIC/OpenMAIC,https://github.com/THU-MAIC/OpenMAIC,"Open Multi-Agent Interactive Classroom — Get an immersive, multi-agent learning experience",TypeScript,37471,5898,3214,weekly,,2026-09-17T06:43:09+00:00,MIT license,
18,danny-avila/LibreChat,https://github.com/danny-avila/LibreChat,"Enhanced ChatGPT Clone: Features Agents, MCP, Skills, DeepSeek, Anthropic, AWS, OpenAI",TypeScript,44290,9074,1173,weekly,,2026-09-17T06:43:09+00:00,MIT license,
19,openai/skills,https://github.com/openai/skills,Skills Catalog for Codex,Python,27395,1837,632,weekly,,2026-09-17T06:43:09+00:00,,
20,github/spec-kit,https://github.com/github/spec-kit,Toolkit to help you get started with Spec-Driven Development,Python,137448,12311,3019,weekly,,2026-09-17T06:43:09+00:00,MIT license,
21,heygen-com/hyperframes,https://github.com/heygen-com/hyperframes,Write HTML. Render video. Built for agents.,TypeScript,50835,4635,2413,weekly,,2026-09-17T06:43:09+00:00,Apache License 2.0,
22,TauricResearch/TradingAgents,https://github.com/TauricResearch/TradingAgents,TradingAgents: Multi-Agents LLM Financial Trading Framework,Python,107127,20458,3350,weekly,,2026-09-17T06:43:09+00:00,Apache-2.0 License,
