rank,repository,url,description,language,stars_total,forks_total,stars_period,since,language_filter,scraped_at,license,first_commit_date
1,magnitudedev/magnitude,https://github.com/magnitudedev/magnitude,Open source inference server that runs the best local models for your hardware,TypeScript,4117,293,2430,weekly,,2026-09-08T07:55:04+00:00,Apache License 2.0,
2,tt-a1i/archify,https://github.com/tt-a1i/archify,"Agent skill for beautiful, verifiable architecture, workflow, sequence, data-flow, and lifecycle diagrams",JavaScript,53685,3524,14946,weekly,,2026-09-08T07:55:04+00:00,MIT license,
3,Gitlawb/openclaude,https://github.com/Gitlawb/openclaude,runs anywhere. uses anything,TypeScript,32979,9068,2040,weekly,,2026-09-08T07:55:04+00:00,MIT,
4,THU-MAIC/OpenMAIC,https://github.com/THU-MAIC/OpenMAIC,"Open Multi-Agent Interactive Classroom — Get an immersive, multi-agent learning experience",TypeScript,33291,5398,6934,weekly,,2026-09-08T07:55:04+00:00,MIT License,
5,google-research/timesfm,https://github.com/google-research/timesfm,TimesFM is a pretrained time-series foundation model for time-series forecasting,Python,31896,3049,3506,weekly,,2026-09-08T07:55:04+00:00,Apache License 2.0,
6,jingyaogong/minimind,https://github.com/jingyaogong/minimind,Train a 64M-parameter LLM from scratch in just 2h,Python,59680,7731,3633,weekly,,2026-09-08T07:55:04+00:00,Apache License 2.0,
7,pollen-robotics/microduck_rl,https://github.com/pollen-robotics/microduck_rl,RL training environments for Microduck,Python,1923,385,828,weekly,,2026-09-08T07:55:04+00:00,Apache License 2.0,
8,debpalash/VoiceStudio,https://github.com/debpalash/VoiceStudio,"Open-source ElevenLabs alternative — voice cloning, design, dubbing, dictation, transcription",Python,20929,2608,7916,weekly,,2026-09-08T07:55:04+00:00,AGPL-3.0,
9,fmtlib/fmt,https://github.com/fmtlib/fmt,A modern formatting library,C++,25661,3046,1909,weekly,,2026-09-08T07:55:04+00:00,MIT License,
10,affaan-m/ECC,https://github.com/affaan-m/ECC,"Agent harness performance optimization system with skills, instincts, memory, security",JavaScript,253300,37987,7735,weekly,,2026-09-08T07:55:04+00:00,MIT License,
11,DietrichGebert/ponytail,https://github.com/DietrichGebert/ponytail,Makes your AI agent think like the laziest senior dev in the room,JavaScript,131402,7036,12834,weekly,,2026-09-08T07:55:04+00:00,MIT,
12,handsomestWei/patent-disclosure-skill,https://github.com/handsomestWei/patent-disclosure-skill,Chinese patent skill: patent point mining and technical disclosure writing,Python,8642,905,2227,weekly,,2026-09-08T07:55:04+00:00,MIT License,
13,zubair-trabzada/geo-seo-claude,https://github.com/zubair-trabzada/geo-seo-claude,GEO-first SEO skill for Claude Code with comprehensive AI search optimization,Python,10449,1583,428,weekly,,2026-09-08T07:55:04+00:00,MIT License,
14,advaitpaliwal/feynman,https://github.com/advaitpaliwal/feynman,The open source AI research agent,TypeScript,9126,1046,292,weekly,,2026-09-08T07:55:04+00:00,MIT License,
15,Imbad0202/academic-research-skills,https://github.com/Imbad0202/academic-research-skills,Academic Research Skills for Claude Code: research → write → review → revise → finalize,Python,46900,3668,2406,weekly,,2026-09-08T07:55:04+00:00,CC BY-NC 4.0,
16,colinhacks/zod,https://github.com/colinhacks/zod,TypeScript-first schema validation with static type inference,TypeScript,43900,2181,175,weekly,,2026-09-08T07:55:04+00:00,MIT License,
17,roboflow/rf-detr,https://github.com/roboflow/rf-detr,"RF-DETR real-time object detection and segmentation model, SOTA on COCO",Python,9393,1186,235,weekly,,2026-09-08T07:55:04+00:00,Apache License 2.0,
18,every-app/open-seo,https://github.com/every-app/open-seo,Open source alternative to Semrush and Ahrefs,TypeScript,17777,2248,2137,weekly,,2026-09-08T07:55:04+00:00,MIT License,
19,tailscale/tailcat,https://github.com/tailscale/tailcat,"Like netcat, but over Tailscale's data plane, without Tailscale's control plane",Go,6750,265,2091,weekly,,2026-09-08T07:55:04+00:00,BSD-3-Clause License,
