rank,repository,url,description,language,stars_total,forks_total,stars_period,since,language_filter,scraped_at,license,first_commit_date
1,tt-a1i/archify,https://github.com/tt-a1i/archify,"Agent skill for beautiful, verifiable architecture, workflow, sequence, data-flow, and lifecycle diagrams—self-contained HTML with motion and crisp export",JavaScript,39773,2528,22095,weekly,,2026-09-01T06:20:09+00:00,MIT,
2,freestylefly/awesome-gpt-image-2,https://github.com/freestylefly/awesome-gpt-image-2,"Prompt as Code | GPT-Image2 industrial-grade prompt engine and template library, 530+ reverse-engineered cases, 20+ production templates",JavaScript,26568,2591,11711,weekly,,2026-09-01T06:20:09+00:00,MIT License,
3,anthropics/claude-plugins-community,https://github.com/anthropics/claude-plugins-community,Community plugin marketplace for Claude Cowork and Claude Code,Python,3076,245,1846,weekly,,2026-09-01T06:20:09+00:00,Apache License 2.0,
4,omacom/omarchy,https://github.com/omacom/omarchy,"Beautiful, Modern & Opinionated Linux",Shell,36378,3771,6382,weekly,,2026-09-01T06:20:09+00:00,MIT License,
5,THU-MAIC/OpenMAIC,https://github.com/THU-MAIC/OpenMAIC,"Open Multi-Agent Interactive Classroom — Get an immersive, multi-agent learning experience in just one click",TypeScript,27934,4837,5014,weekly,,2026-09-01T06:20:09+00:00,MIT License,
6,MadsLorentzen/ai-job-search,https://github.com/MadsLorentzen/ai-job-search,The job search that runs on your machine. AI job application framework built on Claude Code,Python,39277,13301,5463,weekly,,2026-09-01T06:20:09+00:00,MIT License,
7,apache/maka,https://github.com/apache/maka,Apache Maka (Incubating) is a local-first AI agent workspace,TypeScript,4363,406,1697,weekly,,2026-09-01T06:20:09+00:00,Apache License 2.0,
8,K-Dense-AI/scientific-agent-skills,https://github.com/K-Dense-AI/scientific-agent-skills,Turn any AI agent into an AI Scientist. The #1 Agent Skills library for science,Python,40983,3786,6248,weekly,,2026-09-01T06:20:09+00:00,MIT License,
9,tashfeenahmed/freellmapi,https://github.com/tashfeenahmed/freellmapi,7.4 billion tokens per month. 34 free LLM providers. 635 free model endpoints,TypeScript,23401,3216,3640,weekly,,2026-09-01T06:20:09+00:00,MIT License,
10,anthropics/claude-plugins-official,https://github.com/anthropics/claude-plugins-official,"Official, Anthropic-managed directory of high quality Claude Code Plugins",Python,35761,3992,2024,weekly,,2026-09-01T06:20:09+00:00,Apache License 2.0,
11,rohitg00/ai-engineering-from-scratch,https://github.com/rohitg00/ai-engineering-from-scratch,Learn it. Build it. Ship it for others,Python,51661,8940,3735,weekly,,2026-09-01T06:20:09+00:00,MIT License,
12,asciimoo/hister,https://github.com/asciimoo/hister,Your own search engine,Go,3478,156,936,weekly,,2026-09-01T06:20:09+00:00,AGPL-3.0,
13,cursor/plugins,https://github.com/cursor/plugins,Cursor plugin specification and official plugins,TypeScript,6407,522,1479,weekly,,2026-09-01T06:20:09+00:00,MIT License,
14,ConardLi/garden-skills,https://github.com/ConardLi/garden-skills,"ConardLi's open-source Skills collection, featuring web design, knowledge retrieval, image generation",CSS,11940,1465,1370,weekly,,2026-09-01T06:20:09+00:00,MIT License,
15,google/googletest,https://github.com/google/googletest,GoogleTest - Google Testing and Mocking Framework,C++,39418,10885,471,weekly,,2026-09-01T06:20:09+00:00,BSD 3-Clause License,
16,abi/screenshot-to-code,https://github.com/abi/screenshot-to-code,Drop in a screenshot and convert it to clean code (HTML/Tailwind/React/Vue),Python,76762,9345,2264,weekly,,2026-09-01T06:20:09+00:00,MIT License,
17,every-app/open-seo,https://github.com/every-app/open-seo,Open source alternative to Semrush and Ahrefs,TypeScript,15870,1911,2308,weekly,,2026-09-01T06:20:09+00:00,MIT License,
18,tinyhumansai/openhuman,https://github.com/tinyhumansai/openhuman,Your Personal AI super intelligence. A brain that builds a local-first memory of your life,Rust,39244,3856,2227,weekly,,2026-09-01T06:20:09+00:00,GNU General Public License v3.0,
19,p-e-w/heretic,https://github.com/p-e-w/heretic,Fully automatic censorship removal for language models,Python,29767,3257,1439,weekly,,2026-09-01T06:20:09+00:00,GNU Affero General Public License v3.0,
20,AprilNEA/OpenLogi,https://github.com/AprilNEA/OpenLogi,"A native, local-first alternative to Logitech Options+",Rust,18223,539,2565,weekly,,2026-09-01T06:20:09+00:00,"Apache License 2.0, MIT License",
