リポジトリ名,主要言語,概要,GitHubURL,Star増分,注目ポイント/要約,活用アイデア/関連性/所感,ライセンス,first commit日
ayghri/i-have-adhd,Python,コーディングエージェント(Claude Code や Cursor など)の出力から前置きや余計な説明を削ぎ落とし、結論と次の一手を即座に示すためのスキル/プラグイン。回答が冗長になり肝心の答えが埋もれてしまう問題の解決を目的としている。,https://github.com/ayghri/i-have-adhd,16740,"・「まず結論、次に行動」を強制する10個のルール(前置き禁止、箇条書きは最大5項目、次のアクションを明示 等)を定義
・SKILL.mdを編集するだけで挙動をカスタマイズでき、Claude CodeやCursorなど複数のエージェントにインストール可能
・AIの回答スタイルという普遍的な不満を突いたユーモラスなネーミングとシンプルな実装がバイラルの要因",既存のコーディングエージェントに軽量に追加できるスキルなので、日々の開発ワークフローに組み込んで「読む時間」を短縮する用途に向く。ペアプロや素早い意思決定が求められる現場、ADHD傾向のある開発者にとって特に実用性が高いと考えられる。,MIT License,
bilawalsidhu/gods-eye-view,JavaScript,CesiumJSとGoogleのフォトリアリスティックな3DタイルをベースにWebブラウザ上で動作する、リアルタイム地理空間インテリジェンスのシミュレーター。実際の航空機・船舶・衛星・地震・交通・監視カメラなどのライブデータを、まるでスパイ衛星のようなビューで可視化する。,https://github.com/bilawalsidhu/gods-eye-view,12931,"・OpenSky/adsb.lol、AISStream、CelesTrak(SGP4軌道計算)、USGS、TomTomなど複数のリアルタイムAPIを統合し、1万機超の航空機や船舶・衛星を同時追尾
・コックピットモード、暗視/熱源(FLIR)/CRT風などのセンサー表示、約3,400台の公開カメラ映像を3D都市景観に投影する演出性の高さ
・OpenAIを使った音声操作(28種の操作ツール)やシーンディレクター機能など、エンタメ性と実データの融合がSNSでの話題化に寄与",オープンソース地理空間インテリジェンス(OSINT)のデモや教育コンテンツ、可視化技術のショーケースとして活用できる。Cesiumベースのため既存のGIS・デジタルツイン系プロジェクトとも親和性が高く、実データ連携の設計パターンとして参考になる。,,
affaan-m/ECC,JavaScript,Claude CodeやCodex、CursorなどのAIコーディングエージェント向けに、「計画→テスト→実装→レビュー→検証→記憶→改善」という開発ワークフローを再利用可能な形で一括導入するハーネス最適化システム。,https://github.com/affaan-m/ECC,7264,"・68種の専門エージェント、292のスキル、94のコマンドを備え、必要な時だけ読み込むことでコンテキストウィンドウの肥大化を防ぐ設計
・セッションをまたいで記憶を保持する「Memory Vault」や、エージェント設定自体を攻撃対象として監視するAgentShieldなどセキュリティ面の作り込み
・複数のエージェントハーネス(Claude Code, Codex, OpenCode等)を横断して同じワークフローを適用できる汎用性",個人・チームでAIエージェントを本格的な開発フローに組み込みたい場合の土台として使える。自作でスキル・フック・エージェント設計をゼロから組むより、実運用で磨かれたテンプレート集として導入コストを下げられる点が魅力。,MIT License,
openai/plugins,JavaScript,OpenAIのCodex向けプラグインのサンプル集で、Figma・Notion・iOS/macOS/Webアプリビルダー・Expo・Netlify・Remotion・Google Slidesなど実用的な連携プラグインをテンプレートとして提供するリポジトリ。,https://github.com/openai/plugins,1181,"・各プラグインはplugins/<name>/配下に.codex-plugin/plugin.jsonというマニフェストを持ち、スキル・エージェント・コマンド・フック等を組み合わせられる標準構造を規定
・デフォルト/APIキー方式の2種類のマーケットプレイス設定を用意し、Codexへのプラグイン配布・発見の仕組みを整備
・OpenAI公式によるCodexエコシステム強化の動きとして注目度が高い",Codex向けに自作プラグインを作る際のリファレンス実装として活用できる。デザインツールやノーコード系サービスとの連携例が豊富なので、既存SaaSと連携するエージェントワークフローの構築に応用しやすい。,,
DietrichGebert/ponytail,JavaScript,AIコーディングエージェントに「最小限のコードしか書かない」というミニマリズム哲学を徹底させるプラグイン。「一番良いコードは書かれなかったコード」という思想のもと、実装前に既存資産の再利用を優先させる。,https://github.com/DietrichGebert/ponytail,8444,"・「本当に必要か→既存コードで代用できないか→標準ライブラリで足りないか→…」という7段階の判断ラダーを実装前に踏ませる仕組み
・/ponytail(強度切替)、/ponytail-review、/ponytail-audit、/ponytail-debtなど診断・監査用コマンドを提供し、20以上のエージェントプラットフォームに対応
・ベンチマークでコード量を平均54%削減、コストを20%削減、速度を27%向上と定量的な効果を提示している点が説得力を持ち話題化",AIエージェントによる過剰な実装(コード肥大化・車輪の再発明)を抑えたいチームに有効。ECCやcontext-modeのようなハーネス最適化系ツールと組み合わせることで、コンテキスト効率とコード品質の両面を改善できそうだ。,MIT License,
mksglu/context-mode,TypeScript,AIコーディングエージェント(Claude Code、Cursor、Codex CLIなど17プラットフォーム)のコンテキストウィンドウを最適化するMCPサーバー。ツール出力をサブプロセスでサンドボックス実行して要約のみをコンテキストに返すことでトークン消費を大幅に削減しつつ、SQLiteでセッションの記憶を永続化する。,https://github.com/mksglu/context-mode,2102,"・「コンテキストサンドボックス」により315KBの出力を5.4KBまで圧縮するなど、98%削減という実測値を伴う大幅なトークン削減を実現
・ファイル編集やgit操作、タスク、意思決定をSQLite+FTS5で記録し、コンパクション後もBM25検索でセッションを自動復元
・PreToolUse/PostToolUse/PreCompact等のフックを使い17種のエージェントプラットフォームを横断して同じ仕組みを適用できる汎用設計",大量のログやAPIレスポンスを扱うエージェントワークフローでコンテキスト圧迫に悩んでいる開発者に直接刺さるツール。ECCのようなハーネス最適化系プロジェクトと目的が重なるため、比較検討や組み合わせて使う余地がある。,,
heygen-com/hyperframes,TypeScript,HTML/CSSやアニメーションをそのままMP4動画に変換できる、AIエージェント向けの動画レンダリングフレームワーク。「HTMLを書けば動画になる」というコンセプトで、ビルド不要かつ決定論的な出力を実現する。,https://github.com/heygen-com/hyperframes,5146,"・ヘッドレスChromeでフレームをキャプチャしFFmpegでエンコードするパイプラインにより、同一入力から常に同一出力を得られる決定論的レンダリング(CI・回帰テストと相性が良い)
・GSAP、CSSアニメーション、Lottie、Three.js、Anime.js、Web Animations APIなど主要なアニメーション手法を横断的にサポート
・ローカルCLI、Docker、AWS Lambda、クラウドレンダリングなど複数の実行環境に対応し、動画生成AIサービスHeyGenが公開している点も注目度を後押し",字幕動画、データ可視化のアニメーション書き出し、SNS向け自動生成動画など、テンプレートHTMLをエージェントに量産させる用途に向く。動画生成AIプロダクトを持つHeyGenが自社ノウハウをOSS化した形であり、動画生成パイプラインを内製したいチームの参考実装になり得る。,Apache License 2.0,
tt-a1i/archify,JavaScript,自然言語のシステム説明やコードベースから、アーキテクチャ図・ワークフロー図・シーケンス図などを検証可能な形で生成するエージェント向けスキル/ツール。生成結果は自己完結したHTMLファイルとして出力される。,https://github.com/tt-a1i/archify,10132,"・アーキテクチャ、ワークフロー、シーケンス、データフロー、ライフサイクルの5種類の図に対応し、ノード検索や上流/下流トレースなどインタラクティブな探索機能を搭載
・エージェントが型付きJSON中間表現を生成→バリデータとレイアウトルールで検証→OKなら描画、という決定論的なパイプラインで品質を担保
・Before/Afterのスナップショットを比較する「Architecture Delta」により、変更差分を視覚的に検証できる点がユニーク",Mermaidなど従来のテキストベース図式ツールの代替として、より見た目と検証性を重視したい場面に向く。エージェントが自動生成したアーキテクチャ図をドキュメントやPRレビューに添付するワークフローに組み込みやすい。,MIT License,
openai/skills,Python,OpenAIのCodexエージェント向けに、タスクをこなすための指示書・スクリプト・リソースをまとめた「スキル」を集約したカタログリポジトリ。.system/.curated/.experimentalの3階層でスキルを分類している。,https://github.com/openai/skills,1622,"・スキルインストーラー($skill-installer)により名前指定やGitHubディレクトリURL指定でスキルを追加できる、パッケージ管理に近い体験を提供
・自動インストールされる.systemスキル、手動インストールの.curated、実験的な.experimentalという3段階のガバナンスモデル
・READMEで既に非推奨(deprecated)とされ、後継のopenai/pluginsへ移行するよう案内されている点が特徴的",Codexのスキル設計・命名規則・ディレクトリ構成を学ぶ参考資料として有用だが、現在は非推奨のため新規プロジェクトでは後継のopenai/pluginsを参照する方が実践的。旧来のスキル資産を移行する際のリファレンスとして位置づけられる。,,
microsoft/markitdown,Python,PDF、Word、Excel、PowerPointなどのオフィス文書や画像、音声、HTML、ZIPなど多様なファイル形式をMarkdownに変換するPython製ツール。LLMやテキスト解析パイプラインへの入力を主目的としており、見た目の再現よりも見出しや表、リンクといった文書構造の保持を重視している。,https://github.com/microsoft/markitdown,5191,"・Azure Document IntelligenceやLLM Vision(OpenAI互換API)と連携し、画像の説明生成やOCR、音声の文字起こしにも対応
・プラグイン機構により第三者が変換フォーマットを拡張できる設計
・Microsoft製という信頼性とCLI/Python API/Dockerなど多様な利用形態がトレンド入りの要因",RAGパイプラインの前処理やドキュメント検索基盤の構築に直接活用できそう。社内文書やレポートを一括でMarkdown化してLLMに読み込ませる用途との親和性が高く、既存の文書変換ツールに比べLLM利用を前提とした設計が実用的。,MIT License,
obra/superpowers,Shell,コーディングエージェント向けの開発手法とスキル集を提供するフレームワーク。ブレインストーミングからgit worktreeでの作業分離、計画立案、TDDによる実装、コードレビューまでの一連のワークフローを「スキル」として体系化している。,https://github.com/obra/superpowers,4068,"・RED-GREEN-REFACTORのTDDサイクルや4段階のデバッグ手法など、実践的な開発規律を再利用可能なスキルとしてモジュール化
・サブエージェントに作業を委譲し、仕様準拠とコード品質の二段階レビューを行うアーキテクチャ
・Claude Code、Cursor、Devin、Geminiなど複数のエージェント基盤に対応した汎用性",複数のAIエージェントを並行稼働させる開発チームの標準ワークフローとして導入しやすい。個人開発でも「計画→実装→レビュー」のプロセスを型化することで、AIエージェントの暴走や手戻りを抑える効果が期待できる。,MIT License,
blader/humanizer,Python,AI生成文章に特有の「AIっぽさ」を検出し、意味を保ったまま自然な人間らしい文章へ書き直すエージェントスキル。25種類のAI文章パターン(型にはまったリズムや誇張表現など)を検出し、修正案を作成・自己批評した上で最終版を出力する。,https://github.com/blader/humanizer,3673,"・5カテゴリ・25パターンという具体的なチェックリストに基づく添削ロジック
・ユーザーの文体サンプルを与えることで声質(ボイス)を模倣する機能を搭載
・npx skills add で導入できる手軽さと、Claude Code/Desktopなど複数エージェントへの対応",ブログやマーケティング文章、社内ドキュメントなどAI生成コンテンツの自然な仕上げに使える。事実を捏造せず情報不足時はユーザーに質問する設計のため、既存の校正ツールよりも安全にAI臭さの除去に特化して使える点が特徴。,MIT License,
max-sixty/worktrunk,Rust,Gitのworktree機能を使いやすくするCLIツール。ブランチ名を軸にworktreeのパス管理やセットアップ/後片付けフックを自動化し、複数の作業ツリーを並行して扱う開発を支援する。,https://github.com/max-sixty/worktrunk,588,"・switch/list/merge/removeなどブランチ名ベースの直感的なコマンド体系でworktreeの煩雑なパス操作を解消
・差分からAIがコミットメッセージを自動生成する機能や、worktreeごとの開発サーバーポート割り当てなど複数エージェント並行開発を意識した設計
・APFSやbtrfsなどのファイルシステムを活かした共有ビルドキャッシュ対応",複数のAIコーディングエージェントを同時に走らせる開発フローとの親和性が高く、Superpowersのようなエージェント向け開発手法と組み合わせて使うと効果的。個人・チーム問わずgit worktreeの活用ハードルを下げるツールとして実用性が高い。,MIT OR Apache-2.0,
THU-MAIC/OpenMAIC,TypeScript,任意のトピックや資料をインタラクティブな「教室」体験に変換するオープンソースのマルチエージェント学習プラットフォーム。AIの教師役やクラスメート役がスライド・クイズ・シミュレーション・プロジェクト学習を通じて授業を進行する。,https://github.com/THU-MAIC/OpenMAIC,4202,"・LangGraphによるマルチエージェントオーケストレーションと、アウトライン生成からシーン生成までの2段階パイプライン
・ホワイトボード描画や音声合成によるAI同士の掛け合いなど28種類以上のアクションでリッチな授業演出を実現
・PowerPoint/HTML/ZIP形式でのエクスポートに対応し、Next.js/React/TypeScriptベースで構築",教育機関やeラーニング事業者が独自教材を自動生成するツールとして活用できそう。清華大学発のプロジェクトであり、AIチューターや自動教材生成が注目される中、実際に動くマルチエージェント教室のデモとして参考価値が高い。,MIT License,
cathrynlavery/diagram-design,HTML,Claude CodeやCodexなどのAIコーディングエージェント向けに、38(公式上は39)種類の「エディトリアル」な図解テンプレートを提供するスキル集。各図はビルド不要の自己完結型HTML+SVGファイルとして出力される。,https://github.com/cathrynlavery/diagram-design,7129,"・ウェブサイトから配色・フォントを自動抽出し、ブランドに合わせて図をカスタマイズする機能
・draw.io、Mermaid、Excalidrawで作成済みの図をインポートして高品質に再デザインできる
・アーキテクチャ図、シーケンス図、Sankey図、Wardleyマップなど幅広い種類をカバーし、prefers-reduced-motion対応などアクセシビリティにも配慮",技術ドキュメントやスライド資料の図版作成をAIエージェントに任せたい場合に有用で、デザインツールを使わずブランド統一感のある図を量産できる。ドキュメント自動生成やREADME整備の一環として、既存のMermaid運用を置き換える選択肢になりそう。,MIT License,
ChromeDevTools/chrome-devtools-mcp,TypeScript,GoogleのChrome DevToolsチームが開発する、コーディングエージェントに実際のChromeブラウザの操作・検証能力を与えるMCPサーバー。Puppeteerをベースにパフォーマンス計測やネットワーク解析、スクリーンショット取得などを可能にする。,https://github.com/ChromeDevTools/chrome-devtools-mcp,736,"・Chrome DevTools本体の機能をMCP経由でエージェントに公開し、待機処理を内蔵したPuppeteer自動操作を実現
・パフォーマンストレースやソースマップ付きスタックトレース付きコンソールログなど実践的なデバッグ機能を搭載
・Google公式(Chrome DevToolsチーム)によるMCPサーバーという信頼性の高さがトレンド入りの一因",Claude Code等のエージェントにフロントエンド実装の動作確認やパフォーマンス改善を任せる際の必須ツールになり得る。E2Eテストや自動デバッグワークフローに組み込むことで、コード生成と検証を一つのループに統合できる。,Apache-2.0 License,
Tencent/WeKnora,Go,Tencentが公開する企業向けドキュメントインテリジェンス基盤で、社内文書を問い合わせ可能なRAG、自律的に動く推論エージェント、自己更新型Wikiへと変換するフレームワーク。,https://github.com/Tencent/WeKnora,1302,"・ReACT方式の自律エージェントが検索・ツール呼び出し・Web検索を組み合わせて動作し、Docker/E2B/Cubeなどのサンドボックスでスキル実行が可能
・pgvector、Elasticsearch、Milvus、Weaviateなど複数のベクトルDBと20以上のLLMプロバイダに対応するモジュール構成
・Feishu、GitLab、Notion、Yuqueなど多様なソースからの自動同期やWeCom/Slack/Telegram等IMとの連携",大企業の社内ナレッジベース構築やカスタマーサポートRAGの基盤として即戦力になりそう。マルチテナントRBACや監査ログなどエンタープライズ要件を最初から備えている点が、既存のOSS RAGフレームワークとの差別化ポイント。,MIT License,
coreyhaines31/marketingskills,JavaScript,Claude CodeなどのAIエージェント向けに、CRO(コンバージョン最適化)、コピーライティング、SEO、アナリティクス、グロースエンジニアリングなど70以上のマーケティング業務をスキルとして提供するリポジトリ。,https://github.com/coreyhaines31/marketingskills,2678,"・「product-marketing」スキルを基盤に、獲得・コンテンツ制作・SEO・広告・計測・RevOpsなど各領域のスキルが相互に連携する設計
・CLIツールやClaude Codeプラグイン、gitサブモジュールなど複数のインストール方法に対応し、Claude以外のエージェントもサポート
・マーケティング実務を体系立ててAIに委任できる実践的なスキル集としてコミュニティで注目",スタートアップやマーケティングチームがLPの改善やSEO監査、広告コピー作成をAIエージェントに任せる際の即戦力パッケージとして使えそう。SuperpowersやHumanizerのような開発・文章系スキルと組み合わせ、マーケティング業務全体をエージェント化する構成が考えられる。,MIT License,
earthtojake/text-to-cad,Python,自然言語や画像からCAD(コンピュータ支援設計)モデルを生成するためのAIエージェント向けスキル集。STEP、STL、3MF、GLBなど業界標準フォーマットへのエクスポートに対応し、ロボット記述ファイル(URDF/SRDF)やシミュレータ用ファイル(SDF)、3Dプリント用G-codeの生成もサポートする。,https://github.com/earthtojake/text-to-cad,1054,"・テキストや画像から3D CADモデルを直接生成できる点が新規性の高いアプローチ
・URDF/SRDF、SDF、G-codeなどロボティクスや製造分野まで幅広くカバーするスキル群として設計
・Skills CLI経由でClaude Code、Codex、Grok Buildなど複数のAIエージェントに導入可能な汎用構成",プロトタイピングや3Dプリント、ロボット設計の初期段階で、自然言語による設計指示をAIエージェントに任せる用途に向いている。既存のCAD/CAMツールチェーンと組み合わせることで、設計から製造準備までの一連の作業をAIエージェントが半自動化できる可能性がある。,MIT License,
petergyang/no-ai-slop,Python,"AI生成文章に特有の「AIっぽさ(AI slop)」を検出し、書き手本来の声を保ちながら修正するためのツール。「It's not X, it's Y」のような二項対立表現や、もったいぶった前置き、感嘆的な断片表現など20種類以上のパターンを検出する。ChatGPT、Claude Code、その他のコーディングエージェントのプラグインとして利用できる。",https://github.com/petergyang/no-ai-slop,1668,"・編集・検出・(皮肉的な)AI文章生成という3つのモードを持つユニークな構成
・受動態や抽象的な言い回しなど、文章の質そのものにも踏み込んでチェックする
・SKILL.md / eval.md / plugin.jsonという構成でChatGPTとCodex双方のプラグイン形式に対応",ブログ記事やドキュメント、マーケティングコピーなど、AIで下書きした文章を人間らしく仕上げる最終工程での活用が想定される。プロンプト工夫というより「AIの書き癖を消す」逆方向のアプローチが新しく、他のライティング支援ツールと組み合わせて使うのも良さそうだ。,MIT License,
