リポジトリ名,主要言語,概要,GitHubURL,Star増分,注目ポイント/要約,活用アイデア/関連性/所感,ライセンス,first commit日
cathrynlavery/diagram-design,HTML,Claude Code(やCodex等のAIコーディングエージェント)向けの「スキル」として提供される、編集者品質のダイアグラム生成ツール。アーキテクチャ図・フローチャート・ガントチャート・ツリーマップなど27種類超のダイアグラムを、外部依存なしの自己完結型HTML+SVGとして出力する。,https://github.com/cathrynlavery/diagram-design,16260,"・Mermaidの自動レイアウトが生む「AIっぽい」雑然としたビジュアルを避け、手作りの視覚テンプレートで洗練された見た目を実現
・サイトの配色・タイポグラフィを解析してブランドに自動で合わせるオンボーディング機能を搭載
・draw.ioやMermaidの既存図をこのデザインシステムで再描画できる点も含め、AIエージェントのネイティブなワークフローに組み込みやすい設計",技術ドキュメントやピッチ資料の図版作成をClaude Codeに任せる際、見栄えを気にせず高品質な図を得られるため、社内ドキュメントやREADMEの図版整備に向く。既存のMermaid運用をこのスキルに置き換えることで、レビューのたびに手直ししていたデザイン工数を削減できそうな点が魅力。,MIT License,
semantica-agi/semantica,Python,Semanticaは、企業データを構造化されたクエリ可能なナレッジグラフに変換し、AIエージェントやLLMの判断根拠を追跡可能にするグラフネイティブなインフラストラクチャ。取り込み→抽出→矛盾検出→重複排除→ナレッジグラフ構築→推論・来歴管理までのパイプラインを一気通貫で提供する。,https://github.com/semantica-agi/semantica,4746,"・あらゆるAIの意思決定を因果関係付きで追跡可能なノードとして記録する「Decision Intelligence」と、W3C PROV-O準拠の来歴(provenance)管理
・Databricks(Unity Catalog/Delta Lake)やSnowflakeとのネイティブ連携、RDF/ラベル付きプロパティグラフ/ベクトルストアを組み合わせたポリグロット構成
・金融・医療・法務など規制産業で求められる説明可能なAIへのニーズを背景に、8.7k star超と急速に支持を集めている",RAGパイプラインの前段でエンティティ・関係を構造化して保持したい場合や、AIの意思決定過程を監査対応で記録したい規制業界のシステムに適用できそう。ベクトル検索だけでは説明責任を果たせない用途(コンプライアンス報告、因果分析)において、既存のRAG基盤を補完するレイヤーとして検討する価値がある。,MIT License,
cactus-compute/needle,Python,Needle 2は、ツール呼び出し・デバイス制御・構造化データ抽出に特化した4500万パラメータの基盤モデルで、モデル全体を14MBの単一バイナリに圧縮し、実行時わずか28MBのRAMで完全オフライン動作する。スマートフォン・ウェアラブル・スマートホーム・ロボットなど、リソースが限られたエッジデバイス向けに設計されている。,https://github.com/cactus-compute/needle,3627,"・2bit量子化により、5〜70倍大きいモデル(FunctionGemmaやApple FMなど)と同等のベンチマーク性能を実現
・ツールスキーマから文法制約をコンパイルし、常に有効なJSONでツール呼び出し結果を返す構造化出力
・256トークンのスライディングウィンドウとツールをメモリシンクとして固定する設計により、会話が長くなってもメモリ使用量が一定に保たれる",スマートスピーカーやウェアラブル端末上で、クラウド接続なしにローカルで音声コマンドを構造化タスクに変換する組み込みAIエージェントの基盤として活用できそう。クラウドLLM APIのレイテンシ・コスト・プライバシー懸念を回避したいIoT/ロボティクス製品の意思決定層に向く。,Apache License 2.0,
megadose/holehe,Python,Holeheは、あるメールアドレスがTwitterやInstagramなど120以上のWebサイトで登録済みかどうかを、各サイトの「パスワードを忘れた場合」機能の応答を解析することで調査するOSINTツール。対象のメールアドレスに通知を送ることなく、登録状況やアカウント情報を収集できる。,https://github.com/megadose/holehe,1416,"・ログインを試みるのではなくパスワードリセット機能の応答差分を利用するため、対象者に気づかれずに調査できる非侵襲的な設計
・PyPI・GitHub・Dockerなど複数のインストール手段とPythonライブラリとしての組み込みに対応し、CLIツールとしても使える手軽さ
・120以上のサービスを網羅する実用性の高さから、セキュリティ調査・OSINT分野の定番ツールとして継続的に注目を集めている",侵入テストやデジタル調査でターゲットのメールアドレスがどのサービスに登録されているかを把握する初期偵察フェーズに活用できる。教育目的と明記されている通り、自組織のメールアドレスの漏洩・使い回し状況を棚卸しする社内セキュリティ監査にも応用できそう。,GNU General Public License v3.0,
PrimeIntellect-ai/prime-agent,TypeScript,Prime Agentは、永続的なPython環境(REPL)を軸に据えた自己改善型のRLM(Recursive Language Model)エージェントで、コーディングや長時間の自律タスクを想定して設計されている。プロンプトを変数として扱い、ツールをプログラム可能な関数呼び出しとして扱う点が特徴。,https://github.com/PrimeIntellect-ai/prime-agent,4328,"・セッションを跨いで保持される「Continual Harness」により、`/refine`コマンドで根拠に基づいた小さな改善をエージェント自身の状態に反映できる自己改善の仕組み
・サブエージェントを生成して並列・バックグラウンドで作業させるアーキテクチャと、ターミナル切断後もセッションを継続できる永続性
・ターン数・トークン数・時間の予算と品質ゲートを設定した自律モードなど、長時間タスクを安全に回すための制御機構",大規模リファクタリングや継続的なコードベース改善など、人が張り付いていられない長時間タスクの自動化に向く。研究評価やベンチマーク実行のような反復的なワークフローを、実行のたびにエージェント自身のノウハウを蓄積させながら回せる点が、既存のワンショット型コーディングエージェントとの差別化ポイントになりそう。,MIT License,
macro-inc/macro,Rust,Macroは、メール・チャット・ドキュメント・タスク管理・AIエージェント・通話・CRMを一つに統合したチーム向けワークスペースで、これらすべてが双方向グラフでつながり、チーム全体の記憶をAIエージェントが共有できる設計になっている。フロントエンドはSolidJS(Web/Tauriデスクトップ/モバイル)、バックエンドは42個のRustマイクロサービスと167個のRustライブラリで構成される。,https://github.com/macro-inc/macro,2724,"・メール・チャット・通話・タスクを横断してAIエージェントがチーム単位の記憶を合成し、CRMの顧客情報にも自動で紐づける統合設計
・CRDTベースのリアルタイム共同編集ドキュメントなど、Rustによる高性能なマイクロサービス基盤
・「オープンコアではない」ことを明言したAGPLv3での全面オープンソース化という、SaaS型統合ワークスペース市場では珍しいライセンス方針",Slack・Notion・Salesforceなどを個別契約している中小チームが、ツール分断によるコンテキストの散逸を解消するための統合基盤として検討できる。特にAIエージェントに全社的な文脈を持たせたい場合、バラバラなSaaSをMCP等で繋ぐより、最初から一体設計されたMacroの方がデータ連携コストを抑えられそうな点が特徴。,GNU Affero General Public License v3.0,
vitali87/code-graph-rag,Python,code-graph-ragは、Tree-sitterで13以上の言語をパースしてMemgraph上にコード構造のナレッジグラフを構築し、自然言語での質問をCypherクエリに変換してコードベースを検索・編集できるRAGツール。マルチ言語混在のモノレポを一つの相互接続されたグラフとして扱える点が特徴。,https://github.com/vitali87/code-graph-rag,1135,"・テストや本番プロファイルから実際の実行パスを記録する「ランタイム呼び出しトレース」により、静的解析だけでは分からない実行時の依存関係も可視化
・ast-grepによるAST構造検索・置換や、エントリポイントからの呼び出しチェーンを辿るデッドコード検出などコード理解に特化した機能群
・Claude CodeなどのMCPクライアントと連携できるMCPサーバーを備え、既存のAIコーディングワークフローに直接組み込める",複数言語が混在する大規模モノレポで、ベクトル検索だけでは拾いきれない構造的な依存関係(呼び出し元・呼び出し先)を踏まえたコード理解・リファクタリング支援に使える。既存のembeddingベースのコードRAGと組み合わせることで、意味的な類似性検索と構造的な正確性の両方を担保したコード編集エージェントを構築できそうな点が魅力。,MIT License,
unslothai/unsloth,Python,ローカル環境でLLMや拡散モデルを実行・学習できるデスクトップUIアプリ。Qwen3.8やDeepSeek-V4、FLUXなど最新モデルに対応し、LoRA/QLoRAによるファインチューニングを高速かつ省VRAMで実行できる。,https://github.com/unslothai/unsloth,3329,"・CPU、Apple Silicon、NVIDIA、AMD、Intel GPUなど幅広いハードウェアに対応し、マルチGPU構成もサポート
・ファインチューニングが2倍高速・VRAM使用量70%削減という具体的な性能向上を謳う
・GGUF出力、OpenAI互換API提供、Cloudflareトンネル経由のリモートアクセスなど、学習から配信までをローカル完結で提供し、Claude CodeやCodexなどのAIエージェントとも連携できる点がトレンド入りの一因",クラウドAPIのコストやプライバシー懸念を避けたい開発者が、自前のGPUでLLMを微調整・運用する用途に向く。社内データでのファインチューニングや、エージェント開発時のローカル推論基盤として既存のAIエージェントツールチェーンと組み合わせて活用できそう。,Apache License 2.0(コア部分)/ AGPL-3.0(Unsloth Studio UI等の一部機能、デュアルライセンス),
3b1b/manim,Python,3Blue1Brownの数学解説動画制作で使われている、Pythonベースのアニメーションエンジン。数式やグラフを精密にプログラムで描画し、教育向けの説明動画を作成できる。,https://github.com/3b1b/manim,1724,"・FFmpeg・OpenGL・LaTeXと連携し、リアルタイムプレビューを見ながらアニメーションを構築できる
・YAML設定で出力パス、品質、スタイルを柔軟にカスタマイズ可能
・3Blue1Brown発という知名度に加え、2020年に派生したコミュニティ版(ManimCE)との住み分けも継続的に話題になりやすい",数学・物理・機械学習などの概念を視覚的に説明する教育コンテンツやYouTube動画制作に活用できる。研究発表用のスライドやアルゴリズム解説動画の自動生成にも応用できそう。,MIT License,
basecamp/omarchy,Shell,BasecampのDHH氏が開発した、Arch Linuxベースの美しく意見の効いた(opinionated)Linuxディストリビューション。厳選されたアプリケーションや設定、ワークフローが最初から統合されている。,https://github.com/basecamp/omarchy,1477,"・テーマシステムやホットキー、統一されたクリップボードなど、デスクトップ体験を細部までデザインした構成
・Neovim統合やAI関連ツールなど開発者向け設定がプリセットされている
・DHH氏という著名な開発者が手がけていることと、ドキュメントが充実している点がトレンド入りの要因",ゼロから環境構築する手間を省き、洗練されたUIと開発者向け設定がすぐ使える点で、新しい開発機や個人PCへの導入に向く。オープンソースの「意見の強い」ディストリビューションとして、同氏の他プロジェクトとの連携も期待できる。,MIT License,
