リポジトリ名,主要言語,概要,GitHubURL,Star増分,注目ポイント/要約,活用アイデア/関連性/所感,ライセンス,first commit日
koala73/worldmonitor,TypeScript,WorldMonitorは、世界中の500以上のニュースフィードをAIが要約・統合し、地政学・軍事・経済・災害などの動向を3Dグローブやマップ上に可視化するリアルタイム状況認識ダッシュボードである。31のTier1国家を対象とした「国家不安定性指数(CII)」やエネルギー・金融市場のレーダー機能も備え、Web/デスクトップ(Tauri)/CLI/MCPサーバーなど複数のインターフェースから利用できる。,https://github.com/koala73/worldmonitor,12173,"・65以上の外部データソースと500超のフィードを横断集約し、AIが15カテゴリのブリーフに要約
・globe.gl/deck.gl/MapLibre GLを組み合わせた3D地球儀とWebGL地図の二重可視化、56種のレイヤー
・MCPサーバーやREST API、Python/Ruby/Go SDKを提供しエージェント連携を前提とした設計",地政学リスクや紛争、災害の兆候を一目で把握したいアナリストや報道関係者に有用で、AIエージェント経由でリアルタイム情勢分析を自動化する基盤としても活用できる。オープンソース(AGPL)かつ商用ライセンスも用意されており、OSINTダッシュボードの構築事例として参考になる。,,
ayghri/i-have-adhd,Python,「i-have-adhd」はコーディングエージェント(Claude、Codex、Geminiなど)向けのスキルで、AIの回答が前置きや余談で本質的な答えを埋もれさせてしまう問題を解消し、結論と具体的なアクションを先頭に持ってくるよう出力形式を矯正する。SKILL.mdに定義された10のフォーマットルールをエージェントに適用する仕組みで、MITライセンスで公開されている。,https://github.com/ayghri/i-have-adhd,6156,"・「最初のアクションを提示」「リストは5項目まで」「前置き・まとめの排除」など具体的な出力ルールを明文化
・Claude/Codex/Cursorなど複数プラットフォーム向けのプラグイン形式(.claude-plugin等)を用意
・12.8kスター超と、AI出力の冗長さという普遍的な不満に刺さりバイラルに伸びた事例",長い前置きや余計な言い回しに苛立つ開発者が、エージェントの応答を「結論→手順」型に固定化するのに手軽に導入できる。ADHD当事者に限らず、効率重視でAIとやり取りしたい全ての人に刺さる、ちょっとした体験改善ツールとして注目に値する。,MIT,
bojieli/ai-agent-book,Python,李博杰氏による書籍『深入理解AI Agent:設計原理与工程実践』のオープンソース版リポジトリで、本文・コンパイル済みPDF/EPUBに加え、各章に対応する93件(うち70以上が実行可能)のコード例をまとめている。「Agent = LLM + Context + Tools」という定式を軸に、コンテキストエンジニアリングからMCP、評価手法、モデルの事後学習、マルチエージェント協調まで10章立てで解説する。,https://github.com/bojieli/ai-agent-book,10637,"・全文と付属コードが完全オープンソースで、9言語(日本語含む)への翻訳が進行中のコミュニティ主導プロジェクト
・RAG、MCPプロトコル、コーディングエージェント、強化学習によるポストトレーニングなど実務的トピックを網羅
・70以上の独立実行可能なサンプルプロジェクトで理論と実装を接続",AIエージェントを実務で設計・構築したいエンジニアや研究者にとって、体系だった日本語含む多言語の教材として有用。中国語圏発の技術書ながら翻訳とコード資産が充実しており、社内学習やAgent開発の設計指針として参照する価値がある。,Apache-2.0,
diegosouzapw/OmniRoute,TypeScript,OmniRouteは、290以上のAIプロバイダー(うち90以上が無料枠)と500以上のモデルを単一のOpenAI互換エンドポイントに統合する、MITライセンスのセルフホスト型AIゲートウェイである。Claude Code、Cursor、Codex、Clineなど33以上のコーディングツールと連携でき、npm/Docker/デスクトップ(Electron)/Android/PWAなど多様な環境で動作する。,https://github.com/diegosouzapw/OmniRoute,10028,"・クォータ・コスト・レイテンシ・成功率をリアルタイムスコアリングする「auto」モードなど19種のルーティング戦略
・RTKとCavemanを組み合わせた12エンジンのトークン圧縮スタックで15〜95%のトークン削減を実現
・サーキットブレーカーなど3層の自己修復機構とMCP/A2Aプロトコル対応でエージェント連携も想定",複数のLLM APIキーやレート制限を個別に管理する手間を減らし、無料枠を組み合わせてコストを抑えつつ複数のコーディングエージェントを併用したい開発者に有用。トークン圧縮による費用削減とプロバイダー障害時の自動フェイルオーバーは、個人開発から小規模チームの運用まで実用的な効果が見込める。,MIT,
oblien/openship,TypeScript,OpenshipはVercelやHerokuのようなPaaSを自前でホストできるようにする、CI/CD内蔵のセルフホスト型デプロイメントプラットフォームである。リポジトリを指定するだけでビルド・デプロイ・ルーティング・TLS終端までを自動化し、Node/Python/Go/Rust/PHP/Ruby/Java/.NET/Dockerなど幅広い技術スタックに対応する。,https://github.com/oblien/openship,3628,"・push-to-deploy、プレビュー環境、ステージング/本番フロー、ロールバックまでを標準搭載
・OpenRestyによるエッジルーティングとPostgres/Redisを用いたバックエンド、Let's Encryptによる自動SSLを組み込み
・デスクトップアプリ/Webダッシュボード/CLIの3系統のインターフェースとApache 2.0ライセンスでの提供",Coolifyなど既存の自己ホストPaaSと同様に、クラウドベンダーへの依存を避けつつ本番運用可能なデプロイ基盤を自社インフラ上に構築したいチームに向く。ゼロコンフィグでの検知とCI/CD一体型という完成度の高さが、個人開発者から中小チームまで導入障壁を下げている。,Apache-2.0,
mattpocock/skills,Shell,TypeScriptで著名な開発者Matt Pocock氏が自身の.agentsディレクトリから公開した、コーディングエージェント向けスキル集である。要件のすり合わせを行う`/grill-with-docs`、仕様化する`/to-spec`、テスト駆動で実装する`/implement`や`/tdd`、構造化デバッグの`/diagnosing-bugs`など、実務で磨かれたワークフローをスキルとして提供する。,https://github.com/mattpocock/skills,12794,"・「グリル」による要件のすり合わせ、CONTEXT.mdによる共通言語化で認識齟齬と冗長な説明を削減
・TDDのred-green-refactorループや二軸レビュー(規約準拠+仕様準拠)など、品質担保の仕組みを体系化
・`npx skills@latest add`でプロジェクトに直接コピーして編集可能、marketplace経由の読み取り専用導入も選択可",実務経験に基づいた「使えるスキル集」として、個人のコーディングエージェント運用をすぐに底上げできる。特にTDDや設計レビューのプロセスをエージェントに落とし込みたいチームにとって、そのまま導入・カスタマイズできる実践的なテンプレート集として参考になる。,MIT,
UditAkhourii/adhd,TypeScript,ADHDは、Claude/Codex Agent SDK上に構築されたコーディングエージェント向けスキルで、単一の思考の流れに固執する「早すぎる収束」を防ぐため、文脈を共有しないN個の独立した推論プロセスを異なる認知的フレーム(経済的インセンティブ、非同期制御、ゲーミフィケーションなど)のもとで並行生成し、その後に別の批評パスでスコアリング・剪定・深掘りを行う二段階アプローチを実装する。,https://github.com/UditAkhourii/adhd,992,"・発散フェーズでは各エージェントが問題と1つの認知フレームのみを受け取り評価を禁止、文脈共有によるアンカリングを排除
・収束フェーズの批評パスが新規性/実現性/適合性でスコアリングし、「魅力的だが欠陥のある案(トラップ)」を検出
・Chain-of-ThoughtやTree-of-Thought(分岐間で文脈共有)とは異なり、生成者と評価者の役割をLLM呼び出しレベルで機械的に分離",設計判断、デバッグ、命名、戦略立案など「正解が発散しやすい」問題に強く、評価では単発推論比でトラップ検出精度が5.2倍向上したと報告されている。同時期に類似コンセプトのayghri/i-have-adhdも登場しており、「AIの早すぎる結論」に対する関心の高まりを反映した興味深い一例と言える。,MIT,
agegr/pi-web,TypeScript,pi-webは、コマンドラインのコーディングエージェント「pi」(badlogic/pi-mono)向けに、ローカルのセッションファイルを読み込んでブラウザ上で操作できるワークスペースを提供するWeb UIである。セッション閲覧、リアルタイムチャット、モデル設定、スキル管理、プロジェクトファイルのプレビューなどをターミナルを離れて行える。,https://github.com/agegr/pi-web,1474,"・セッションのフォーク/分岐による安全な試行錯誤や、サイドバーからのGit worktree切り替えに対応
・コンテキスト使用量、コスト、圧縮状態などセッションのメトリクスを可視化して透明性を確保
・Next.js/TypeScript/Tailwind CSS/Bunという構成で、piのCLI機能を置き換えず補完する設計",piエージェントを日常的に使う開発者にとって、複数プロジェクト・複数セッションをターミナル履歴を掘らずに一覧・管理できる点は実用性が高い。CLIエージェントにGUIレイヤーを後付けするアプローチとして、他のエージェントCLIのUI拡張を検討する際の参考にもなる。,MIT,
ruvnet/RuView,Rust,RuViewは、市販の低価格WiFiチップ(ESP32)から得られるチャネル状態情報(CSI)を用いて、カメラや装着型センサーなしに人の存在検知・動作追跡・バイタルサイン(呼吸・心拍)モニタリングを行うRust製の非接触型センシングシステムである。マルチ周波数のメッシュスキャンからコヒーレンスゲーティング、帯域通過フィルタ、アテンション機構を用いたニューラルネットまでの信号処理パイプラインを備える。,https://github.com/ruvnet/RuView,5026,"・1台9ドルのESP32-S3センサーをメッシュ状に配置し、壁越し(最大約5m)でも検知可能
・呼吸(6〜30 BPM)や心拍(40〜120 BPM)を位相信号の帯域フィルタリングから抽出
・対照学習によりラベルなしで128次元の環境フィンガープリントを生成し、部屋識別や異常検知に応用する自己教師あり設計",プライバシーに配慮しつつ高齢者見守りや侵入検知、産業安全のモニタリングをカメラなしで実現したい用途に向く。安価な市販WiFiチップだけで実現している点が特徴的で、スマートホームやヘルスケア分野での低コストなセンシング基盤として注目される。,MIT,
earendil-works/pi,TypeScript,piは、複数のLLMプロバイダー(OpenAI、Anthropic、Googleなど)を単一インターフェースで扱う統合API、ツール呼び出しと状態管理を担うエージェントランタイム、そしてターミナルベースのコーディングエージェントCLIから成るオープンソースのAIエージェントツールキットである。モジュール構成で各パッケージを個別にも組み合わせても利用できる。,https://github.com/earendil-works/pi,5244,"・依存関係をピン留めしnpm auditを必須化するなど、サプライチェーンセキュリティを重視した設計
・組み込みの権限システムを持たない点を明示し、Gondolin/Docker/OpenShellなど3種のサンドボックス構成をドキュメントで提示
・実際のOSSワークフローのセッションをHugging Faceで共有するよう呼びかけ、合成ベンチマークではなく実データでの改善を志向",特定ベンダーにロックインされない自前のコーディングエージェントを構築したい開発者にとって、統一LLM APIとエージェントループを個別に採用できる柔軟性が魅力である。セキュリティの限界を隠さず明示し、コンテナ化を前提とする姿勢は、実運用を見据えたエージェント基盤設計の参考になる。,MIT,
