リポジトリ名,主要言語,概要,GitHubURL,Star増分,注目ポイント/要約,活用アイデア/関連性/所感,ライセンス,first commit日
tt-a1i/archify,JavaScript,Archifyは、システム構成を記述したテキストからアーキテクチャ図・ワークフロー図・シーケンス図・データフロー図・ライフサイクル図を自動生成するNode.js製のツールです。Cursor、Claude Code、Codex CLIなどのAIエージェントが出力する型付きJSONを検証した上で、モーション付きの自己完結型HTML/SVGとして描画します。リポジトリがなくても自然言語だけで図を作成でき、対話的に修正を重ねられる点が特徴です。,https://github.com/tt-a1i/archify,17190,"・5種類の図タイプ(アーキテクチャ/ワークフロー/シーケンス/データフロー/ライフサイクル)と4つのプリセット、ダーク/ライトテーマに対応
・「型付きJSON生成→スキーマ/レイアウト検証→アトミックな出力更新」というバリデーション優先パイプラインで信頼性の高い図を保証
・Before/Delta/Afterの差分比較やノード検索、PNG/SVG/WebMエクスポートなどレビュー用途に強い機能を搭載",AIコーディングエージェントに設計意図や変更差分を可視化させる「エージェント用スキル」として使えるため、設計レビューやオンボーディング資料作成の自動化に向いています。既存のMermaidなどのテキストベース作図ツールと比べ、検証プロセスと動きのある表現を組み込んでいる点が差別化要素であり、エージェント開発ワークフローに組み込む用途で注目を集めていると考えられます。,MIT License,
magnitudedev/magnitude,TypeScript,Magnitudeは、手元のハードウェア(CPU/GPU/メモリ帯域)を診断し、その環境で最適に動くローカルLLMを推薦・実行する推論サーバーです。Pi、OpenCode、Claude Code、Clineなど既存のAIエージェントに接続し、クラウドAPIなしで動かすことができます。,https://github.com/magnitudedev/magnitude,1961,"・チップ・メモリ・帯域幅をプロファイリングし、推定トークン/秒付きで最適モデルを提案する仕組みが特徴的
・モデルはリクエスト時にロードし、アイドル時やメモリ逼迫時に自動アンロードするなど、ローカル運用を意識したリソース管理
・Bunベースのモノレポ構成でCLI・推論エンジン・デスクトップアプリ・Web UIを統合し、複数のエージェントCLIから利用可能",API課金やプライバシー懸念を避けたい開発者が、既に使っているコーディングエージェントのバックエンドをローカルモデルに差し替える用途に適しています。オフライン環境や社内データを扱うプロジェクトでの採用が期待できます。,Apache License 2.0,
THU-MAIC/OpenMAIC,TypeScript,OpenMAIC(Open Multi-Agent Interactive Classroom)は、トピックや資料を入力するだけでAIが講義スライド・クイズ・シミュレーション・プロジェクト課題を自動生成する、マルチエージェント型のインタラクティブ授業プラットフォームです。複数のAI教師・生徒役エージェントがディスカッションやホワイトボード描画、音声ナレーションを通じて教育コンテンツを届けます。,https://github.com/THU-MAIC/OpenMAIC,9193,"・LangGraphによるマルチエージェントオーケストレーションと、アウトライン生成→シーン内容生成の2段階パイプラインを採用
・3D可視化、シミュレーション、マインドマップ、ブラウザ内コーディングなど「Deep Interactive Mode」を搭載し、PowerPointやオフライン対応HTMLへのエクスポートも可能
・LLM/TTS/ASR/画像生成をマルチプロバイダ対応させ、12ロケール・11言語の国際化を実現している点が教育×AIエージェントの応用例として注目される",教育機関やeラーニング事業者が、教材作成や個別指導コンテンツの自動生成に活用できそうです。既存のスライド生成AIツールと異なり、マルチエージェントによる「授業」そのものを再現しようとしている点がユニークで、企業研修や自習コンテンツ開発への応用も期待できます。,MIT License,
Gitlawb/openclaude,TypeScript,OpenClaudeは、Claude Codeから派生したオープンソースのエージェント型コーディングCLIで、OpenAIやGemini、GitHub Models、Ollama、DeepSeekなど30以上のLLMプロバイダをプロバイダロックインなしに切り替えて利用できるツールです。「runs anywhere. uses anything」というコンセプト通り、クラウド・ローカルを問わず好みのモデルでエージェント型コーディングを行えます。,https://github.com/Gitlawb/openclaude,1944,"・bash実行、ファイル操作、grep/globパターン、MCP、Web検索/取得を統合したツール駆動型ワークフローとストリーミング応答を実装
・リポジトリの重要度ランキングに基づくコードベースマッピングをコンテキストへ自動注入する「コードベース知性」機能
・VS Code拡張機能やヘッドレス連携用のgRPCサーバーオプションも同梱し、Claude Codeのコードベースを土台にマルチプロバイダ対応へ拡張している",特定ベンダーのAPIキーやサブスクリプションに縛られたくない開発者が、ローカルLLMとクラウドLLMを使い分けながらエージェント型開発を行うための選択肢になります。Claude Codeのワークフローに慣れたユーザーが、コスト最適化やオフライン利用を目的に乗り換える用途で注目されていると考えられます。,MIT License,
pollen-robotics/microduck_rl,Python,microduck_rlは、体重約800gの小型二足歩行ロボット「Microduck」向けの強化学習トレーニング環境を提供するリポジトリです。MuJoCo Warpベースの物理シミュレーションフレームワークmjlab上でPPO(近接方策最適化)による歩行・起き上がり・技の習得などの方策を学習し、ONNX形式でエクスポートして実機にデプロイするパイプラインを実装しています。,https://github.com/pollen-robotics/microduck_rl,1122,"・BAMアクチュエータ物理モデル、ドメインランダム化、Dynamixel XL330サーボのバックラッシュ(±1°)まで再現するSim-to-Real精度への強いこだわり
・61次元の共通観測空間により、歩行・転倒回復・宙返りなど12以上の異なる方策をランタイムでホットスワップ可能
・学習からエクスポート、Hugging Face Hubへの公開、実機インストールまでを一貫したCLIパイプラインとして提供している点が実用性の高さを示す",低コストな小型二足歩行ロボットの研究・教育プラットフォームとして、大学の研究室やロボティクス愛好家が実機なしでも方策開発を試せる点が魅力です。Sim-to-Realのギャップを埋める工夫が充実しているため、他の小型ロボットRLプロジェクトの参考実装としても活用できそうです。,Apache License 2.0,
google-research/timesfm,Python,TimesFMは、Google Researchが開発した時系列予測向けの事前学習済み基盤モデルです。decoder-onlyアーキテクチャを採用し、追加学習なしのゼロショットで多様な時系列データに対して高精度な予測を行えることが特徴です。,https://github.com/google-research/timesfm,3203,"・最新のTimesFM 3.0は2億パラメータ、最大16kのコンテキスト長を持ち、多変量/単変量予測や過去・未来共変量への対応、分位点予測をサポート
・fev-bench、TIME Benchmark、GIFT-Evalといった主要な時系列予測ベンチマークで総合1位の性能を達成
・BigQuery ML、Google Sheets、Vertex Model Gardenなど実際のGoogle製品にも統合されており、研究成果が実運用レベルまで到達している点が注目される",需要予測や異常検知、金融・IoTデータの時系列分析など、これまで個別にモデルを学習させていた領域にゼロショットで適用できる可能性があります。既存のARIMAやProphetなどの伝統的手法、あるいはChronosなど他の時系列基盤モデルと比較検証する用途でも活用が広がりそうです。,Apache License 2.0,
jingyaogong/minimind,Python,MiniMindは、わずか2時間・低コストなハードウェアで6400万パラメータのLLMをゼロから学習できることを示す教育的プロジェクトです。事前学習からSFT、LoRA、DPOやPPO/GRPOによる強化学習まで、LLM構築の全パイプラインをPyTorchでフルスクラッチ実装し、1行ずつ理解できる透明性を重視しています。,https://github.com/jingyaogong/minimind,3816,"・Dense/MoEアーキテクチャ、LoRA、RLHF(DPO)、RLAIF(PPO/GRPO/CISPO)、ツール利用、推論能力まで、最新LLM技術を最小構成で網羅的に再現
・transformers、llama.cpp、vLLM、ollamaなど主要エコシステムと互換性があり、OpenAI互換APIサーバーやStreamlit製Web UIも同梱
・「巨大な計算資源がなくても個人がLLMの仕組みを一から理解し構築できる」という教育的価値が高く評価され、トレンド入りしたと考えられる",LLMの内部構造を学びたい学生やエンジニアの学習教材として最適で、大規模モデルを扱う前段階の実験・検証環境としても有用です。既存の大規模OSS LLM(Llamaなど)と異なり再現コストが極めて低いため、研究室や個人開発者が独自データで小型LLMを試作する際の出発点として活用できます。,Apache License 2.0,
fmtlib/fmt,C++,{fmt}は、C言語のstdioやC++のiostreamsに代わる、モダンで高速かつ安全な文字列フォーマッティングライブラリです。C++20のstd::formatやC++23のstd::printの仕様のベースにもなっており、Python風の書式指定構文を採用しています。,https://github.com/fmtlib/fmt,1885,"・コンパイル時にフォーマット文字列を検証し型安全性を確保しつつ、Dragonboxアルゴリズムによる高速・正確な浮動小数点変換を実現
・ヘッダオンリー構成にも対応しつつモジュール化によりコンパイル時間を短縮するなど、性能と利便性を両立
・ClickHouse、MongoDB、PyTorch、Windows Terminalなど数多くの大規模プロジェクトで採用されている実績あるC++基盤ライブラリ",既存のprintfやiostreamsによる文字列整形処理を安全かつ高速に置き換えたいC++プロジェクトで幅広く採用できます。C++20/23の標準フォーマット機能を先取りして使いたい場合や、古い標準規格でのビルドを維持しつつ最新のフォーマット機能を利用したい場合の定番選択肢です。,MIT License,
debpalash/VoiceStudio,Python,VoiceStudioは、ElevenLabsのような商用音声合成サービスをローカル環境で置き換えるオープンソースツールです。音声クローニング、パラメータによる音声デザイン、動画の吹き替え、文字起こし、オーディオブック作成などを、アカウント登録やAPIキーなしに個人のPC上で完結させられます。,https://github.com/debpalash/VoiceStudio,7513,"・16種類のTTSエンジンと11種類のASRエンジンをモジュール式に切り替え可能で、646言語のTTSワークフローに対応
・React+Vite、FastAPI、TauriによるデスクトップアプリからREST API・OpenAI互換エンドポイント・MCPサーバーまで多様な利用形態を提供
・CUDA、Apple Silicon MPS/MLX、ROCmなど幅広いハードウェアアクセラレーションに対応し、クラウド音声AIのローカル代替として実用性が高い点が支持されている",プライバシーやコストを理由にクラウド音声合成サービスを避けたい動画クリエイターやコンテンツ制作者にとって、ElevenLabs等の有力な代替になり得ます。MCPサーバー対応により、既存のAIエージェントワークフローに音声生成機能を組み込む用途としても活用が広がりそうです。,GNU Affero General Public License v3.0,
handsomestWei/patent-disclosure-skill,Python,本リポジトリは、中国の特許実務者向けにAIを活用した技術開示書(交底書)作成から出願書類化、公開特許の解読、審査意見への対応までをカバーするスキル集です。研究者やエンジニアが技術的な発明を正式な特許文書へ落とし込む際のハードルを下げることを目的としています。,https://github.com/handsomestWei/patent-disclosure-skill,2093,"・発明特許・実用新案・意匠特許の3種類に対応したテンプレートと要点抽出、開示書から正式出願書類への変換など6種類の専門スキルを提供
・PlaywrightによるWeb自動化を用いた公開特許検索や、製品画像・CADからの図面自動生成など、実務作業の自動化に踏み込んでいる
・Obsidianとの連携によるナレッジ管理や、審査意見(OA)への回答支援など、特許実務の周辺プロセスまで一貫してカバーしている点が特徴",中国国内で特許出願を行う企業の知財部門やスタートアップの研究開発チームが、交底書作成や先行特許調査の工数削減に活用できそうです。Claude Codeなどのエージェント向け「スキル」として設計されているため、既存のAIエージェント運用フローに知財業務を組み込む事例として参考になります。,MIT License,
