リポジトリ名,主要言語,概要,GitHubURL,Star増分,注目ポイント/要約,活用アイデア/関連性/所感,ライセンス,first commit日
tt-a1i/archify,JavaScript,Cursor・Claude Code・Codex CLIなどのエージェントチャット内で、システム説明からアーキテクチャ図・ワークフロー図・シーケンス図・データフロー図・ライフサイクル図を生成するNode.js製の描画システム(エージェントスキル)。,https://github.com/tt-a1i/archify,22095,"・型付きJSON中間表現を経て確定的にコンパイルし、検証を通した上でPNG/SVG/WebM/自己完結型HTMLとして出力できる
・ノード検索や上流/下流のトレース、Before/Delta/Afterでのアーキテクチャ差分比較など、単なる静止画に留まらないインタラクティブな図の探索機能を持つ
・11種の検証済みシナリオを収録した「Proof Lab」や実リポジトリへのマッピング例を備え、SNS共有向けの1200x630カード書き出しにも対応",ソフトウェア設計ドキュメントやオンボーディング資料の自動生成、PRレビュー時のアーキテクチャ差分可視化などに使えそうで、Mermaidなど従来の静的図生成ツールに比べAIエージェントとの対話を前提にした点が新しい。既存のドキュメント生成ワークフローに組み込むことで、コード変更と図の同期を保ちやすくなる。,MIT,
freestylefly/awesome-gpt-image-2,JavaScript,awesome-gpt-image-2は、GPT-Image2による画像生成のためのプロンプトエンジニアリング資産集で、540以上のリバースエンジニアリング事例と20以上の実運用向けテンプレートを12カテゴリに整理して提供しています。プロンプトを「散在する作例」ではなく「再利用・自動化可能な構成要素」として体系化する「Prompt as Code」を掲げています。,https://github.com/freestylefly/awesome-gpt-image-2,11711,"・被写体・照明・素材・レイアウトなどをアトミックな要素に分解し、スクリプトやエージェントワークフローで組み合わせ・バッチ生成できる構造化プロンプト設計
・UIデザイン、インフォグラフィック、商品写真、キャラクターデザインなど12カテゴリにわたる産業用途向けテンプレート
・Claude CodeやCursorなど各種AIコーディングツール向けのnpmパッケージ(エージェントスキル)として配布",「画像が生成できるか」から「狙った通りの安定した結果を再現・量産できるか」というフェーズに移った画像生成AI活用において、プロンプト設計の叩き台として即戦力になりそうです。テンプレートをコードベースの資産として管理できるため、既存のコンテンツ生成パイプラインやマーケティング素材制作の自動化に組み込みやすい構成です。,MIT License,
anthropics/claude-plugins-community,Python,claude-plugins-communityは、Claude CowworkとClaude Code向けのコミュニティ製プラグインを掲載する公式マーケットプレイスの読み取り専用ミラーリポジトリです。Anthropicの内部レビューパイプラインから毎晩同期される`marketplace.json`に、承認済みプラグインの一覧が管理されています。,https://github.com/anthropics/claude-plugins-community,1846,"・掲載される全プラグインは自動セキュリティスキャンとAnthropicの内部レビューを経て承認されたもののみ
・`claude plugin marketplace add anthropics/claude-plugins-community`のようなコマンドでClaude Codeから直接プラグインを追加・インストール可能
・リポジトリ自体は読み取り専用でPRは自動クローズされ、投稿は専用フォーム(plugin-directory-submission)経由に一本化されている点がガバナンス面で特徴的",Claude CodeやClaude Cowork向けに独自のプラグイン(スキル・エージェント・コマンド等)を作った開発者が、公式マーケットプレイスを通じて広く配布する窓口として利用できます。利用者側にとっても、セキュリティ審査済みのコミュニティプラグインを安心して探せるカタログとして機能しそうです。,Apache License 2.0,
omacom/omarchy,Shell,OmarchyはDHH(David Heinemeier Hansson)が開発する、美しくモダンでオピニオン(思想)を持ったArch Linuxベースのディストリビューションです。トップバーやテーマ、ホットキー、統合クリップボード、開発環境などが最初から整った状態で提供され、51章に及ぶ詳細なマニュアルも同梱されています。,https://github.com/omacom/omarchy,6382,"・Hyprlandを中心としたモダンなデスクトップ体験とテーマシステムを標準搭載
・Neovimや各種開発ツール、AI連携、Windows VMなど開発者向け機能が充実
・デュアルブート対応や無人インストールなど導入のしやすさにも配慮",既存のディストリビューションのセットアップに時間をかけたくない開発者にとって、見た目と使い勝手が最初から整った即戦力の作業環境として使えます。Arch Linuxの柔軟性を保ちつつ「迷わない」設定済み環境を提供する点が、個人の開発機やAI駆動開発のベースOSとして注目されています。,MIT License,
THU-MAIC/OpenMAIC,TypeScript,LangGraphを用いたマルチエージェント構成で、トピックや資料からスライド・クイズ・シミュレーション・PBL活動を自動生成し、AI講師と生徒エージェントが板書や対話を行うインタラクティブな授業体験をワンクリックで作り出すオープンソースプラットフォーム。Next.js 16/React 19/TypeScriptで構築され、PostgreSQLでセッションを永続化する。,https://github.com/THU-MAIC/OpenMAIC,5014,"・LangGraphでAI教師・AIクラスメイトなど複数エージェントを連携させ、リアルタイムの発話・ホワイトボード描画・討論を実現
・15以上のLLMプロバイダ、複数のTTS/ASR、ストレージバックエンドに対応するプロバイダ非依存設計で、PPTX/HTML/教室ZIPなど多様な形式へエクスポート可能
・Feishu/Slack/Telegramなど20以上のチャットツールと連携する「OpenClaw」統合や11言語・12ロケール対応の国際化を備える",教育コンテンツ制作の自動化やeラーニングプラットフォームへの組み込み、社内研修教材の迅速な生成などに活用できそうで、マルチエージェントによる対話型授業という新しい学習体験の実験場としても興味深い。既存のスライド生成AIやチャットボット型チューターと差別化される「教室」という体験設計が特徴的。,MIT License,
MadsLorentzen/ai-job-search,Python,ai-job-searchは、Claude Codeを基盤に構築されたAIによる求職活動自動化フレームワークです。求人検索からCV(履歴書)・カバーレターの作成、面接準備、選考結果の記録まで、就職活動の一連のワークフローをローカル環境で実行できます。,https://github.com/MadsLorentzen/ai-job-search,5463,"・/scrape、/apply、/interviewなどスラッシュコマンドで求人検索から応募書類作成、面接対策までを一気通貫で自動化
・LaTeXでPDFを生成し、実際のATS(応募者追跡システム)と同じ方式でテキスト抽出・キーワード網羅性を検証する仕組みを搭載
・作成担当と査読担当の2つのClaudeエージェントを分離し、応募書類の弱点を相互チェックする設計",求人サイトを横断的に調べてCVを求人ごとに最適化する作業は手間がかかるため、これを自分のPC上でAIに任せられる点が実用的です。Gmail連携による選考ステータスの自動検知やNotion連携、HTMLレポート出力なども備え、個人の転職活動管理ツールとしてそのまま使える完成度です。,MIT License,
apache/maka,TypeScript,Apache Maka(Incubating)は、ローカルファーストなAIエージェントワークスペースです。モデルへのメッセージやツール呼び出し、実行結果、権限判断、終了イベントなどをすべて追記専用ログとして記録し、Desktop・CLI/TUI・Evalの3つの入り口から同一のRuntime Hostを通じて操作できます。,https://github.com/apache/maka,1697,"・セッションや設定、実行記録を既定でローカルに保持し、利用するモデル接続(クラウド/ローカル問わず)は自分で選べる設計
・すべてのやり取りを不変ログとして残す「Durable Execution Record」により、後から証跡を追跡しつつ将来のプロンプト向けにコンテキストを最適化できる
・SQLiteベースのストレージとイベントソーシング型アーキテクチャによる決定的なリプレイ、再現可能なベンチマーク用の実験フレームワークを搭載",Apache Software Foundationのインキュベーションプロジェクトとして、企業や個人がデータを外部に出さずにAIエージェントを運用したい場面での採用が期待されます。実行履歴が完全に残るため、監査やデバッグが重要なチーム開発でのエージェント運用基盤としての利用が想定されます。,Apache License 2.0,
K-Dense-AI/scientific-agent-skills,Python,任意のAIエージェントを「AIサイエンティスト」に変えることを掲げ、バイオインフォマティクスやケモインフォマティクス、臨床研究、機械学習など多分野にわたる163種のすぐ使えるスキルを提供するライブラリ。PubChemやChEMBL、UniProt、ClinicalTrials.govなど100以上の科学データベースへの確定的でプロベナンス付きのアクセスを実現する。,https://github.com/K-Dense-AI/scientific-agent-skills,6248,"・ゲノミクス(27)、創薬化学(10)、臨床研究(8)、機械学習(14)、データ解析(22)、ラボ自動化(6)など幅広い領域をカバーする実用的なスキル群
・Agent Skills標準に準拠しCursor・Claude Code・Codex・Google Antigravityなど複数プラットフォームで共通利用できる
・バーチャルスクリーニングやRNA-seq解析、変異アノテーション、PK/PDモデリングなど実践的なワークフローを想定し、週次のセキュリティスキャンや脆弱性報告体制を整備","研究室の解析パイプライン構築や創薬スクリーニングの自動化、臨床エビデンス調査の効率化など、科学研究のさまざまな場面でAIエージェントの実務投入を後押しするツールとして活用できそう。190,000人以上の科学者に使われているとされ、スキルごとにライセンスが異なる点には注意が必要。",MIT License,
tashfeenahmed/freellmapi,TypeScript,FreeLLMAPIは、34の無料LLMプロバイダーが提供する無料枠を集約し、月間約74億トークン・635の無料モデルエンドポイントを単一のOpenAI互換APIとして利用できるようにするプロジェクトです。スマートルーティングと自動フェイルオーバーにより、複数プロバイダーを意識せずにLLMを使い分けられます。,https://github.com/tashfeenahmed/freellmapi,3640,"・速度・性能・信頼性など6種類の戦略に基づくスマートルーティングと、レート制限到達時の自動フェイルオーバー機構
・複数モデルの応答を統合する「Fusion」モードや、AES-256-GCMによるAPIキー暗号化保存など高度な機能を搭載
・Claude Code、Cline、Continue、Aiderなど主要コーディングエージェントとの連携に対応",個人開発や学習目的でLLMを試したいが有料APIのコストを抑えたい場合に、複数の無料プロバイダーを自動的に切り替えて使える点が魅力です。作者自身も「個人の実験・学習用であり本番運用向けではない」と明言しており、プロトタイピングや検証用途での利用が現実的です。,MIT License,
anthropics/claude-plugins-official,Python,claude-plugins-officialは、Anthropicが公式に管理するClaude Code向けプラグインのキュレーションディレクトリです。Anthropic製の内部プラグインとパートナー・コミュニティによる外部プラグインの両方を集約し、統一された構造でClaude Codeに機能を追加できます。,https://github.com/anthropics/claude-plugins-official,2024,"・`/plugin install {plugin-name}@claude-plugins-official`で簡単にインストールできる公式マーケットプレイス
・plugin.json、MCPサーバー設定、commands/agents/skillsなど標準化されたプラグイン構成
・スラッグ(識別子)は不変とし、marketplace.jsonのrenamesマップで安全なリネーム移行を実現する設計
・35.8k超のスター、945件のIssue、3,438コミットという活発な開発状況",Claude Codeを拡張したい開発者にとって、信頼できるプラグインを探す際の一次情報源として使えます。社内向けMCPサーバーやスキルをこの構造に沿って作成すれば、公式マーケットプレイスへの提出や既存プラグインとの組み合わせもしやすくなります。,Apache License 2.0,
