rank,repository,url,description,language,stars_total,forks_total,stars_period,since,language_filter,scraped_at,license,first_commit_date
1,tt-a1i/archify,https://github.com/tt-a1i/archify,"Agent skill for beautiful, verifiable architecture, workflow, sequence, data-flow, and lifecycle diagrams—self-contained HTML with motion and crisp export.",JavaScript,31556,1960,3902,daily,all,2026-08-30T04:33:07+00:00,MIT,
2,bilawalsidhu/gods-eye-view,https://github.com/bilawalsidhu/gods-eye-view,"A spy satellite simulator in your browser, except the data is real. Live open source spatial intelligence on a photorealistic 3D globe.",JavaScript,12795,2532,1855,daily,all,2026-08-30T04:33:07+00:00,,
3,K-Dense-AI/scientific-agent-skills,https://github.com/K-Dense-AI/scientific-agent-skills,"Turn any AI agent into an AI Scientist. The #1 Agent Skills library for science, used by 190,000+ scientists worldwide. 165 ready-to-use validated skills plus 100+ scientific databases covering biology, chemistry, medicine, and drug discovery. Compatible with Cursor, Claude Code, Codex, Pi, Antigravity, and the open Agent Skills standard.",Python,38056,3586,1587,daily,all,2026-08-30T04:33:07+00:00,MIT,
4,tailscale/tailcat,https://github.com/tailscale/tailcat,"like netcat, but over Tailscale's data plane, without Tailscale's control plane",Go,3640,111,789,daily,all,2026-08-30T04:33:07+00:00,BSD-3-Clause,
5,THU-MAIC/OpenMAIC,https://github.com/THU-MAIC/OpenMAIC,"Open Multi-Agent Interactive Classroom — Get an immersive, multi-agent learning experience in just one click",TypeScript,22464,4340,907,daily,all,2026-08-30T04:33:07+00:00,MIT,
6,p-e-w/heretic,https://github.com/p-e-w/heretic,Fully automatic censorship removal for language models,Python,28758,3168,150,daily,all,2026-08-30T04:33:07+00:00,AGPL-3.0,
7,bigskysoftware/htmx,https://github.com/bigskysoftware/htmx,</> htmx - high power tools for HTML,JavaScript,49153,1640,32,daily,all,2026-08-30T04:33:07+00:00,,
8,JetBrains/go-modern-guidelines,https://github.com/JetBrains/go-modern-guidelines,Help AI coding agents write modern Go,Go,2901,81,303,daily,all,2026-08-30T04:33:07+00:00,Apache-2.0,
9,ComposioHQ/awesome-claude-skills,https://github.com/ComposioHQ/awesome-claude-skills,"A curated list of awesome Claude Skills, resources, and tools for customizing Claude AI workflows",Python,73964,8472,73,daily,all,2026-08-30T04:33:07+00:00,,
10,calesthio/OpenMontage,https://github.com/calesthio/OpenMontage,"World's first open-source, agentic video production system. 12 production pipelines, 100+ tools, 700+ agent skill and production-knowledge files. Turn your AI coding assistant into a full video production studio.",Python,54181,6721,806,daily,all,2026-08-30T04:33:07+00:00,AGPL-3.0,
11,every-app/open-seo,https://github.com/every-app/open-seo,Open source alternative to Semrush and Ahrefs,TypeScript,14716,1766,517,daily,all,2026-08-30T04:33:07+00:00,MIT,
12,Osmantic/ODS,https://github.com/Osmantic/ODS,"Turn your PC, Mac, or Linux box into an AI server. LLM inference, chat UI, voice, agents, workflows, RAG, and image generation.",Python,5010,743,35,daily,all,2026-08-30T04:33:07+00:00,Apache-2.0,
13,abi/screenshot-to-code,https://github.com/abi/screenshot-to-code,Drop in a screenshot and convert it to clean code (HTML/Tailwind/React/Vue),Python,76101,9265,550,daily,all,2026-08-30T04:33:07+00:00,MIT,
14,anthropics/claude-plugins-official,https://github.com/anthropics/claude-plugins-official,"Official, Anthropic-managed directory of high quality Claude Code Plugins.",Python,35461,3961,358,daily,all,2026-08-30T04:33:07+00:00,Apache-2.0,
15,google/googletest,https://github.com/google/googletest,GoogleTest - Google Testing and Mocking Framework,C++,39334,10878,128,daily,all,2026-08-30T04:33:07+00:00,BSD-3-Clause,
16,actions/checkout,https://github.com/actions/checkout,Action for checking out a repo,TypeScript,8810,2756,5,daily,all,2026-08-30T04:33:07+00:00,MIT,
17,kaifcodec/user-scanner,https://github.com/kaifcodec/user-scanner,"🕵️‍♂️ (2-in-1) Email & Username OSINT suite for deep data extraction just from a single Email/Username. Analyzes 455+ actively maintained scan vectors (175+ email / 280+ username) for security research, investigations, and digital footprinting.",Python,3682,418,39,daily,all,2026-08-30T04:33:07+00:00,MIT,
18,addyosmani/agent-skills,https://github.com/addyosmani/agent-skills,Production-grade engineering skills for AI coding agents.,JavaScript,90775,9712,196,daily,all,2026-08-30T04:33:07+00:00,MIT,
19,workweave/router,https://github.com/workweave/router,Model router for agentic systems. Routes every prompt to the right model in <50ms. Cut costs 40-70% with just an endpoint change.,Go,2827,81,284,daily,all,2026-08-30T04:33:07+00:00,,
