rank,repository,url,description,language,stars_total,forks_total,stars_period,since,language_filter,scraped_at,license,first_commit_date
1,TencentCloud/TencentDB-Agent-Memory,https://github.com/TencentCloud/TencentDB-Agent-Memory,"TencentDB Agent Memory is a team-level memory hub for AI Agents — turning conversations, docs, and code into four reusable memory assets (Chat Memory, Skill, LLM-Wiki, Code-Graph) that are governed, shared, and equipped across agents and frameworks.",TypeScript,16306,1468,1053,daily,all,2026-08-06T23:22:47+00:00,,
2,addyosmani/agent-skills,https://github.com/addyosmani/agent-skills,Production-grade engineering skills for AI coding agents.,JavaScript,82885,8885,588,daily,all,2026-08-06T23:22:47+00:00,MIT,
3,cloudflare/computer,https://github.com/cloudflare/computer,Give your agent a computer 👾,TypeScript,4751,239,2690,daily,all,2026-08-06T23:22:47+00:00,MIT,
4,mattpocock/skills,https://github.com/mattpocock/skills,Skills for Real Engineers. Straight from my .agents directory.,Shell,206944,17871,2002,daily,all,2026-08-06T23:22:47+00:00,MIT,
5,goauthentik/authentik,https://github.com/goauthentik/authentik,The authentication glue you need.,Python,23080,1770,123,daily,all,2026-08-06T23:22:47+00:00,,
6,huangruiteng/loopx,https://github.com/huangruiteng/loopx,"Lightweight loop engineering state kernel for long-running AI agent teams. Agent-loop agnostic across Codex, Claude Code, and other coding agents, with durable goals, quota-aware auto-wake, executable todos, evidence logs, and verifiable handoffs.",Python,2827,209,854,daily,all,2026-08-06T23:22:47+00:00,MIT,
7,google/guava,https://github.com/google/guava,Google core libraries for Java,Java,51623,11163,35,daily,all,2026-08-06T23:22:47+00:00,Apache-2.0,
8,TapXWorld/ChinaTextbook,https://github.com/TapXWorld/ChinaTextbook,所有小初高、大学PDF教材。,Roff,77043,17404,157,daily,all,2026-08-06T23:22:47+00:00,,
9,Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",Python,185984,46054,28,daily,all,2026-08-06T23:22:47+00:00,,
10,tirth8205/code-review-graph,https://github.com/tirth8205/code-review-graph,"Local-first code intelligence graph for MCP and CLI. Builds a persistent map of your codebase so AI coding tools read only what matters, with benchmarked context reductions on reviews and large-repo workflows.",Python,29001,2682,232,daily,all,2026-08-06T23:22:47+00:00,MIT,
11,esengine/DeepSeek-Reasonix,https://github.com/esengine/DeepSeek-Reasonix,DeepSeek-native AI coding agent for your terminal. Engineered around prefix-cache stability — leave it running.,Go,32364,2096,894,daily,all,2026-08-06T23:22:47+00:00,MIT,
12,obra/superpowers,https://github.com/obra/superpowers,An agentic skills framework & software development methodology that works.,Shell,268061,23963,858,daily,all,2026-08-06T23:22:47+00:00,MIT,
13,firecrawl/pdf-inspector,https://github.com/firecrawl/pdf-inspector,"Fast Rust library for PDF inspection, classification, and text extraction. Intelligently detects scanned vs text-based PDFs to enable smart routing decisions.",Rust,12390,832,1194,daily,all,2026-08-06T23:22:47+00:00,MIT,
