rank,repository,url,description,language,stars_total,forks_total,stars_period,since,language_filter,scraped_at,license,first_commit_date
1,pascalorg/editor,https://github.com/pascalorg/editor,Create and share 3D architectural projects.,TypeScript,18723,2526,341,daily,all,2026-07-29T01:22:23+00:00,MIT,
2,jenkinsci/jenkins,https://github.com/jenkinsci/jenkins,Jenkins automation server,Java,26074,9687,180,daily,all,2026-07-29T01:22:23+00:00,MIT,
3,moeru-ai/airi,https://github.com/moeru-ai/airi,"💖🧸 Self hosted, you-owned Grok Companion, a container of souls of waifu, cyber livings to bring them into our worlds, wishing to achieve Neuro-sama's altitude. Capable of realtime voice chat, Minecraft, Factorio playing. Web / macOS / Windows supported.",TypeScript,44771,4450,797,daily,all,2026-07-29T01:22:23+00:00,MIT,
4,andrewyng/aisuite,https://github.com/andrewyng/aisuite,"Simple, unified interface to multiple Generative AI providers",Python,15690,1656,62,daily,all,2026-07-29T01:22:23+00:00,MIT,
5,affaan-m/ECC,https://github.com/affaan-m/ECC,"The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.",JavaScript,234820,35781,636,daily,all,2026-07-29T01:22:23+00:00,MIT,
6,hello245m/free-stockdb,https://github.com/hello245m/free-stockdb,面向 A 股日K、分钟K与ETF分钟数据的本地量化引擎，集成增量同步、本地缓存、复权、批量查询、回测与指标计算。,HTML,1287,211,50,daily,all,2026-07-29T01:22:23+00:00,MIT,
7,huggingface/speech-to-speech,https://github.com/huggingface/speech-to-speech,Build local voice agents with open-source models,Python,7252,956,227,daily,all,2026-07-29T01:22:23+00:00,Apache-2.0,
8,virgiliojr94/book-to-skill,https://github.com/virgiliojr94/book-to-skill,"Turn any technical book PDF into a Claude Code skill — ready to study, reference, and use while you work.",Python,11412,1341,423,daily,all,2026-07-29T01:22:23+00:00,MIT,
9,opengeos/GeoLibre,https://github.com/opengeos/GeoLibre,"A lightweight, cloud-native GIS platform for visualizing, exploring, and analyzing geospatial data. It runs in the web browser, on the desktop, on mobile, and inside Jupyter notebooks.",TypeScript,3406,391,607,daily,all,2026-07-29T01:22:23+00:00,MIT,
10,paperswithbacktest/awesome-systematic-trading,https://github.com/paperswithbacktest/awesome-systematic-trading,"A curated list of awesome libraries, packages, strategies, books, blogs, tutorials for systematic trading.",Python,9624,1293,309,daily,all,2026-07-29T01:22:23+00:00,,
11,microsoft/agent-governance-toolkit,https://github.com/microsoft/agent-governance-toolkit,"AI Agent Governance Toolkit — Policy enforcement, zero-trust identity, execution sandboxing, and reliability engineering for autonomous AI agents. Covers 10/10 OWASP Agentic Top 10.",Python,5208,833,46,daily,all,2026-07-29T01:22:23+00:00,MIT,
12,yorukot/superfile,https://github.com/yorukot/superfile,Pretty fancy and modern terminal file manager,Go,21492,696,662,daily,all,2026-07-29T01:22:23+00:00,MIT,
13,bradautomates/claude-video,https://github.com/bradautomates/claude-video,"Give Claude the ability to watch any video. /watch downloads, extracts frames, transcribes, hands it all to Claude.",Python,12117,1217,988,daily,all,2026-07-29T01:22:23+00:00,MIT,
