rank,repository,url,description,language,stars_total,forks_total,stars_period,since,language_filter,scraped_at,license,first_commit_date
1,THU-MAIC/OpenMAIC,https://github.com/THU-MAIC/OpenMAIC,"Open Multi-Agent Interactive Classroom — Get an immersive, multi-agent learning experience in just one click",TypeScript,27934,4837,2824,daily,,2026-09-01T06:20:09+00:00,MIT License,
2,tt-a1i/archify,https://github.com/tt-a1i/archify,"Agent skill for beautiful, verifiable architecture, workflow, sequence, data-flow, and lifecycle diagrams",JavaScript,39773,2528,3991,daily,,2026-09-01T06:20:09+00:00,MIT,
3,K-Dense-AI/scientific-agent-skills,https://github.com/K-Dense-AI/scientific-agent-skills,"Turn any AI agent into an AI Scientist. The #1 Agent Skills library for science, used by 190,000+ scientists worldwide",Python,40983,3786,1980,daily,,2026-09-01T06:20:09+00:00,MIT License,
4,k1tbyte/Wand-Enhancer,https://github.com/k1tbyte/Wand-Enhancer,Advanced UX and interoperability extension for Wand (WeMod) app,C#,23475,59708,582,daily,,2026-09-01T06:20:09+00:00,Apache License 2.0,
5,majd/ipatool,https://github.com/majd/ipatool,"Command-line tool that allows searching and downloading app packages for iOS, iPadOS, tvOS, and visionOS from the App Store",Go,10628,898,373,daily,,2026-09-01T06:20:09+00:00,MIT License,
6,jingyaogong/minimind,https://github.com/jingyaogong/minimind,Train a 64M-parameter LLM from scratch in just 2h!,Python,56433,7352,495,daily,,2026-09-01T06:20:09+00:00,Apache License 2.0,
7,Osmantic/ODS,https://github.com/Osmantic/ODS,"Turn your PC, Mac, or Linux box into an AI server. LLM inference, chat UI, voice, agents, workflows, RAG, and image generation",Python,5639,787,77,daily,,2026-09-01T06:20:09+00:00,Apache License 2.0,
8,checkstyle/checkstyle,https://github.com/checkstyle/checkstyle,Development tool to help programmers write Java code adhering to coding standards with configurable rules,Java,9461,4211,198,daily,,2026-09-01T06:20:09+00:00,GNU LGPL v2.1 / Apache License 2.0,
9,zhaoxuya520/reverse-skill,https://github.com/zhaoxuya520/reverse-skill,Reverse Engineering / Authorized Penetration Testing / Security Research Skill Router Pack supporting Claude Code and other AI coding clients,PowerShell,33394,4526,1401,daily,,2026-09-01T06:20:09+00:00,MIT License,
10,affaan-m/ECC,https://github.com/affaan-m/ECC,"Agent harness performance optimization system with skills, instincts, memory, security for Claude Code and Cursor",JavaScript,245381,37060,512,daily,,2026-09-01T06:20:09+00:00,MIT License,
11,kaifcodec/user-scanner,https://github.com/kaifcodec/user-scanner,Email & Username OSINT suite analyzing 465+ scan vectors for security research and digital footprinting,Python,4395,452,93,daily,,2026-09-01T06:20:09+00:00,MIT License,
12,every-app/open-seo,https://github.com/every-app/open-seo,Open source alternative to Semrush and Ahrefs,TypeScript,15870,1911,610,daily,,2026-09-01T06:20:09+00:00,MIT License,
13,p-e-w/heretic,https://github.com/p-e-w/heretic,Fully automatic censorship removal for language models,Python,29767,3257,537,daily,,2026-09-01T06:20:09+00:00,GNU Affero General Public License v3.0,
14,handsomestWei/patent-disclosure-skill,https://github.com/handsomestWei/patent-disclosure-skill,Chinese patent discovery and technical disclosure document authoring with policy trend detection,Python,6409,742,571,daily,,2026-09-01T06:20:09+00:00,MIT License,
15,firecrawl/pdf-inspector,https://github.com/firecrawl/pdf-inspector,"Fast Rust library for PDF inspection, classification, and text extraction with smart routing",Rust,17508,1208,228,daily,,2026-09-01T06:20:09+00:00,MIT License,
16,pollen-robotics/microduck_rl,https://github.com/pollen-robotics/microduck_rl,RL training environments for Microduck,Python,1258,215,385,daily,,2026-09-01T06:20:09+00:00,Apache License 2.0,
