rank,repository,url,description,language,stars_total,forks_total,stars_period,since,language_filter,scraped_at,license,first_commit_date
1,fmtlib/fmt,https://github.com/fmtlib/fmt,A modern formatting library,C++,24462,2994,14,daily,,2026-09-03T06:07:11+00:00,MIT License,
2,google-research/timesfm,https://github.com/google-research/timesfm,TimesFM (Time Series Foundation Model) is a pretrained time-series foundation model developed by Google Research for time-series forecasting.,Python,30161,2888,343,daily,,2026-09-03T06:07:11+00:00,Apache License 2.0,
3,DietrichGebert/ponytail,https://github.com/DietrichGebert/ponytail,Makes your AI agent think like the laziest senior dev in the room. The best code is the code you never wrote.,JavaScript,122136,6603,1354,daily,,2026-09-03T06:07:11+00:00,MIT License,
4,debpalash/VoiceStudio,https://github.com/debpalash/VoiceStudio,"VoiceStudio is the open-source, fully-local ElevenLabs alternative — voice cloning, voice design, video dubbing, dictation, transcription & audiobook creation in 646 languages.",Python,15194,2138,832,daily,,2026-09-03T06:07:11+00:00,AGPL-3.0,
5,sngyai/Sequoia-X,https://github.com/sngyai/Sequoia-X,A-share automatic stock-picking system with technical pattern scanning and Feishu push notifications,Python,6267,1281,63,daily,,2026-09-03T06:07:11+00:00,MIT License,
6,ChromeDevTools/chrome-devtools-mcp,https://github.com/ChromeDevTools/chrome-devtools-mcp,Chrome DevTools for coding agents,TypeScript,50727,3557,148,daily,,2026-09-03T06:07:11+00:00,Apache License 2.0,
7,NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,The agent that grows with you,Python,240287,49182,533,daily,,2026-09-03T06:07:11+00:00,MIT License,
8,superlinked/sie,https://github.com/superlinked/sie,Open-source inference server and production cluster for all the models your agent needs.,Python,3123,301,60,daily,,2026-09-03T06:07:11+00:00,Apache License 2.0,
9,pacifio/atlas,https://github.com/pacifio/atlas,"Source control for agents. Use multiple coding agents, track their changes and query them in one place",Rust,3015,194,888,daily,,2026-09-03T06:07:11+00:00,MIT License,
10,zyronon/TypeWords,https://github.com/zyronon/TypeWords,"Practice English, one strike, one step forward",Vue,9435,1139,21,daily,,2026-09-03T06:07:11+00:00,GPL-3.0,
11,Imbad0202/academic-research-skills,https://github.com/Imbad0202/academic-research-skills,Academic Research Skills for Claude Code: research → write → review → revise → finalize,Python,45687,3589,799,daily,,2026-09-03T06:07:11+00:00,CC-BY-NC 4.0,
12,affaan-m/ECC,https://github.com/affaan-m/ECC,"The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.",JavaScript,246503,37165,516,daily,,2026-09-03T06:07:11+00:00,MIT License,
13,protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,Protocol Buffers - Google's data interchange format,C++,71962,16271,18,daily,,2026-09-03T06:07:11+00:00,BSD 3-Clause License,
14,vercel-labs/portless,https://github.com/vercel-labs/portless,"Replace port numbers with stable, named local URLs. For humans and agents.",TypeScript,11882,387,73,daily,,2026-09-03T06:07:11+00:00,Apache License 2.0,
15,blader/humanizer,https://github.com/blader/humanizer,Agent skill that removes signs of AI-generated writing from text,Python,40683,3511,374,daily,,2026-09-03T06:07:11+00:00,MIT License,
16,JuliusBrussee/caveman,https://github.com/JuliusBrussee/caveman,Claude Code skill that cuts 65% of tokens by talking like caveman,Go,102753,5974,238,daily,,2026-09-03T06:07:11+00:00,MIT License / Business Source License 1.1,
17,mattpocock/skills,https://github.com/mattpocock/skills,Skills for Real Engineers. Straight from my .agents directory.,Shell,245549,20872,1166,daily,,2026-09-03T06:07:11+00:00,MIT License,
18,Gitlawb/openclaude,https://github.com/Gitlawb/openclaude,runs anywhere. uses anything,TypeScript,32082,9007,775,daily,,2026-09-03T06:07:11+00:00,MIT License,
19,firecrawl/pdf-inspector,https://github.com/firecrawl/pdf-inspector,"Fast Rust library for PDF inspection, classification, and text extraction. Intelligently detects scanned vs text-based PDFs to enable smart routing decisions.",Rust,18618,1248,586,daily,,2026-09-03T06:07:11+00:00,MIT License,
