rank,repository,url,description,language,stars_total,forks_total,stars_period,since,language_filter,scraped_at,license,first_commit_date
1,JustVugg/colibri,https://github.com/JustVugg/colibri,Run frontier MoE models on hardware you already own,C,32602,3430,2173,daily,,2026-09-15T07:15:32+00:00,Apache License 2.0,
2,alibaba/open-code-review,https://github.com/alibaba/open-code-review,"Fast, efficient, battle-tested code review tool",Go,26505,1905,1571,daily,,2026-09-15T07:15:32+00:00,Apache License 2.0,
3,multimodal-art-projection/YuE,https://github.com/multimodal-art-projection/YuE,Frontier music generation with symbolic planning,Python,8648,924,559,daily,,2026-09-15T07:15:32+00:00,Apache License 2.0(コード)/CC BY-NC 4.0(モデル重み),
4,debpalash/VoiceStudio,https://github.com/debpalash/VoiceStudio,"Open-source, fully-local ElevenLabs alternative",Python,29824,3606,2776,daily,,2026-09-15T07:15:32+00:00,AGPL-3.0,
5,666ghj/MiroFish,https://github.com/666ghj/MiroFish,Universal swarm intelligence engine,Python,73428,11302,560,daily,,2026-09-15T07:15:32+00:00,AGPL-3.0,
6,Panniantong/Agent-Reach,https://github.com/Panniantong/Agent-Reach,Give AI agents eyes to see the internet,Python,81628,7100,651,daily,,2026-09-15T07:15:32+00:00,MIT License,
7,asgeirtj/system_prompts_leaks,https://github.com/asgeirtj/system_prompts_leaks,Extracted system prompts from AI providers,JavaScript,66988,10884,764,daily,,2026-09-15T07:15:32+00:00,CC0-1.0,
8,rlaope/oh-my-hermes,https://github.com/rlaope/oh-my-hermes,All-in-one plugin for Hermes Agent,Python,2243,168,77,daily,,2026-09-15T07:15:32+00:00,MIT License,
9,localsend/localsend,https://github.com/localsend/localsend,Open-source cross-platform AirDrop alternative,Dart,91490,5104,251,daily,,2026-09-15T07:15:32+00:00,Apache License 2.0,
10,dani-garcia/vaultwarden,https://github.com/dani-garcia/vaultwarden,Unofficial Bitwarden compatible server,Rust,67595,3213,115,daily,,2026-09-15T07:15:32+00:00,AGPL-3.0,
11,TauricResearch/TradingAgents,https://github.com/TauricResearch/TradingAgents,Multi-agent LLM financial trading framework,Python,106368,20338,745,daily,,2026-09-15T07:15:32+00:00,Apache License 2.0,
12,ruvnet/RuView,https://github.com/ruvnet/RuView,WiFi signals for spatial intelligence and monitoring,Rust,93990,12439,383,daily,,2026-09-15T07:15:32+00:00,MIT License,
13,tech-leads-club/agent-skills,https://github.com/tech-leads-club/agent-skills,Secure skill registry for AI coding agents,TypeScript,6179,520,512,daily,,2026-09-15T07:15:32+00:00,MIT License,
14,OpenBMB/VoxCPM,https://github.com/OpenBMB/VoxCPM,Tokenizer-free TTS for multilingual speech,Python,37490,4254,216,daily,,2026-09-15T07:15:32+00:00,Apache License 2.0,
15,huggingface/transformers,https://github.com/huggingface/transformers,Model-definition framework for state-of-the-art ML,Python,166107,34582,536,daily,,2026-09-15T07:15:32+00:00,Apache License 2.0,
16,ever-co/ever-gauzy,https://github.com/ever-co/ever-gauzy,Open business management platform,TypeScript,6162,993,1130,daily,,2026-09-15T07:15:32+00:00,AGPL-3.0(商用ライセンスも別途提供),
17,Crosstalk-Solutions/project-nomad,https://github.com/Crosstalk-Solutions/project-nomad,Offline-first knowledge server with local AI,TypeScript,37033,3691,40,daily,,2026-09-15T07:15:32+00:00,Apache License 2.0,
18,reconurge/flowsint,https://github.com/reconurge/flowsint,Visual platform for graph-based investigations,TypeScript,8466,1032,280,daily,,2026-09-15T07:15:32+00:00,Apache License 2.0,
19,peetzweg/opendisplay,https://github.com/peetzweg/opendisplay,Open-source Sidecar alternative for iPad/iPhone,Swift,3733,255,229,daily,,2026-09-15T07:15:32+00:00,GPL-3.0,
20,SnailSploit/Claude-Red,https://github.com/SnailSploit/Claude-Red,Offensive security skills library,Python,4976,646,579,daily,,2026-09-15T07:15:32+00:00,MIT License,
